Reaction_ID,CORDA_Score
CHSTEROLtg,3
CHTNASE,3
CHTNASEe,1
CITMCOAHm,-1
CITMCOALm,-1
CITRtm,3
CITt4_2,1
CITtam,3
CITtbm,3
CK_cho,3
CKc_cho,3
CLFORtex,3
CLHCO3tex2,3
CLI2tex,3
CLOHtex2_1,3
CLOXAtex2,3
CLPNDCOAtx,-1
CLPNDCPT1,3
CLPNDCPT2,3
CLPNDCRNt,3
CLPNDt,-1
CLS_hs,3
CMPACNAtg,3
CMPACNAtn,-1
ACNMCT,3
CMPSASn,3
CO2ter,-1
CO2tg,-1
CO2tm,-1
CO2tp,-1
COAtg,-1
COAtl,-1
COAtim,3
COAtn,-1
COAtp,-1
COAtr,-1
COKECBESr,1
COQ3m,3
COQ5m,-1
COQ6m,3
COQ7m,3
CORE2GTg,3
CORE3GTg,1
CORE4GTg,1
CORE5GTg,-1
CORE6GTg,3
CORE7GTg,-1
CORE8GTg,-1
COt,-1
COUCOAFm,-1
COUMARINte,-1
CREATt4_2_r,3
CREATtmdiffir,-1
CRMPte,-1
CRNCAR3tp,-1
CRNCARtp,3
CRNt,3
CRNtHa,3
CRNtim,3
CRNtuNa,3
CRNtx,-1
CRTNsyn_cho,-1
CRTSLt,-1
CRTSLtm,-1
CRTSLtr,-1
CRTSTRNt,-1
CRTSTRNtm,-1
CRVNCtr,-1
CSAPASEly,-1
CSBPASEly,-1
CSCPASEly,-1
CSDPASEly,-1
CSEPASEly,-1
CSm,3
CSNAT2m,3
CSNAT2x,3
CSNAT3x,3
CSNATer,3
CSNATm,3
CSNATp,3
CSNATr,3
CSNt,3
CSPG_At,-1
CSPG_Atly,-1
CSPG_Bt,-1
CSPG_Btly,-1
CSPG_Ct,-1
CSPG_Ctly,-1
CSPG_Dt,-1
CSPG_Dtly,-1
CSPG_Et,-1
CSPG_Etly,-1
CTPtn,-1
CYANt,-1
CYANtm,-1
CYSALANaEx,3
CYSASNNaEx,3
CYSGLNNaEx,3
CYSGLTH,-1
CYSGLUexR,3
CYSGLYex,3
CYSO,3
CYSSERNaEx,3
CYSt4,3
CYSTA,3
CYStec,3
CYSTGLUex,3
CYSTHRNaEx,3
CYSTSERex,1
CYTD,3
CYTDK1,3
CYTDK2m,-1
CYTDn,1
CYTDt,3
CYTDt4,1
CYTDtl,3
CYTDtm,3
CYTDtn,-1
CYTK10,3
CYTK10n,3
CYTK11,3
CYTK11n,3
CYTK12,3
CYTK12n,3
CYTK13,3
CYTK13n,3
CYTK14,3
CYTK14n,3
CYTK1m,3
CYTK1n,3
CYTK2n,3
CYTK3,3
CYTK3n,3
CYTK4,3
CYTK4n,3
CYTK2_1,3
CYTK5n,3
CPK1,3
