"Gene_ID","GSM1089187","GSM1089188","GSM1089189","GSM1089190","GSM1089191","GSM1089192","GSM1089193","GSM1089194","GSM1089195","GSM1089196"
"NM_001033248",2.818087647,2.560218192,2.954894005,3.211470964,3.225061452,3.345522731,3.244853104,3.286346823,3.307150293,3.407553653
"NM_001033249",5.124405782,4.953818582,4.967978169,4.685347499,4.463336225,4.593314092,4.59852855,4.531623762,4.572242085,4.525531116
"NM_001033254",5.053011686,4.937716802,5.648762112,5.307724836,5.039042836,4.757315593,4.733176761,4.660074907,4.671351367,4.698437086
"NM_001033256",3.761471348,3.635088584,3.535217459,3.360763581,3.228536632,3.059851952,3.148155326,3.116181347,3.226539932,3.210851165
"NM_001033257",3.410564826,3.897060969,3.886489758,3.626204967,4.07834186,4.251368261,4.276320818,4.48625902,4.383508347,4.45667867
"NM_001033258",6.019909789,5.809351604,6.303870035,6.398825356,6.65007212,6.325693717,6.410108184,6.458398967,6.48444404,6.477651884
"NM_001033260",3.425296097,3.033392488,3.267972874,3.337137477,3.560923399,3.421882757,3.433782774,3.540767658,3.624912263,3.385030213
"NM_001033261",6.568910971,6.600176708,6.58420119,6.57595729,6.622237114,6.504750752,6.596191946,6.572528958,6.569275979,6.558533298
"NM_001033262",3.762754826,3.562302004,3.762922227,3.1559481,2.875059466,2.812017342,2.691061073,2.610470067,2.746996217,2.588921141
"NM_001033263",6.906608105,6.978266473,7.446231577,7.611500265,7.888308146,7.710467977,7.694137985,7.610706573,7.674674232,7.780878836
"NM_001033264",2.991518475,2.668042131,3.049582187,3.587534741,4.153225776,4.425026546,4.25439559,4.29025512,4.223101462,4.451238802
"NM_001033268",6.128431153,6.274881409,6.328314401,6.37696678,6.556259546,6.43474495,6.493427926,6.427974996,6.37898884,6.491532838
"NM_001033269",3.372594071,3.03002558,3.020624275,3.145980505,2.924851597,3.099082984,2.922666072,3.001354212,3.108840296,3.01852459
"NM_001033270",6.285522925,6.037478191,5.861616249,5.530830274,5.093872249,5.058148713,5.083185346,5.024726037,5.024291037,5.027644771
"NM_001033271",5.089745765,5.163296777,5.3141603,5.217351513,5.365749316,5.418180132,5.321888672,5.311491586,5.423034821,5.393441565
"NM_001033272",2.91584658,3.150529689,3.205487208,2.942093391,3.253363602,2.664918788,3.213275328,2.888187189,2.83843915,3.236319158
"NM_001033273",6.005504584,5.927632079,6.172819056,5.560723423,5.507289307,5.238696388,5.274032505,5.261808567,5.322383337,5.416955116
"NM_001033276",4.643568736,4.508441315,4.402347451,4.5040530035,4.4772201795,4.6114761305,4.558763245,4.6968452015,4.45405574,4.795897578
"NM_001033277",4.710285407,4.563081894,4.983868523,5.200175804,5.229735406,5.038570666,5.009981875,4.998744222,5.027255189,5.215770327
"NM_001033279",5.694200444,5.635517499,5.822770627,5.855304664,6.355752055,6.542609994,6.544820354,6.570240656,6.529522536,6.575631423
"NM_001033284",2.848511124,2.847287318,2.984710324,3.093388231,3.020046069,2.968059496,3.051535077,3.080913152,3.18905813,3.21712432
"NM_001033285",7.137544516,7.095730446,7.358807043,7.419006532,7.338264523,7.35771926,7.377027597,7.475264931,7.423441632,7.442093761
"NM_001033286",4.661021062,4.642270946,4.791907481,4.81457656,4.625015624,4.454457245,4.255249094,4.383687686,4.383754134,4.272778746
"NM_001033289",2.433365978,2.820348203,2.644822082,3.032366913,3.418899327,3.16432723,3.26145203,3.343791302,3.49410778,3.43330815
"NM_001033291",5.696481099,5.673919249,5.534587888,5.181669822,5.220490555,5.282606189,5.221185865,5.384574408,5.209297665,5.433443162
"NM_001033293",3.063835522,3.034524301,3.257829202,3.156941657,3.77808556,3.62004348,3.683278012,3.683278012,3.817051605,3.821526247
"NM_001033294",4.440962752,4.142485942,4.191319093,3.836723911,3.712114448,3.527653921,3.634196735,3.510133401,3.67106836,3.76353609
"NM_001033297",3.069336186,2.877784353,3.027754961,2.930649361,3.11236461,3.245755235,3.11236461,3.213652379,3.247733457,3.39124473
"NM_001033298",3.695390355,4.009694506,3.820806633,3.745533083,3.962566934,3.841757211,4.051365401,4.244583723,4.085912471,4.291399645
"NM_001033300",7.223715416,7.206020752,7.184694541,6.891377506,6.899097691,6.974314553,7.061405108,7.095861787,7.065136004,7.035683882
"NM_001033301",3.250489813,3.659131444,3.367608892,3.208839989,3.385070254,3.421990741,3.445660905,3.541129988,3.711260808,3.481836512
"NM_001033305",6.395557436,6.462387211,6.37589675,6.765834097,6.695937413,6.980124299,6.759975265,6.734621831,6.585580136,6.754090177
"NM_001033306",3.486038149,3.887378111,3.770930057,3.264667358,3.466833817,3.03795329,3.305603875,3.184312987,3.222633449,3.14078567
"NM_001033310",4.939121773,4.64255592,4.830492532,4.836351574,4.82593732,4.825466257,4.742937942,4.738178288,4.741723499,4.794468636
"NM_001033311",3.457255018,3.253983588,3.192438961,3.468357906,2.87400644,3.462509268,3.236096105,3.032504739,3.469131184,2.947689342
"NM_001033312",3.727066855,3.515098751,3.595253951,3.757755034,3.610763064,3.509399949,3.489067464,3.461134322,3.302914145,3.476852897
"NM_001033313",4.578685639,4.36969807,4.391328534,4.164479091,4.105128296,4.017060407,4.069424718,3.988931683,4.097919435,3.973348805
"NM_001033318",4.10057011,4.245599112,4.449120768,4.804978227,5.014171128,4.968534177,4.900903027,4.953076656,4.906079617,5.078792891
"NM_001033319",3.892127685,4.024834519,4.005691786,3.672652893,3.919056012,3.629994595,3.778589078,3.864009517,3.750897702,3.744798164
"NM_001033321",4.511340319,4.530952564,4.720631789,4.642832731,4.711464652,4.651265422,4.79172022,4.75735481,4.713963543,4.85483838
"NM_001033322",7.1448917,7.013870476,7.205399204,7.636694367,7.769148603,7.599056739,7.70633483,7.589053824,7.740384818,7.645100123
"NM_001033323",3.990487469,3.981295905,4.512290868,4.830064107,4.795759666,4.93725283,5.099379952,4.942597176,4.937996746,5.117040629
"NM_001033324",5.054324597,4.71036887,4.854644668,5.208373424,5.659923258,5.85903668,6.252013771,6.21467911,5.806624929,6.25358315
"NM_001033328",6.023976433,6.044620864,6.097005671,6.372533068,6.364980279,6.486504014,6.647561171,6.577445031,6.398378706,6.582776805
"NM_001033329",6.972831055,7.173296601,7.191588653,7.91405617,8.319528846,8.246101067,8.424246758,8.284485884,8.31885437,8.349389948
"NM_001033330",5.644184888,5.330906379,5.845267701,6.363690873,6.304639671,6.20744983,6.276779586,6.214484308,6.329673072,6.117082331
"NM_001033331",4.475173467,5.614174209,4.966952857,4.059754094,3.846421282,3.641318165,3.693187106,3.802059904,3.905552996,3.724470546
"NM_001033332",6.03946761,6.073192629,6.020010311,5.963964662,5.923636977,5.996901147,6.091014813,5.883674284,5.894458174,5.731103517
"NM_001033334",3.2403542,3.006376878,3.17918862,3.247613845,3.254000864,3.246658626,3.402771493,3.242318283,3.204600002,3.499261887
"NM_001033336",2.940314184,2.995040788,3.183898089,3.166572554,3.809084301,3.698313338,3.962733417,4.005564928,4.115999844,3.907276586
"NM_001033337",3.185142304,3.248081469,3.237794839,3.431560615,3.568654472,3.641654743,3.600588712,3.475765253,3.735969814,3.652446077
"NM_001033346",6.287169536,6.303362193,6.268966057,6.355632735,5.920425797,6.021129191,6.023840418,5.992103406,6.00477568,6.026497468
"NM_001033348",6.871351756,6.948707033,6.715611783,6.238194813,6.094951962,6.096807967,6.250982244,6.231219892,6.194591976,6.250153217
"NM_001033349",2.464481192,2.193416489,2.2666594,2.455763802,2.64834145,3.115554471,3.573577005,3.588520119,3.45679428,3.839802026
"NM_001033351",6.470467249,6.617212735,7.017899747,6.878130627,6.187424371,5.700957898,5.786145355,5.696936311,5.73193051,5.646480462
"NM_001033352",2.851975938,2.760082095,2.85861499,3.088590134,3.363883465,3.106924328,3.116131692,3.078390192,3.145389289,3.29106506
"NM_001033354",4.123588669,4.614603793,4.653867018,4.928656874,5.458797957,5.469547868,5.442401412,5.674368079,5.533513825,5.673752531
"NM_001033355",3.705902831,3.41864675,3.361263517,2.91869257,2.928205007,2.856752355,2.84279063,2.936515396,2.992182726,2.73937337
"NM_001033359",5.909003635,5.61369657,5.904147133,5.809435125,5.275263859,5.263041084,5.182324904,5.243222267,5.435077292,5.389724806
"NM_001033360",2.354881953,2.084346067,2.181159023,2.570570728,3.51887557,2.853678308,3.05921196,2.584520772,2.750708225,3.685242329
"NM_001033369",4.036504593,3.835034925,3.930292399,4.220507008,4.586203456,5.299832864,5.592872934,5.638568167,5.656507325,5.809590435
"NM_001033375",7.37688126,7.28020046,7.135169694,7.003684591,6.920035374,6.984864155,7.017105152,7.040832825,7.05767942,6.998228764
"NM_001033378",2.630194195,2.539984661,2.533175878,2.539951317,2.53981864,2.539959653,2.539959653,2.53970089,2.661803659,2.53981864
"NM_001033379",3.752063529,3.710339145,3.706787096,3.435419252,3.560967719,3.570713225,3.464532273,3.616963552,3.631133499,3.675946612
"NM_001033380",2.99749798,3.3180459,3.346946349,3.270104245,3.47700965,3.272011047,3.363444981,3.149125532,3.33272894,3.284475542
"NM_001033383",3.041186385,3.140557958,3.159200512,2.913959812,3.090731205,3.005338086,3.057028074,3.051466886,3.051367963,3.158708052
"NM_001033385",5.797522848,5.767100738,5.764449186,6.131481868,5.746202622,5.652911022,5.658652991,5.68388361,5.708788371,5.57696141
"NM_001033393",4.282621612,4.23525487,4.393998871,4.186785775,4.416522003,4.206297208,4.37242533,4.403450337,4.439892725,4.389295831
"NM_001033394",3.279067785,3.19166368,3.004161291,4.315472862,5.581642291,5.882479869,5.954805406,5.887963164,5.855022713,6.189562238
"NM_001033399",4.261924258,3.95886688,4.350856142,4.632510931,4.927712597,5.308136145,5.2228439,5.296440648,4.991870385,5.34541839
"NM_001033409",2.446950258,2.864577059,2.685625639,3.005293622,2.886270876,2.95923546,2.922709469,3.051681183,2.888184228,3.043555567
