"Gene","GSM6506766","GSM6506768","GSM6506769"
"Rps29",448.6177805,488.1478274,410.5917989
"Rps3",116.032888,123.8109785,109.0348553
"Rps3a1",264.1213131,283.2601497,235.7230503
"Rps4x",205.0394649,217.6948116,190.4555293
"Rps5",152.8980844,160.8852573,135.2456094
"Rps6",119.8481766,128.0089818,113.7975135
"Rps6ka1",4.866898403,4.982849144,3.941578877
"Rps6ka2",13.47294158,16.62697843,15.96640021
"Rps6ka3",7.796045209,7.799219811,8.953602376
"Rps6ka4",12.33864733,13.38725152,12.06397025
"Rps6ka5",5.060645595,4.247910173,4.937137067
"Rps6ka6",0.359151964,0.691535236,0.857924002
"Rps6kb1",5.683486507,6.023354427,5.802325372
"Rps6kb2",11.85292434,10.40124963,12.69233245
"Rps6kc1",13.86392151,13.20645547,12.37908412
"Rps6kl1",10.99969876,12.7871865,12.50855728
"Rps7",139.729174,148.4340526,121.510181
"Rps8",233.2841091,252.3397539,221.0385307
"Rps9",92.63335465,100.7766894,86.98168274
"Rpsa",159.4801976,166.5691579,152.903689
"Rptn",0,0,0.026747204
"Rptor",12.36484584,12.03720593,12.30149931
"Rpusd1",34.67904639,33.96650751,33.99667219
"Rpusd2",1.722695578,1.62456538,1.565688072
"Rpusd3",4.707621494,4.47077308,5.08797911
"Rpusd4",3.890974368,4.488543861,3.085528851
"Rrad",0.457485714,0.852035497,0.820929601
"Rraga",60.75330053,65.65811952,58.95320842
"Rragb",20.82338327,20.52487643,20.84250113
"Rragc",35.18480693,34.11004775,30.46816475
"Rragd",36.75490908,32.93742,34.43050369
"Rras",7.339792557,8.024040737,6.757308184
"Rras2",3.497475331,3.507433935,3.723582089
"Rrbp1",8.65271939,8.407966013,8.222370215
"Rreb1",1.512501689,1.673744258,1.904226213
"Rrh",0,0.118893791,0.079550866
"Rrm1",4.850421194,5.100267005,5.743066983
"Rrm2",0.923335681,0.785607996,0.610425176
"Rrm2b",7.789232001,7.460694418,7.820627313
"Rrn3",19.33018822,18.93226663,18.44636
"Rrnad1",4.480686721,4.438456616,5.504004264
"Rrp1",153.903182,153.0610331,144.1519006
"Rrp12",9.772531755,9.757565737,10.26795434
"Rrp15",5.633281128,3.962407586,5.439560974
"Rrp1b",1.698446818,1.96264646,1.83846703
"Rrp36",8.80979895,9.459662819,9.688625551
"Rrp7a",51.77508263,51.05295328,47.00195593
"Rrp8",2.600997287,2.764907485,2.373555452
"Rrp9",9.44298307,11.25048292,9.415520398
"Rrs1",11.01823834,11.03301098,10.53167231
"Rs1",0.027210776,0.018919857,0.047471707
"Rsad1",2.65522061,2.797264893,3.134975427
"Rsad2",0.349869948,0.277324611,0.336929968
"Rsbn1",5.84283332,5.798985173,6.09135545
"Rsbn1l",5.417201325,5.520619338,5.161338663
"Rsc1a1",0,0.076944264,0
"Rsf1",5.283128046,5.233686744,5.739341803
"Rsg1",0.542490375,0.282898223,1.014026215
"Rsl1",2.278292909,2.295165415,2.195113993
"Rsl1d1",24.62730569,24.96433428,25.02499803
"Rsl24d1",17.81918449,19.16549166,18.57946535
"Rslcan18",0.284308944,0.240925113,0.279001779
"Rsph1",2.229849826,2.373109176,1.953028429
"Rsph14",0.016263528,0,0.068095737
"Rsph3a",8.621188232,6.539320274,8.175596709
"Rsph3b",3.150650417,4.894780281,4.809525083
"Rsph4a",0.609521377,0.771930154,0.698783523
"Rsph6a",0.02206177,0.023009572,0.04618655
"Rsph9",3.785626679,5.254453922,3.903036487
"Rspo1",4.957114585,5.1996218,5.248187573
"Rspo2",5.431213947,6.144366111,6.233602005
"Rspo3",3.756759584,4.886169422,3.701089926
"Rspo4",0.097407705,0.040636985,0.040784813
"Rspry1",6.261753992,6.387233522,6.957879584
"Rsrc1",8.967595392,8.625304011,9.463740973
"Rsrc2",27.26759794,30.36181427,28.43030758
"Rsrp1",115.1121581,120.9555131,123.981739
"Rsu1",10.68057133,12.70102341,12.05065697
"Rtbdn",0.644094238,0.537412273,0.755114152
"Rtca",34.51808916,33.89775649,32.12123636
"Rtcb",60.30424899,60.63379085,59.81770876
"Rtel1",1.967868764,2.290705792,2.561345283
"Rtf1",24.75884994,24.50770497,23.66957211
"Rtfdc1",36.05542119,37.55282411,33.78070694
"Rtkn",7.40788864,7.800217036,7.828592383
"Rtkn2",0.408778877,0.503856995,0.381212392
"Rtl1",0.020236986,0,0.021183172
"Rtn1",290.5310251,295.4366231,291.0898124
"Rtn2",43.59592604,45.62655761,41.88856427
"Rtn3",294.4852195,291.5612781,293.2501731
"Rtn4",123.8936981,119.6306453,119.135348
"Rtn4ip1",4.673328268,4.410782834,3.850224544
"Rtn4r",58.76482112,58.87205193,58.61281473
"Rtn4rl1",21.97768722,21.84913894,21.75445861
"Rtn4rl2",16.58743064,18.98089552,16.58315887
"Rtp1",0.237687289,0.177070454,0.124400216
"Rtp2",0.021816437,0.068261098,0.068509415
"Rtp3",0.028985122,0.105806258,0.045510495
"Rtp4",1.009874274,0.802483619,0.906078223
"Rttn",0.646768134,0.499170042,0.521296144
"Rubcn",14.25643801,13.98230895,15.16790923
"Rufy1",7.387990301,7.365444129,7.226817167
"Rufy2",6.755976386,6.738008745,7.918953785
"Rufy3",31.88645835,31.46555909,33.093536
"Rufy4",0,0.016466761,0.033053325
"Rundc1",13.85908487,14.11155893,13.13036173
"Rundc3a",100.0397381,106.1856834,100.9354252
"Rundc3b",8.685662864,9.413223454,10.25846894
"Runx1",0.114871911,0.134782823,0.067636566
"Runx1t1",1.622244511,1.623940671,1.665977822
"Runx2",1.362742614,1.276526969,1.439666014
