"Gene_ID","GSM7012039","GSM7012040"
"ENSMUSG00000003955",163,163
"ENSMUSG00000003970",1553,1617
"ENSMUSG00000003974",292,301
"ENSMUSG00000003992",1899,1868
"ENSMUSG00000004018",69,81
"ENSMUSG00000004031",2066,2169
"ENSMUSG00000004032",522,555
"ENSMUSG00000004035",220,244
"ENSMUSG00000004038",3,2
"ENSMUSG00000004040",1601,1619
"ENSMUSG00000004043",17,12
"ENSMUSG00000004044",348,393
"ENSMUSG00000004054",195,202
"ENSMUSG00000004056",916,968
"ENSMUSG00000004069",455,472
"ENSMUSG00000004070",529,553
"ENSMUSG00000004071",1506,1533
"ENSMUSG00000004085",870,929
"ENSMUSG00000004096",264,297
"ENSMUSG00000004098",248,269
"ENSMUSG00000004099",1494,1642
"ENSMUSG00000004100",214,171
"ENSMUSG00000004105",103,103
"ENSMUSG00000004110",6995,7321
"ENSMUSG00000004113",2712,2615
"ENSMUSG00000004127",48,59
"ENSMUSG00000004151",980,1066
"ENSMUSG00000004187",896,956
"ENSMUSG00000004207",11997,12109
"ENSMUSG00000004221",575,511
"ENSMUSG00000004231",0,0
"ENSMUSG00000004233",144,166
"ENSMUSG00000004263",65,61
"ENSMUSG00000004264",623,755
"ENSMUSG00000004266",19,19
"ENSMUSG00000004267",1236,1268
"ENSMUSG00000004268",269,294
"ENSMUSG00000004270",485,486
"ENSMUSG00000004285",355,347
"ENSMUSG00000004296",0,0
"ENSMUSG00000004317",420,404
"ENSMUSG00000004319",2616,2701
"ENSMUSG00000004328",74,66
"ENSMUSG00000004341",1,4
"ENSMUSG00000004344",0,0
"ENSMUSG00000004347",189,217
"ENSMUSG00000004356",705,662
"ENSMUSG00000004359",0,1
"ENSMUSG00000004360",1311,1328
"ENSMUSG00000004364",947,1007
"ENSMUSG00000004366",864,896
"ENSMUSG00000004371",1,0
"ENSMUSG00000004383",2166,2371
"ENSMUSG00000004393",308,342
"ENSMUSG00000004394",521,517
"ENSMUSG00000004415",148,178
"ENSMUSG00000004446",166,181
"ENSMUSG00000004451",377,412
"ENSMUSG00000004455",1100,1111
"ENSMUSG00000004460",460,440
"ENSMUSG00000004462",205,279
"ENSMUSG00000004473",37,31
"ENSMUSG00000004500",278,248
"ENSMUSG00000004508",554,547
"ENSMUSG00000004530",1401,1492
"ENSMUSG00000004535",1358,1552
"ENSMUSG00000004540",0,1
"ENSMUSG00000004542",0,0
"ENSMUSG00000004552",0,0
"ENSMUSG00000004558",4732,4636
"ENSMUSG00000004561",306,349
"ENSMUSG00000004562",783,947
"ENSMUSG00000004565",771,782
"ENSMUSG00000004567",535,629
"ENSMUSG00000004568",743,770
"ENSMUSG00000004591",642,678
"ENSMUSG00000004609",0,0
"ENSMUSG00000004610",10,5
"ENSMUSG00000004612",0,0
"ENSMUSG00000004626",331,302
"ENSMUSG00000004630",0,0
"ENSMUSG00000004631",431,502
"ENSMUSG00000004633",811,896
"ENSMUSG00000004637",226,237
"ENSMUSG00000004642",266,287
"ENSMUSG00000004651",1,0
"ENSMUSG00000004654",0,3
"ENSMUSG00000004655",2,6
"ENSMUSG00000004661",154,190
"ENSMUSG00000004665",24,9
"ENSMUSG00000004667",259,298
"ENSMUSG00000004668",18,14
"ENSMUSG00000004677",1672,1823
"ENSMUSG00000004698",813,848
"ENSMUSG00000004707",5,7
"ENSMUSG00000004709",3,1
"ENSMUSG00000004730",42,35
"ENSMUSG00000004748",76,73
"ENSMUSG00000004768",736,702
"ENSMUSG00000004771",488,493
"ENSMUSG00000004788",235,261
"ENSMUSG00000004789",1702,1870
"ENSMUSG00000004791",16,27
"ENSMUSG00000004798",2028,2263
"ENSMUSG00000004814",0,0
"ENSMUSG00000004815",564,546
"ENSMUSG00000004821",0,0
"ENSMUSG00000004837",4,0
"ENSMUSG00000004842",0,0
