"Gene","GSM6845651","GSM6845652","GSM6845653","GSM6845654"
"Cdh11",205,254,249,204
"Cdh12",115,166,142,160
"Cdh13",92,99,57,50
"Cdh15",406,196,197,425
"Cdh16",0,1,0,0
"Cdh18",578,542,525,758
"Cdh19",80,93,90,96
"Cdh2",463,435,460,535
"Cdh20",191,207,212,180
"Cdh22",504,469,479,521
"Cdh23",16,25,20,37
"Cdh24",24,40,15,24
"Cdh26",0,1,4,1
"Cdh3",13,8,2,2
"Cdh4",207,215,218,196
"Cdh5",78,81,68,76
"Cdh6",101,174,91,63
"Cdh7",792,828,846,1234
"Cdh8",340,310,285,441
"Cdh9",24,36,17,19
"Cdhr1",11,20,10,4
"Cdhr2",14,3,6,18
"Cdhr3",9,11,12,8
"Cdhr4",11,17,26,8
"Cdip1",1510,1554,1392,1633
"Cdipt",604,521,542,627
"Cdiptos",37,28,24,40
"Cdk1",1,1,0,4
"Cdk10",208,206,169,215
"Cdk11b",378,346,299,421
"Cdk12",741,633,639,898
"Cdk13",1207,1182,1102,1563
"Cdk14",631,868,671,587
"Cdk15",4,2,1,1
"Cdk16",1334,1232,1275,1689
"Cdk17",559,674,660,812
"Cdk18",70,97,54,65
"Cdk19",1341,1244,1342,1647
"Cdk2",19,25,14,22
"Cdk20",132,115,106,184
"Cdk2ap1",92,62,74,93
"Cdk2ap2",110,94,97,151
"Cdk4",195,210,200,212
"Cdk5",352,320,292,419
"Cdk5r1",1429,1237,1173,1462
"Cdk5r2",695,630,528,688
"Cdk5rap1",21,19,13,24
"Cdk5rap2",611,597,582,666
"Cdk5rap3",170,142,124,179
"Cdk6",18,35,19,18
"Cdk7",148,122,109,134
"Cdk8",300,336,307,362
"Cdk9",468,382,350,493
"Cdkal1",85,109,111,139
"Cdkl1",107,122,119,152
"Cdkl2",163,194,128,188
"Cdkl3",67,79,52,75
"Cdkl4",23,24,19,16
"Cdkl5",1085,932,955,1537
"Cdkn1a",98,91,134,111
"Cdkn1b",1670,1604,1629,2114
"Cdkn1c",63,48,52,20
"Cdkn2aip",264,305,283,372
"Cdkn2aipnl",272,305,256,304
"Cdkn2b",3,7,5,1
"Cdkn2c",37,21,34,31
"Cdkn2d",169,177,124,194
"Cdkn3",19,9,8,17
"Cdnf",24,17,15,18
"Cdo1",42,58,31,45
"Cdon",322,287,247,333
"Cdpf1",35,44,28,53
"Cdr2",285,238,208,199
"Cdr2l",652,497,452,608
"Cdrt4",1,1,2,3
"Cds1",996,852,837,1006
"Cds2",6878,6362,5978,6720
"Cdsn",6,6,4,5
"Cdt1",43,20,19,43
"Cdv3",867,859,785,832
"Cdx2",0,1,0,0
"Cdyl",904,804,765,1044
"Cdyl2",175,146,108,190
"Ceacam1",24,37,26,21
"Ceacam10",0,0,1,0
"Ceacam16",18,19,10,7
"Ceacam2",20,16,9,13
"Ceacam3",5,3,2,5
"Ceacam5",0,0,0,0
"Ceacam9",1,0,0,0
"Cebpa",101,117,118,102
"Cebpb",23,20,22,26
"Cebpd",27,43,29,30
"Cebpe",0,0,0,0
"Cebpg",824,873,789,897
"Cebpz",543,504,476,600
"Cebpzos",55,61,34,74
"Cecr2",217,189,146,200
"Cel",2,1,1,5
"Cela1",2,2,0,1
"Cela2a",1,0,1,1
"Celf1",2246,2080,2023,2684
"Celf2",1359,1543,1497,1867
"Celf3",316,275,252,326
"Celf4",2179,1916,1648,2337
"Celf5",309,257,204,234
"Celf6",117,92,56,57
"Celsr1",38,53,55,42
"Celsr2",1986,1806,1642,1892
"Celsr3",1672,1394,1387,1935
"Cemip",267,240,301,364
"Cemip2",441,376,379,529
"Cend1",1822,1545,1344,1745
"Cenpa",6,8,4,11
"Cenpb",1684,1439,1457,1432
"Cenpc1",252,233,246,371
"Cenpe",12,9,8,14
"Cenpf",10,16,18,14
"Cenph",1,1,3,1
"Cenpi",2,2,1,5
"Cenpj",96,71,82,124
"Cenpk",5,8,6,6
"Cenpl",21,23,22,24
"Cenpm",5,4,5,4
"Cenpn",12,6,9,12
"Cenpo",78,89,90,103
"Cenpp",6,16,5,14
"Cenpq",21,36,21,34
"Cenps",19,12,21,17
"Cenpt",65,73,63,82
"Cenpu",12,15,8,14
"Cenpv",52,52,42,67
"Cenpw",10,7,11,6
"Cenpx",81,80,63,95
"Cep104",300,248,238,305
"Cep112",55,49,42,56
"Cep120",521,495,466,650
"Cep126",377,337,331,534
"Cep128",76,85,78,80
"Cep131",204,210,166,284
"Cep135",107,104,114,144
"Cep152",94,97,65,105
"Cep162",202,210,195,236
"Cep164",309,250,199,316
"Cep170",1914,1962,1806,2560
"Cep170b",1879,1710,1647,1877
"Cep19",313,309,288,302
"Cep192",99,103,96,105
"Cep250",644,545,562,585
"Cep290",269,284,253,349
"Cep295",433,441,435,582
"Cep295nl",8,10,5,7
"Cep350",1559,1468,1272,1668
"Cep41",29,38,36,32
"Cep44",77,74,74,108
"Cep55",3,3,2,4
"Cep57",196,187,177,237
"Cep57l1",32,31,31,34
"Cep63",135,146,123,171
"Cep68",221,238,212,287
"Cep70",117,154,122,165
"Cep72",112,95,111,133
"Cep76",589,479,628,759
"Cep78",108,78,88,125
"Cep83",146,178,139,202
"Cep85",158,122,96,158
"Cep85l",545,594,572,700
"Cep89",123,92,77,125
"Cep95",209,193,179,270
"Cep97",376,440,390,434
"Cept1",266,327,261,381
"Cercam",69,54,56,66
"Cerk",2255,2036,2109,2291
"Cerkl",63,75,70,128
"Cers1",130,101,116,134
"Cers2",332,397,364,342
"Cers3",2,2,2,1
"Cers4",611,570,506,601
"Cers5",208,187,163,246
"Cers6",794,761,797,1113
"Ces1c",0,0,0,3
"Ces1d",0,0,0,0
"Ces2a",0,1,0,0
"Ces2b",0,0,0,0
"Ces2e",0,0,0,0
"Ces2g",3,4,3,2
"Ces3a",0,0,0,0
"Ces3b",0,0,0,0
"Ces4a",2,0,0,2
"Ces5a",3,3,2,1
"Cetn2",106,127,95,146
"Cetn3",228,197,176,298
"Cetn4",43,39,30,35
"Cfap100",43,42,48,62
"Cfap126",30,17,20,25
"Cfap157",22,19,23,17
"Cfap161",10,11,9,17
"Cfap20",207,166,180,203
"Cfap206",8,11,13,5
"Cfap221",0,2,1,3
"Cfap298",67,41,50,41
"Cfap299",1,4,4,1
"Cfap300",23,34,24,23
"Cfap36",545,553,459,600
"Cfap410",148,151,117,171
"Cfap43",29,44,35,38
"Cfap44",56,63,53,58
"Cfap45",21,18,17,13
"Cfap46",43,41,45,35
"Cfap47",11,8,5,10
"Cfap52",5,13,3,4
"Cfap53",25,27,21,31
"Cfap54",19,38,47,27
"Cfap57",9,6,8,5
"Cfap58",0,3,1,2
"Cfap61",9,15,16,7
"Cfap65",36,56,59,27
"Cfap69",68,77,64,69
"Cfap70",4,5,3,8
"Cfap73",6,8,7,2
"Cfap74",138,124,134,208
"Cfap77",2,8,11,6
"Cfap97",294,312,306,381
"Cfap97d1",7,4,4,6
"Cfap97d2",27,28,20,16
"Cfap99",21,12,19,21
"Cfb",5,2,3,6
"Cfc1",2,0,1,0
"Cfd",0,1,1,0
"Cfdp1",210,213,170,261
"Cfh",125,182,202,112
"Cfhr1",1,0,0,0
"Cfhr2",0,0,0,0
"Cfi",0,0,0,2
"Cfl1",1697,1708,1412,1962
"Cfl2",849,1011,910,1050
"Cflar",447,411,430,407
"Cfp",68,61,66,113
"Cftr",1,6,2,2
"Cgas",5,5,8,6
"Cggbp1",871,1006,1028,1063
"Cgn",142,120,110,136
"Cgnl1",836,604,498,770
"Cgref1",43,61,31,45
"Cgrrf1",156,194,152,222
"Ch25h",2,1,2,4
"Chac1",29,28,56,50
"Chac2",84,100,101,120
"Chad",6,12,11,11
"Chadl",67,54,57,87
"Chaf1a",43,34,41,46
"Chaf1b",0,0,1,1
"Champ1",484,480,431,520
"Chat",2,5,0,0
"Chchd1",189,182,128,212
"Chchd10",159,175,147,237
"Chchd2",300,322,301,360
"Chchd3",286,302,270,342
"Chchd4",173,152,128,180
"Chchd5",48,44,44,58
"Chchd6",25,19,24,35
"Chchd7",142,196,192,267
"Chd1",333,360,326,425
"Chd1l",22,46,34,41
"Chd2",1430,1261,1165,1494
"Chd3",2453,2303,1872,1993
"Chd4",3698,3009,2906,3340
"Chd5",1150,1206,822,768
"Chd6",1496,1440,1385,1573
"Chd7",3419,2292,2288,3997
"Chd8",1376,1183,1109,1568
"Chd9",1493,1658,1525,1978
"Chdh",121,95,91,76
"Chek1",15,9,10,16
"Chek2",8,10,13,11
"Cherp",453,387,419,520
"Chfr",203,193,188,277
"Chga",788,698,504,718
"Chgb",5716,3747,3605,5346
"Chia1",1,2,1,1
"Chic1",474,567,479,631
"Chic2",211,236,240,299
"Chid1",440,323,287,444
"Chil1",34,34,27,26
"Chil3",0,0,0,0
"Chil4",0,0,0,0
"Chil5",16,17,15,33
"Chit1",0,0,0,0
"Chka",778,766,640,1107
"Chkb",67,58,62,113
"Chl1",1790,1912,1872,2275
"Chm",396,507,504,667
"Chml",280,325,299,333
"Chmp1a",298,328,293,370
"Chmp1b",140,165,178,175
"Chmp2a",459,413,293,500
"Chmp2b",241,276,209,267
"Chmp3",905,879,768,989
"Chmp4b",1405,1149,1044,1195
"Chmp4c",82,58,54,78
"Chmp5",269,304,285,363
"Chmp6",140,92,83,114
"Chmp7",680,674,647,702
"Chn1",600,662,628,605
"Chn2",2367,1825,1835,3263
"Chodl",12,7,4,1
"Chordc1",757,892,812,892
"Chp1",637,677,643,675
"Chp2",7,10,12,5
"Chpf",434,413,355,459
"Chpf2",288,284,260,347
"Chpt1",1076,1374,1567,1410
"Chrac1",61,44,32,79
"Chrd",237,199,200,321
"Chrdl1",54,39,48,46
"Chrdl2",1,5,2,2
"Chrm1",16,25,22,19
"Chrm2",181,305,130,154
"Chrm3",52,100,32,35
"Chrm4",10,9,7,6
"Chrm5",5,4,10,2
"Chrna1",5,0,0,2
"Chrna10",0,2,0,0
"Chrna2",4,7,2,6
"Chrna3",29,41,25,19
"Chrna4",83,116,58,70
"Chrna5",0,0,1,0
"Chrna6",2,10,1,3
"Chrna7",76,77,57,69
"Chrna9",1,1,0,0
"Chrnb1",83,63,59,87
"Chrnb2",1081,810,878,1139
"Chrnb3",10,8,5,1
"Chrnb4",13,8,8,11
"Chrne",0,2,1,3
"Chrng",1,0,0,1
"Chst1",255,325,216,218
"Chst10",689,664,612,749
"Chst11",542,539,567,583
"Chst12",95,57,71,76
"Chst13",0,2,1,0
"Chst14",16,20,25,28
"Chst15",382,322,361,385
"Chst2",1276,1453,1688,1237
"Chst3",38,36,50,29
"Chst5",10,12,9,14
"Chst7",15,10,13,16
"Chst8",168,130,138,174
"Chst9",11,28,9,10
"Chsy1",247,277,319,296
"Chsy3",34,44,20,13
"Chtf18",29,20,24,40
"Chtf8",49,32,30,40
"Chtop",1126,1301,1213,1448
"Chuk",244,268,233,325
"Churc1",20,15,18,38
"Ciao1",422,401,386,523
"Ciao2a",118,116,88,130
"Ciao2b",193,140,120,180
"Ciao3",243,259,234,330
"Ciapin1",337,295,274,376
"Ciart",90,84,85,143
"Cib1",30,37,36,34
"Cib2",57,45,51,60
"Cic",1813,1472,1476,1599
"Cidea",23,24,24,16
"Cideb",5,5,2,3
"Cidec",0,0,0,0
"Ciita",83,61,69,79
"Cilp",7,4,4,1
"Cilp2",6,12,18,6
"Cinp",166,136,113,170
"Cip2a",13,11,15,24
"Cipc",998,986,1002,1413
"Cir1",63,53,52,89
"Cirbp",633,690,613,760
"Cisd1",253,305,268,284
"Cisd2",581,579,562,670
"Cisd3",37,24,23,46
"Cish",31,17,17,16
"Cit",670,616,539,644
"Cited1",8,17,10,9
"Cited2",422,383,397,479
"Cited4",15,21,19,46
"Ciz1",370,343,308,445
"CK137956",0,6,0,0
"Ckap2",5,5,2,0
"Ckap2l",4,3,3,6
"Ckap4",581,477,540,490
"Ckap5",1575,1351,1335,1933
"Ckb",7248,6975,7002,8097
"Cklf",27,29,20,28
"Ckm",2,3,5,2
"Ckmt1",911,880,710,869
"Ckmt2",0,2,2,0
"Cks1b",14,10,13,14
"Cks2",2,4,4,1
"Clasp1",809,803,725,954
"Clasp2",1467,1663,1541,2034
"Clasrp",332,361,281,427
"Clba1",58,44,24,35
"Clca3a1",2,0,2,1
"Clca4a",3,2,1,2
"Clcc1",140,123,117,183
"Clcf1",15,9,10,9
"Clcn1",264,158,154,253
"Clcn2",384,375,351,430
"Clcn3",2076,2189,2180,2305
"Clcn4",1220,1305,1368,1390
"Clcn5",344,429,338,357
"Clcn6",685,631,647,687
"Clcn7",354,286,312,360
"Clcnka",1,1,0,0
"Cldn1",25,31,6,3
"Cldn10",78,108,88,95
"Cldn11",749,1265,972,629
"Cldn12",603,547,575,743
"Cldn14",8,13,6,4
"Cldn15",5,3,3,3
"Cldn17",1,3,3,2
"Cldn19",10,5,4,7
"Cldn2",81,57,13,8
"Cldn20",5,5,3,3
"Cldn23",0,2,0,1
"Cldn3",6,0,0,0
"Cldn34b2",1,0,0,0
"Cldn34c1",12,22,22,10
"Cldn5",322,213,158,182
"Cldn6",2,0,1,1
"Cldn7",4,2,3,11
"Cldn8",1,1,0,0
"Cldn9",1,1,0,1
"Cldnd1",365,394,392,419
"Cldnd2",0,1,0,1
"Clec10a",7,12,15,16
"Clec11a",43,52,48,53
"Clec12a",1,1,2,1
"Clec12b",1,1,1,0
"Clec14a",39,52,48,50
"Clec16a",511,472,506,558
"Clec18a",7,3,1,3
"Clec1a",16,14,9,7
"Clec1b",1,1,2,3
"Clec2d",55,57,57,69
"Clec2g",0,0,2,0
"Clec2i",0,1,1,0
"Clec2l",309,269,272,370
"Clec3b",68,73,99,70
"Clec4a1",0,2,5,2
"Clec4a2",0,2,0,1
"Clec4a3",1,1,2,2
"Clec4d",0,0,0,0
"Clec4e",0,0,0,0
"Clec4f",0,0,0,0
"Clec4g",2,0,1,1
"Clec4n",2,0,0,1
"Clec5a",10,12,9,7
"Clec9a",6,2,2,3
"Clgn",92,78,68,91
"Clhc1",2,3,0,0
"Clic1",236,176,146,237
"Clic3",83,54,54,73
"Clic4",1468,1762,1949,1311
"Clic5",52,50,45,57
"Clic6",588,261,114,82
"Clint1",414,384,372,412
"Clip1",1865,1617,1480,2247
"Clip2",834,792,713,687
"Clip3",2241,1763,1660,2838
"Clip4",210,228,199,165
"Clk1",1164,1351,1104,1814
"Clk2",306,310,236,417
"Clk3",454,483,373,554
"Clk4",542,632,583,768
"Clmn",2501,2675,3018,2288
"Clmp",476,475,461,463
"Cln3",65,71,64,64
"Cln5",253,256,256,325
"Cln6",82,69,58,87
"Cln8",443,464,393,419
"Clnk",8,7,6,4
"Clns1a",240,179,217,250
"Clock",1606,1704,1561,1971
"Clp1",109,92,99,105
"Clpb",373,339,322,375
"Clpp",236,169,166,206
"Clptm1",611,555,503,685
"Clptm1l",230,221,204,275
"Clpx",258,256,238,332
"Clrn1",6,4,10,5
"Clrn2",0,2,0,0
"Clrn3",0,0,1,0
"Clspn",5,5,3,2
"Clstn1",4966,4503,3961,4996
"Clstn2",446,379,333,506
"Clstn3",3213,2744,2709,3255
"Clta",610,667,521,656
"Cltb",1236,939,837,1177
"Cltc",3698,4195,4014,4605
"Cltrn",1,0,3,0
"Clu",788,850,641,793
"Cluap1",95,71,83,83
"Cluh",882,767,720,961
"Clvs1",365,451,369,497
"Clvs2",62,99,56,72
"Clybl",59,59,47,83
"Cma2",2,0,0,3
"Cmah",6,3,2,6
"Cmas",407,412,326,460
"Cmbl",52,64,52,41
"Cmc1",84,97,78,124
"Cmc2",53,57,52,57
"Cmc4",34,36,33,49
"Cmip",215,206,181,171
"Cmklr1",33,42,56,33
"Cmpk1",244,331,269,336
"Cmpk2",163,174,187,164
"Cmss1",34,36,26,27
"Cmtm3",48,58,61,52
"Cmtm4",1288,1370,1343,1304
"Cmtm5",129,174,163,155
"Cmtm6",282,294,312,242
"Cmtm7",19,20,8,31
"Cmtm8",7,5,1,6
"Cmtr1",105,73,76,114
"Cmtr2",113,120,101,159
"Cmya5",583,483,607,599
"CN725425",1,4,3,3
"Cnbd2",33,18,21,19
"Cnbp",1976,2089,2075,2568
"Cndp1",5,1,0,0
"Cndp2",193,162,165,217
"Cnep1r1",216,236,207,307
"Cnfn",4,0,3,3
"Cnga2",4,0,5,3
"Cnga3",2,3,0,1
"Cnga4",3,5,5,4
"Cngb1",7,7,6,7
"Cnih1",219,284,267,306
"Cnih2",172,201,141,181
"Cnih3",93,151,97,63
"Cnih4",346,358,350,380
"Cnksr1",1,1,1,1
"Cnksr2",1479,1280,1491,1871
"Cnksr3",588,495,432,634
"Cnmd",14,17,13,11
"Cnn1",12,8,4,16
"Cnn2",51,54,51,40
"Cnn3",468,570,593,494
"Cnnm1",1010,874,919,1137
"Cnnm2",603,578,548,681
"Cnnm3",406,357,382,484
"Cnnm4",282,246,182,323
"Cnot1",987,981,925,1240
"Cnot10",247,232,202,357
"Cnot11",174,174,173,249
"Cnot2",310,309,369,435
"Cnot3",399,336,302,432
"Cnot4",356,402,375,494
"Cnot6",698,727,729,877
"Cnot6l",700,820,811,1001
"Cnot7",427,475,393,551
"Cnot8",211,208,200,270
"Cnot9",206,218,199,255
"Cnp",3306,4106,3434,3032
"Cnppd1",241,216,231,257
"Cnpy1",2170,2265,2525,3694
"Cnpy2",147,164,152,183
"Cnpy3",246,216,168,213
"Cnpy4",158,150,140,183
"Cnr1",5636,5559,6644,7879
"Cnr2",1,0,2,1
"Cnrip1",236,208,189,249
"Cnst",901,800,862,989
"Cntd1",9,7,4,8
"Cntf",13,10,6,7
"Cntfr",307,246,270,323
"Cntln",171,164,138,199
"Cntn1",2232,2582,2430,2771
"Cntn2",3717,3134,2657,3657
"Cntn3",73,91,71,83
"Cntn4",159,273,272,221
"Cntn5",24,31,12,13
"Cntn6",476,397,415,682
"Cntnap1",1917,1498,1433,2296
"Cntnap2",686,731,523,630
"Cntnap3",3,1,2,3
"Cntnap4",226,202,191,292
"Cntnap5a",269,373,188,193
"Cntnap5b",239,192,211,255
"Cntnap5c",29,29,24,45
"Cntrl",191,197,170,222
"Cntrob",154,125,134,179
"Coa3",353,363,276,360
"Coa4",45,41,38,68
"Coa5",567,711,713,723
"Coa6",68,65,65,88
"Coa7",194,158,174,235
"Coasy",212,190,210,242
"Cobl",113,148,90,68
"Cobll1",115,149,145,149
"Coch",79,115,100,71
"Cog1",271,283,250,327
"Cog2",144,132,127,212
"Cog3",377,413,368,490
"Cog4",221,191,164,253
"Cog5",206,251,216,289
"Cog6",236,308,270,295
"Cog7",231,220,176,228
"Cog8",265,216,190,323
"Coil",273,207,202,274
"Col10a1",7,8,8,6
"Col11a1",14,24,21,8
"Col11a2",67,92,68,61
"Col12a1",92,122,123,70
"Col13a1",14,11,13,10
"Col14a1",13,10,4,12
"Col15a1",8,11,16,17
"Col16a1",31,47,38,28
"Col17a1",32,29,17,34
"Col18a1",290,216,256,329
"Col19a1",123,124,114,192
"Col1a1",163,178,334,88
"Col1a2",164,187,232,123
"Col20a1",30,41,33,46
"Col22a1",1,3,1,0
"Col23a1",79,88,147,75
"Col24a1",5,12,7,4
"Col25a1",113,159,127,48
"Col26a1",13,11,12,4
"Col27a1",99,71,75,84
"Col28a1",2,6,0,1
"Col2a1",34,28,21,19
"Col3a1",66,61,80,29
"Col4a1",96,96,78,70
"Col4a2",61,87,81,67
"Col4a3",8,8,7,6
"Col4a3bp",1066,1013,910,1045
"Col4a4",20,10,15,15
"Col4a5",35,33,25,31
"Col4a6",18,16,20,24
"Col5a1",43,57,59,43
"Col5a2",9,24,29,17
"Col5a3",25,35,37,38
"Col6a1",78,88,125,49
"Col6a2",77,106,128,42
"Col6a3",20,53,52,27
"Col6a4",6,5,1,3
"Col6a5",18,16,25,21
"Col6a6",7,13,12,5
"Col7a1",66,67,52,71
"Col8a1",107,78,58,20
"Col8a2",158,85,76,36
"Col9a1",5,8,4,9
"Col9a2",92,118,96,85
"Col9a3",194,165,145,172
"Colca2",12,8,17,4
"Colec10",0,0,0,0
"Colec11",3,6,5,1
"Colec12",140,201,211,153
"Colgalt1",307,347,366,459
"Colgalt2",23,29,16,30
"Colq",14,7,9,21
"Commd1",126,109,81,116
"Commd10",72,89,65,64
"Commd2",141,123,127,172
"Commd3",212,239,191,327
"Commd4",188,192,179,276
"Commd5",19,17,16,15
"Commd6",168,166,163,198
"Commd7",202,159,151,181
"Commd8",241,269,275,272
"Commd9",119,117,112,118
"Comp",40,23,41,51
"Comt",275,273,272,366
"Comtd1",31,37,29,46
"Cop1",238,330,316,349
"Copa",1134,1126,1124,1395
"Copb1",190,181,196,298
"Copb2",700,619,602,726
"Cope",240,235,161,274
"Copg1",1148,1078,916,1218
"Copg2",391,432,373,403
"Coprs",130,177,140,177
"Cops2",928,1096,963,1284
"Cops3",101,134,98,172
"Cops4",177,195,167,238
"Cops5",351,293,252,376
"Cops6",691,564,481,640
"Cops7a",316,321,288,406
"Cops7b",117,106,89,141
"Cops8",325,365,359,410
"Cops9",184,165,110,204
"Copz1",135,181,150,207
"Copz2",4,5,9,6
"Coq10a",215,202,194,240
"Coq10b",90,116,97,129
"Coq2",301,284,257,328
"Coq3",126,112,135,145
"Coq4",46,41,34,45
"Coq5",288,257,223,316
"Coq6",76,80,66,89
"Coq7",62,59,55,73
"Coq8a",212,209,189,218
"Coq8b",96,70,66,87
"Coq9",276,244,199,346
"Corin",32,30,31,51
"Coro1a",368,284,266,405
"Coro1b",332,322,256,448
"Coro1c",533,515,439,581
"Coro2a",195,125,96,194
"Coro2b",1157,876,884,1475
"Coro6",154,192,194,208
"Coro7",175,171,163,199
"Cort",3,1,3,2
"Cotl1",533,535,581,520
"Cox10",110,102,94,136
"Cox11",127,75,72,95
"Cox14",467,396,382,503
"Cox15",182,181,190,209
"Cox16",46,35,45,74
"Cox17",151,132,148,162
"Cox18",56,47,69,61
"Cox19",188,137,120,210
"Cox20",9,11,7,7
"Cox4i1",939,1010,858,1161
"Cox4i2",4,1,3,2
"Cox5a",37,41,23,55
"Cox5b",253,228,175,263
"Cox6a1",703,664,636,789
"Cox6a2",11,10,17,10
"Cox6b1",133,134,125,168
"Cox6b2",30,34,25,28
"Cox6c",199,212,125,304
"Cox7a1",15,14,12,17
"Cox7a2",107,106,77,142
"Cox7a2l",528,597,522,531
"Cox7b",216,231,145,302
"Cox7b2",2,1,3,2
"Cox7c",224,192,151,265
"Cox8a",252,283,252,425
"Cox8b",2,1,0,3
"Cp",88,172,117,104
"Cpa2",11,7,1,5
"Cpa6",1,0,0,0
"Cpb1",0,0,0,0
"Cpb2",1,2,2,1
"Cpd",759,973,825,853
"Cpe",2865,3293,2881,3156
"Cpeb1",212,253,246,222
"Cpeb2",755,907,781,847
"Cpeb3",745,776,786,896
"Cpeb4",2369,2233,2100,2726
"Cped1",48,83,117,43
"Cplane1",568,533,587,713
"Cplane2",20,26,18,32
"Cplx1",1573,1648,1289,1696
"Cplx2",6448,4238,4163,6824
"Cplx3",7,10,5,6
"Cpm",93,123,108,97
"Cpn1",2,1,3,3
"Cpn2",0,0,1,0
"Cpne1",17,11,20,20
"Cpne2",78,59,91,84
"Cpne3",175,258,266,251
"Cpne4",19,36,21,14
"Cpne5",18,28,10,15
"Cpne6",88,128,53,61
"Cpne7",12,17,5,4
"Cpne8",19,27,34,38
"Cpne9",180,123,148,192
"Cpox",393,371,301,306
"Cpped1",223,234,197,246
"Cpq",55,88,97,69
"Cps1",8,4,8,6
"Cpsf1",621,598,590,717
"Cpsf2",417,421,365,496
"Cpsf3",181,157,129,209
"Cpsf4",172,135,127,196
"Cpsf4l",34,30,33,38
"Cpsf6",1332,1702,1723,2162
"Cpsf7",664,681,609,821
"Cpt1a",175,184,174,178
"Cpt1b",6,8,5,2
"Cpt1c",265,211,235,312
"Cpt2",46,62,63,61
"Cptp",232,201,185,235
"Cpxm1",49,36,38,40
"Cpxm2",19,9,11,8
"Cpz",0,2,3,0
"Cr1l",213,221,243,260
"Cr2",10,17,21,21
"Crabp2",40,44,37,18
"Cracr2a",8,10,10,7
"Cracr2b",29,14,17,25
"Cradd",45,50,39,44
"Cramp1l",341,342,355,425
"Crat",222,210,169,276
"Crb1",15,11,5,4
"Crb2",51,38,38,30
"Crb3",9,10,6,6
"Crbn",546,565,535,810
"Crcp",138,115,110,137
"Creb1",1131,1391,1157,1449
"Creb3",368,326,290,377
"Creb3l1",23,21,18,15
"Creb3l2",153,180,156,127
"Creb3l3",4,3,1,4
"Creb3l4",6,2,2,3
"Creb5",228,178,196,234
"Crebbp",1496,1439,1391,1826
"Crebl2",573,661,580,640
"Crebrf",3011,3090,2707,3886
"Crebzf",1131,1118,1108,1427
"Creg1",556,488,510,641
"Creg2",218,295,149,102
"Creld1",367,306,291,393
"Creld2",73,87,54,93
"Crem",130,174,144,165
"Crh",2,13,6,3
"Crhbp",9,10,4,1
"Crhr1",349,259,223,389
"Crhr2",19,9,6,2
"Crim1",479,509,480,425
"Crip1",7,3,8,10
"Crip2",75,68,56,72
"Crip3",5,6,3,6
"Cript",160,185,163,211
"Crisp2",0,0,0,0
"Crispld1",48,57,43,25
"Crispld2",34,61,45,38
"Crk",1638,1767,1644,1907
"Crkl",1022,1072,996,1100
"Crlf1",26,20,19,21
"Crlf2",62,48,53,61
"Crlf3",178,157,162,218
"Crls1",185,172,168,244
"Crmp1",845,707,730,967
"Crnkl1",147,162,144,199
"Crocc",344,314,285,361
"Crocc2",7,23,32,14
"Crot",170,204,197,249
"Crp",0,0,0,0
"Crppa",55,69,67,75
"Crtac1",24,22,12,6
"Crtam",873,571,560,1218
"Crtap",18,17,5,8
"Crtc1",961,753,734,1053
"Crtc2",300,241,218,367
"Crtc3",310,274,270,362
"Cry1",174,194,175,170
"Cry2",827,770,705,967
"Cryaa",1,1,0,0
"Cryab",240,274,180,250
"Cryba1",10,6,2,16
"Cryba2",5,1,3,3
"Cryba4",1,0,2,0
"Crybb1",3,1,1,2
"Crybb3",2,2,0,2
"Crybg1",14,28,32,21
"Crybg2",0,1,3,2
"Crybg3",195,256,246,177
"Cryga",0,0,0,0
"Crygn",3,6,1,1
"Crygs",3,0,0,1
"Cryl1",33,27,22,19
"Crym",0,0,1,1
"Cryz",85,80,83,83
"Cryzl1",221,248,208,291
"Cryzl2",31,59,73,47
"Cs",1197,1108,1111,1217
"Csad",172,171,202,226
"Csdc2",1318,1274,1330,1416
"Csde1",1986,2063,1988,2527
"Cse1l",372,385,394,546
"Csf1",186,199,180,190
"Csf1r",192,227,215,182
"Csf2ra",128,109,116,146
"Csf2rb",1,3,3,5
"Csf2rb2",4,2,3,3
"Csf3",2,1,1,4
"Csf3r",14,12,9,9
"Csgalnact1",73,110,90,77
"Csgalnact2",186,212,193,270
"Csk",202,213,177,189
"Csl",1,1,1,0
"Csmd1",156,210,176,185
"Csmd2",264,230,196,252
"Csmd3",140,217,167,215
"Csn1s1",0,0,0,0
"Csnk1a1",1913,2192,2100,2417
"Csnk1d",1169,979,957,1016
"Csnk1e",357,316,250,309
"Csnk1g1",620,518,495,773
"Csnk1g2",998,976,866,1037
"Csnk1g3",537,595,559,662
"Csnk2a1",890,915,909,1007
"Csnk2a2",400,387,389,447
"Csnk2b",163,141,114,245
"Csnka2ip",3,12,4,7
"Cspg4",135,158,131,96
"Cspg5",1140,1035,907,1007
"Cspp1",471,546,518,605
"Csrnp1",89,66,57,68
"Csrnp2",360,315,290,413
"Csrnp3",794,1103,817,717
"Csrp1",1342,1461,1368,1297
"Csrp2",20,18,14,19
"Csrp3",1,0,0,0
"Cst3",819,1046,666,784
"Cst6",24,22,18,30
"Cst7",18,16,16,14
"Csta1",9,10,12,18
"Cstad",21,6,12,9
"Cstb",78,62,64,80
"Cstdc2",1,0,0,1
"Cstf1",140,139,131,163
