"Gene","GSM6845651","GSM6845652","GSM6845653","GSM6845654"
"1700064H15Rik",9,7,4,10
"1700066B19Rik",1,4,4,7
"1700066M21Rik",216,302,264,244
"1700067K01Rik",27,15,14,22
"1700067P10Rik",0,0,1,0
"1700069L16Rik",7,2,2,8
"1700086D15Rik",53,33,37,46
"1700088E04Rik",17,30,16,23
"1700092M07Rik",6,5,2,3
"1700093K21Rik",3,2,1,2
"1700094D03Rik",16,20,26,36
"1700102P08Rik",20,16,23,19
"1700109H08Rik",116,94,111,195
"1700123K08Rik",6,3,1,4
"1700123L14Rik",0,3,2,1
"1700123O20Rik",137,140,113,149
"1810009A15Rik",24,28,29,29
"1810010H24Rik",50,41,53,50
"1810013L24Rik",1415,1439,1218,1459
"1810020O05Rik",0,2,7,0
"1810024B03Rik",10,9,13,17
"1810030O07Rik",182,197,180,187
"1810037I17Rik",274,260,219,263
"1810046K07Rik",0,1,0,0
"1810055G02Rik",150,113,93,164
"1810058I24Rik",55,66,64,67
"1810062G17Rik",1,2,1,0
"2-Mar",317.5,289,329,346.5
"2-Sep",610,757,666,785
"2010109A12Rik",10,8,15,10
"2010300C02Rik",269,212,203,300
"2010315B03Rik",209,257,246,290
"2200002D01Rik",21,17,20,21
"2200002J24Rik",0,2,0,0
"2210011C24Rik",7,5,6,5
"2210016F16Rik",72,81,78,79
"2210016L21Rik",575,522,462,564
"2210408I21Rik",106,162,134,158
"2210418O10Rik",0,1,0,0
"2300009A05Rik",81,96,97,132
"2310003L06Rik",0,0,1,0
"2310009A05Rik",52,58,47,78
"2310009B15Rik",10,12,10,10
"2310011J03Rik",188,132,127,193
"2310022A10Rik",125,117,114,143
"2310022B05Rik",554,642,537,464
"2310030G06Rik",6,7,4,9
"2310033P09Rik",82,76,92,103
"2310034G01Rik",35,18,16,38
"2310039H08Rik",30,23,23,17
"2310057M21Rik",262,264,259,371
"2310061I04Rik",177,162,153,225
"2410002F23Rik",356,360,312,389
"2410004B18Rik",253,255,203,255
"2410004P03Rik",17,15,27,10
"2410131K14Rik",585,444,444,460
"2410137M14Rik",0,1,0,0
"2510002D24Rik",188,125,136,196
"2510009E07Rik",647,672,652,694
"2510039O18Rik",116,113,96,131
"2610001J05Rik",279,302,232,357
"2610002M06Rik",511,589,497,577
"2610008E11Rik",670,645,660,836
"2610021A01Rik",315,373,347,503
"2610028H24Rik",1,0,1,0
"2610042L04Rik",2,1,4,4
"2610044O15Rik8",366,353,333,400
"2610301B20Rik",217,276,204,240
"2610318N02Rik",0,3,3,1
"2610507B11Rik",2155,2171,2084,2268
"2610528A11Rik",0,2,1,1
"2610528J11Rik",0,1,0,1
"2700049A03Rik",110,95,108,161
"2700062C07Rik",90,66,79,97
"2700081O15Rik",293,239,193,229
"2700097O09Rik",89,97,91,160
"2810004N23Rik",203,159,171,206
"2810006K23Rik",77,67,83,99
"2810021J22Rik",171,159,173,186
"2810408A11Rik",3,8,2,1
"2810459M11Rik",71,79,80,75
"2900026A02Rik",205,241,212,165
"2900092C05Rik",0,0,0,0
"3-Mar",42,57,39,72
