"Gene_ID","GSM4913330","GSM4913331","GSM4913332","GSM4913333","GSM4913334","GSM4913335","GSM4913336","GSM4913337","GSM4913338","GSM4913339","GSM4913340","GSM4913341","GSM4913342","GSM4913343","GSM4913344"
"ENSMUSG00000000934",446,691,713,843,775,895,944,764,931,671,687,181,536,445,639
"ENSMUSG00000000938",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000942",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000948",38246,30818,27597,43749,24579,30205,30812,19776,26098,18827,18014,35137,40921,26092,33850
"ENSMUSG00000000957",19,2,210,265,394,329,72,351,379,469,350,22,71,471,202
"ENSMUSG00000000958",45,339,36,1,36,70,23,116,34,23,145,10,7,130,15
"ENSMUSG00000000959",1220,1285,1023,1317,835,866,1178,757,782,963,916,1043,971,934,912
"ENSMUSG00000000976",548,332,316,343,524,523,372,421,476,550,549,579,280,362,286
"ENSMUSG00000000982",0,51,22,0,0,0,6,22,7,6,40,1,0,28,30
"ENSMUSG00000000983",286,95,232,212,116,84,102,216,10,110,235,231,456,58,238
"ENSMUSG00000001014",19,0,7,0,30,43,38,20,35,13,30,0,57,46,86
"ENSMUSG00000001016",3348,3116,3915,3765,3932,3891,4160,3592,3865,2945,4352,3196,3773,4093,2925
"ENSMUSG00000001017",1686,1993,2894,2122,3119,3206,2515,4003,3370,3067,3788,2316,1725,2742,2522
"ENSMUSG00000001018",3653,6563,6042,8824,3832,6507,6896,8504,5693,5613,9270,4760,9668,7519,4109
"ENSMUSG00000001020",0,88,47,23,12,24,55,98,49,28,71,157,19,75,238
"ENSMUSG00000001021",2,0,16,2,18,10,34,51,10,18,26,223,41,122,298
"ENSMUSG00000001023",23,0,4,16,6,0,0,0,0,7,0,56,33,963,0
"ENSMUSG00000001025",637,457,243,550,313,380,628,1033,444,367,899,4889,1183,2134,4968
"ENSMUSG00000001027",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000001029",40,365,178,0,98,198,128,184,128,114,155,311,120,224,381
"ENSMUSG00000001034",493,260,329,86,742,390,161,395,322,395,422,270,210,725,117
"ENSMUSG00000001036",1696,1252,1366,837,2601,1615,1054,2100,1501,3243,2045,1016,719,1342,789
"ENSMUSG00000001039",846,737,747,1299,727,674,1279,761,915,522,1162,1230,1024,953,971
"ENSMUSG00000001052",871,601,747,478,1142,367,455,462,499,913,613,394,286,465,249
"ENSMUSG00000001053",99,346,322,375,296,203,54,151,313,454,168,248,320,180,0
"ENSMUSG00000001054",4361,2222,1866,985,3136,1921,3063,1960,2417,2097,1937,2777,2734,2904,2216
"ENSMUSG00000001056",5153,2497,1912,3609,1829,2840,4283,1828,2476,1315,1815,5567,5566,2820,5608
"ENSMUSG00000001062",1247,86,984,969,1357,832,444,926,998,1415,1145,1322,1004,1961,1256
"ENSMUSG00000001065",433,153,507,399,378,297,237,570,513,605,833,372,402,306,507
"ENSMUSG00000001076",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001082",365,220,893,623,816,293,542,371,504,489,559,745,651,668,1149
"ENSMUSG00000001089",1675,828,1017,1657,1295,1416,1907,862,900,1665,927,1141,1043,853,1364
"ENSMUSG00000001095",0,0,0,90,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001098",967,1564,1208,912,1966,1218,648,2276,1487,2552,1529,747,830,1357,941
"ENSMUSG00000001100",2536,2045,3567,3312,3349,3814,2385,3391,4043,4243,4071,3988,3303,3869,2858
"ENSMUSG00000001103",84,0,13,0,14,343,164,212,75,130,24,3,0,38,65
"ENSMUSG00000001105",3686,4103,2819,5089,1750,1891,3557,1929,2127,1390,2783,4992,4998,2880,6940
"ENSMUSG00000001119",465,809,1638,448,940,1442,2189,308,4928,656,1961,531,807,488,290
"ENSMUSG00000001120",838,860,1511,626,2515,809,1055,1096,1175,1969,1345,896,697,2129,724
"ENSMUSG00000001123",174,857,437,631,443,433,382,637,425,514,552,449,498,824,621
"ENSMUSG00000001127",12973,23417,22622,27208,12366,14051,15632,12896,18077,9820,15850,11603,24122,13555,9012
"ENSMUSG00000001128",166,78,101,233,50,62,91,64,102,45,118,343,160,113,228
"ENSMUSG00000001131",0,48,0,25,0,9,14,38,8,10,34,6,0,29,0
"ENSMUSG00000001134",559,449,275,351,222,391,468,377,371,261,365,910,528,319,563
"ENSMUSG00000001138",55,34,437,172,576,225,119,391,496,654,436,225,325,338,173
"ENSMUSG00000001143",1154,1551,1813,1171,1952,1497,1275,1244,1836,1674,1524,773,1251,1076,455
"ENSMUSG00000001150",155,0,222,369,590,91,252,234,134,478,403,255,332,143,684
"ENSMUSG00000001151",242,123,150,466,336,295,182,267,195,306,135,254,87,95,190
"ENSMUSG00000001155",0,0,12,0,0,0,0,0,0,0,0,0,42,0,0
"ENSMUSG00000001156",230,139,385,110,515,398,279,280,413,536,607,195,232,457,42
"ENSMUSG00000001157",1288,1244,2179,1126,1409,1810,1391,1755,2105,1605,1569,1194,1289,1669,1008
"ENSMUSG00000001158",3002,4089,2999,5528,1748,2410,3932,2148,2550,1109,2652,4927,5410,3008,4948
"ENSMUSG00000001166",0,0,2,0,53,0,26,32,10,11,60,0,0,5,0
"ENSMUSG00000001168",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001173",662,971,1131,989,1542,1331,1075,889,1429,1274,1390,832,404,708,442
"ENSMUSG00000001175",190566,119813,113161,135085,110062,130152,151955,82030,125015,70136,101618,252730,234163,165817,255441
"ENSMUSG00000001211",3991,2397,2491,2477,3073,2557,1411,3042,2436,3825,2916,4495,2625,2877,4721
"ENSMUSG00000001225",0,0,0,0,0,39,45,29,62,92,50,0,0,0,0
"ENSMUSG00000001227",603,185,727,370,1407,602,169,499,524,1198,665,436,541,766,540
"ENSMUSG00000001228",0,0,0,0,1,0,25,53,15,28,46,0,0,21,0
"ENSMUSG00000001229",314,923,497,195,1186,351,241,451,409,1191,284,427,417,486,588
"ENSMUSG00000001240",6257,4509,2817,5125,3590,3873,7063,3410,4340,3099,4145,5511,3837,4134,4951
"ENSMUSG00000001247",147,1,188,145,268,163,69,237,247,590,266,85,302,341,144
"ENSMUSG00000001248",1641,2405,3876,3436,4104,2248,1547,2326,2469,2638,3676,1103,2109,2758,2038
"ENSMUSG00000001249",73,0,47,1,10,21,33,0,7,10,0,0,0,0,72
"ENSMUSG00000001260",1583,3367,12113,3018,3615,2422,1235,3406,3482,1792,5576,654,2335,1055,659
"ENSMUSG00000001270",46151,66015,39632,72094,49141,37389,44146,46084,33310,50843,54475,56684,36639,70596,63834
"ENSMUSG00000001280",391,344,218,208,249,148,319,207,76,225,87,311,35,130,273
"ENSMUSG00000001281",0,0,26,0,6,0,0,36,28,33,70,0,0,9,1
"ENSMUSG00000001285",1229,1136,1218,2458,902,1372,2179,1146,1387,1072,1615,1154,1123,1148,887
"ENSMUSG00000001288",28,0,30,1,12,24,37,22,22,46,44,43,15,23,20
"ENSMUSG00000001289",4225,3139,2651,4654,1754,2685,3785,2531,2266,1556,2822,4040,2538,2174,3601
"ENSMUSG00000001300",275,54,206,119,640,155,126,146,447,137,238,615,281,419,189
"ENSMUSG00000001305",788,975,661,644,520,679,743,466,501,233,723,1060,748,497,687
"ENSMUSG00000001313",5732,6021,6039,10364,3020,2936,2120,5063,4369,2808,6164,4834,2526,2529,4257
