Gene_ID,GSM4751074,GSM4751075,GSM4751076,GSM4751077,GSM4751078,GSM4751079,GSM4751080,GSM4751081,GSM4751082,GSM4751083,GSM4751084,GSM4751085,GSM4751086,GSM4751087,GSM4751088,GSM4751089,GSM4751090,GSM4751091,GSM4751092,GSM4751093,GSM4913330,GSM4913331,GSM4913332,GSM4913333,GSM4913334,GSM4913335,GSM4913336,GSM4913337,GSM4913338,GSM4913339,GSM4913340,GSM4913341,GSM4913342,GSM4913343,GSM4913344,GSM4960153,GSM4960154,GSM4960155,GSM6435238,GSM6435239,GSM6435240,GSM6435241,GSM6506766,GSM6506768,GSM6506769,GSM6614483,GSM6614484,GSM6614485,GSM6753921,GSM6753922,GSM6753923,GSM6845651,GSM6845652,GSM6845653,GSM6845654,GSM6964918,GSM6964919,GSM6964920,GSM7012039,GSM7012040,GSM7083658,GSM7083659,GSM7083660,GSM7102172,GSM7102173,GSM7102174,GSM7300216,GSM7300217,GSM7300218,GSM7300219,GSM7329492,GSM7329493,GSM7329494,GSM7329495,GSM7329500,GSM7329501,GSM7329502,GSM7329506,GSM7329507,GSM7329508,GSM7427996,GSM7427997,GSM7427998,GSM7427999,GSM7428004,GSM7428005,GSM7428006,GSM7428007,GSM7509810,GSM7509811,GSM7509812,GSM7994873,GSM7994882
54122,4.177435897,4.374052262,4.186813071,4.308902848,4.266434342,4.444404436,4.086882323,4.326260931,4.160217116,4.335526162,4.328075203,4.072820929,4.17994144,4.329482623,4.366704827,4.445044421,4.522998198,4.36297727,4.33949844,4.169083795,4.016926959,3.994655231,3.467032081,3.975959851,3.714518203,3.916619811,2.824398798,3.609957427,3.272337264,3.274659026,3.937022968,3.933927598,2.142863514,3.443729233,2.850348918,3.18941554,3.788345932,3.649740451,4.177060128,4.550128848,4.365601797,4.321679793,3.862101201,3.529556653,3.704402348,4.540927357,4.17128309,4.42355323,2.985482834,2.806720481,2.775220499,4.284074345,4.391638232,4.352482516,4.430690541,4.47431325,4.434875713,4.555429823,4.657021265,4.67736224,2.248540076,1.998522477,3.160081523,3.831402319,3.819044189,4.091104009,4.741976194,4.81514868,4.686763329,4.812817324,4.788133107,4.823464355,4.831978753,4.761124221,5.038837128,5.036213709,4.968395384,4.760248112,4.96456122,4.982322264,4.128604752,4.17261067,4.004315771,4.089222011,4.171438027,4.25881894,4.142184298,4.328199072,4.358060684,4.342490861,4.129154119,2.913383855,1.77030152
16832,8.952401687,8.722083768,8.973151258,9.1805931,8.969128307,8.893958978,9.173986604,9.007791409,9.201863732,8.935358631,8.949335025,9.890051007,9.261249296,9.279974457,9.277199065,9.02576837,9.299472642,8.81738043,9.011902205,9.222301662,10.03337448,10.53335686,9.784584077,11.12445728,9.298247957,9.711260725,10.35398254,9.519707745,9.80261036,9.320231806,9.84950189,10.82323274,10.99270251,10.36599878,10.91908405,8.424549902,8.300596069,8.388962752,9.022777064,8.95582426,8.654248182,8.896105251,10.74049287,10.70052939,10.66739326,8.763915912,8.070051298,8.948749207,11.46504405,11.40172378,11.35176112,6.679950695,6.646849659,6.647727652,6.752294463,8.434513025,8.690548958,8.609531872,7.890290574,7.915419111,8.542002059,8.603975692,8.579092977,9.15610417,8.776824534,8.396563141,7.65450659,7.709772021,7.417749766,7.681711847,8.393153792,8.439833571,8.315805561,8.649322359,8.529801748,8.42177761,8.52402961,8.689772558,8.864186464,8.790918105,9.380683233,9.549319244,9.578095684,9.520391955,9.376960605,9.091545869,9.115656492,9.218355563,9.430469046,9.346071965,9.52581092,7.735657245,8.214858948
16828,8.284618767,8.413473496,8.208128038,8.19432481,8.241812655,8.238356022,8.318101398,8.157654589,7.986084075,8.085983266,8.099648524,7.910199985,7.70402591,7.520610427,7.792271168,7.649305365,7.503059473,7.753696723,7.827923168,7.852331303,11.05175,9.043474664,9.499928244,9.215241696,10.58548232,9.663979275,10.27153282,9.028473054,9.628134667,9.028732658,9.026322286,10.27346554,10.05436612,9.927464806,10.1863707,7.574205085,7.624966992,7.73828586,8.308728301,8.426610849,8.524796783,8.335031647,9.230486328,9.258986429,9.20339356,8.345947441,9.364483216,8.452536229,8.957910844,8.92800876,8.869844737,5.365249315,5.302113069,5.398258026,5.489005963,8.327834396,8.256435894,8.491702402,7.151057004,7.104332775,7.602996495,7.494154802,7.375414945,7.897251017,7.731339103,7.729420914,5.963464433,5.985688002,6.078437415,5.968870485,6.861788875,6.966574204,7.083365696,7.059736075,6.550439277,6.570595924,6.722448185,6.810930931,6.846625635,7.001075292,8.528119171,8.569681989,8.587743048,8.46759645,8.304630206,8.307963394,8.396027497,8.365218745,7.789519141,8.11021908,8.094034112,7.407223097,7.584410539
80879,3.715132226,3.695502348,3.469280225,3.518441548,3.441986344,3.077639861,3.679330042,3.348538653,3.09465039,3.222589122,3.043489054,2.545654046,2.081222747,2.324530293,2.718735832,2.134824194,2.33899852,2.636522792,2.297314708,2.706198108,-2.802069124,-2.802069124,-0.222571598,-1.112411139,0.138215107,0.224717499,-0.462469587,0.822507218,-0.453163836,1.422626562,1.09018333,-0.210309288,2.00679693,1.093242099,-1.414532768,1.673483489,2.010317599,1.883010892,2.505693694,2.552035922,2.702538601,1.520209664,1.2247764,1.665431716,1.49499577,2.402654647,4.247708507,2.44819975,1.415451243,1.588004184,1.113767266,1.783016862,0.832962271,1.537098255,1.661990374,2.037300482,2.26376954,2.117598595,-0.632411033,-2.802069124,2.495258545,2.657049992,1.444322327,2.475955218,2.284384829,2.407306273,1.532875758,1.141640246,1.580242246,1.526198836,-0.636823157,-1.970462092,-2.286394204,-1.040181954,-1.788382301,-1.813475357,-1.553777102,0.0401052,-1.358271749,-1.923374138,2.666962061,2.79881361,2.129837922,1.75463429,2.076381537,2.335657513,2.085898767,2.243206685,2.021304211,2.081581018,2.408955792,2.043643663,2.392160733
20503,3.146910813,2.544335446,3.095097569,3.160417926,2.752415818,2.715795049,2.774563877,2.665910107,3.045626017,2.799920067,2.774555777,2.040570079,2.935308885,3.008066697,2.706776934,3.017963369,2.678858719,2.865132139,3.073913732,2.326055266,5.08060764,4.146776236,3.62754547,2.745995413,4.439644142,4.474505374,4.317858871,3.864542889,4.654045957,2.796616862,4.081302938,5.146307862,4.995155958,4.611272771,5.520860623,5.016660877,5.13079133,5.359236731,6.307917334,6.277605156,6.452585344,6.073792634,4.248429501,4.212173314,4.352155397,3.892380181,3.245459717,3.611240329,3.658633406,3.337714266,3.469042305,5.749855023,5.825973202,5.85988293,6.342786545,5.778984968,5.673115219,5.627434662,6.213282166,6.298615472,2.818919083,1.618849331,2.363920296,4.092945099,2.853182383,2.424187379,4.624684952,4.630635383,4.603129656,4.351140189,4.258046381,4.263300296,4.099846842,4.018083253,4.224965025,4.246661508,4.140092042,4.157005484,3.989210255,4.139186411,5.54028918,5.43652623,5.428606419,5.143334675,5.464959675,5.742543538,5.450608609,5.528714331,3.600117809,3.751844723,3.601211519,3.321540744,3.508008692
20501,6.235968329,6.069233381,6.315042801,6.472870776,6.1783505,5.8381394,5.744593159,5.645641366,5.997994358,5.852650181,5.924774945,6.32911703,6.027605162,6.20053429,5.831147642,5.67899717,6.096740542,5.663747628,5.807721728,6.117452808,6.026378234,4.192745775,6.195190468,5.82699932,6.040299841,7.195306786,6.668415735,7.468221795,6.752007372,7.056205542,6.859182466,5.738342874,5.119958858,6.477327152,3.757762252,6.558617792,6.874989541,6.598165417,5.822648665,5.902487439,5.585377821,5.482709857,5.080581781,5.027084028,5.263886789,5.980817283,6.699804713,5.771133584,5.953437261,5.930248527,6.065656668,6.341558674,6.476378664,6.434212988,6.084160596,6.089183502,5.90787267,6.189786964,5.734030125,5.659468102,5.525207064,5.568408438,5.438368013,5.464217966,5.469625338,5.459945848,8.236894498,8.164062459,8.214621029,8.566513057,6.895822987,6.61740161,6.813147222,6.786718736,6.750660083,6.653829487,6.664720987,6.666774826,6.839807025,6.803492855,5.214402656,5.129315672,5.341195268,4.829056146,4.954157104,4.849144512,5.419684539,5.124693412,5.444072069,5.411128367,5.364257654,6.214073983,5.756576385
232156,-1.305857011,-1.412627698,-0.019174211,-0.963693848,-1.509084991,-2.205407235,-1.094813849,-2.802069124,3.452597042,-1.50911051,-1.740921505,0.805461192,2.965119032,0.023897497,2.805400881,-0.475047427,0.13528994,-1.317945292,3.518678223,5.123907979,-2.802069124,-2.802069124,-1.339127194,-2.802069124,-2.802069124,-2.802069124,1.361705044,2.65033166,1.52055132,4.951288443,1.280201245,-2.802069124,-2.802069124,-2.802069124,-2.802069124,3.056707343,3.631931546,1.652163688,-0.812953125,-1.543890496,3.516022218,-2.263534218,-1.625174932,-2.469491994,-1.437436937,3.180482719,-2.802069124,4.021145895,-1.972354332,-2.576298502,-1.878539971,2.904788727,2.608712591,-1.710004163,0.31264225,3.429361598,5.537058868,-0.913936687,-2.036675677,-1.563390773,0.938047654,0.99464709,1.361602444,-2.205079793,-2.802069124,-2.802069124,-2.186467335,-1.811777675,-2.027045787,-1.530725185,1.172116513,3.955543082,2.816235153,4.248082128,1.471682215,1.568443855,0.727285554,3.867425428,4.16216651,2.484131146,2.123653902,-2.000747262,-1.931963736,1.770795126,1.004846012,-2.507491166,0.320937082,-0.2494298,-0.109971408,-0.570294263,-0.906756942,-2.802069124,1.586293288
54403,8.425900621,8.366193463,8.405977736,8.570674506,8.106075367,8.395281879,8.497041807,8.242514275,8.363068153,8.342065549,8.38512024,8.638424166,8.475923645,8.572996245,8.475091514,8.461238252,8.629027418,8.441864415,8.400462605,8.475628632,6.294596171,4.322469386,6.196016793,5.26111195,5.894511606,5.980586253,5.492934297,6.179923921,5.634183575,6.592819158,5.842713675,5.338505167,4.61701677,5.509269132,4.50341494,8.017322029,8.195676022,8.021362789,7.881121615,7.87925032,7.827028081,7.842714061,6.369601336,6.351363258,6.341627238,8.245214003,6.888193938,8.131470454,4.405122281,4.336767255,4.442336985,9.040249301,9.258428832,9.500943317,9.209486172,7.856235024,7.849560129,7.693867787,8.625319687,8.573368597,8.055424601,8.134782758,8.156013927,7.879576199,7.991588634,7.872484452,7.692948651,7.773755337,7.765778884,7.813560107,9.764468669,9.691834893,9.509410057,9.325711401,9.501003962,9.578176979,9.697160244,10.13808871,10.03571372,10.0028215,7.227619493,7.383498695,7.171078682,7.278641345,7.451325154,7.274671543,7.437588608,7.384676148,8.799740473,8.583007115,9.048412107,8.313437469,7.738607088
18293,8.243262139,8.217659393,8.281705865,8.246300303,8.131362578,8.283940934,8.205733782,8.242514275,8.226966652,8.270811056,8.165517426,8.438616732,8.237665759,8.300524052,8.169764512,8.135029159,8.32213369,8.097224012,8.205997748,8.262943917,6.772227819,7.59827204,8.008075405,6.172567404,8.357699388,7.785294626,7.084149222,7.843787331,7.384010997,8.77399406,7.536294917,6.621651214,6.557639542,7.500706518,6.112800098,8.392784602,8.337387568,8.400360346,8.352616094,8.311090751,8.199276446,8.225778052,7.50815474,7.459462982,7.516463511,7.914620753,7.910841909,7.848533216,8.718952658,8.755076082,8.520106592,8.043514071,7.978653054,7.98653106,8.048586904,8.050180956,8.119869445,8.035522877,8.056112893,8.06523765,7.876557155,7.852627644,8.094911666,8.718210614,8.533019505,8.664831727,7.88611477,7.843775656,7.784049536,7.869456058,8.479626974,8.428643625,8.450712045,8.659654757,8.442516464,8.443871237,8.465127126,8.631955534,8.735345916,8.715058012,8.338887993,8.315034517,8.395535001,8.194138057,8.306502333,8.304410472,8.293641289,8.298455767,8.985528616,8.900604336,9.035603415,7.793485582,7.843678107
13382,7.423899383,7.243815478,7.340555404,7.469794225,7.327803932,7.386586664,7.38595479,7.222964893,7.446624296,7.159056738,7.266355353,7.409399995,7.201883624,7.283188882,7.10065483,7.060713753,7.141859295,7.077675119,7.165489119,7.148777639,8.393815353,8.841364972,8.450008411,8.516111666,8.006533478,8.965531054,9.062985618,8.248870146,8.75155015,7.884531533,8.113586374,8.100081099,9.038292355,8.242810075,8.148756331,7.351521501,7.46639109,7.490108139,7.286514262,7.280598847,7.169343148,7.174284064,7.829875602,7.814626686,7.789310607,7.765162871,7.692389396,7.792265256,8.157873849,7.925327769,7.871684327,6.953857588,7.157797686,7.194932609,7.203158225,7.291107374,7.328798853,7.409920399,6.019362436,6.107875981,6.550502674,6.795664017,6.360775573,6.859150507,6.859352282,6.837454127,6.983403064,7.047642899,6.999229019,6.99026286,8.455183836,8.252108682,8.387358902,8.172474306,8.266822243,8.313629546,8.355591223,8.317272144,8.178326192,8.469465742,7.628404144,7.637609458,7.688110387,7.610090154,7.42319612,7.369247614,7.422369283,7.421923969,7.268693785,7.33421849,7.246539794,6.153914853,5.916351281
