"Gene_ID","ubiquity_score_25","ubiquity_score_30","ubiquity_score_50","ubiquity_score_75","ubiquity_score_90"
17117,1,0.98989898989899,0.141414141414141,0,0
67582,1,1,0.121212121212121,0,0
109674,0.00670640834575261,0.00670640834575261,0.00643544235198483,0.0038612654111909,0
229665,0,0,0,0,0
11717,1,0.98989898989899,0.616161616161616,0.0202020202020202,0
16790,0.00426771440184257,0.0014903129657228,0,0,0
109959,0,0,0,0,0
100043688,0,0,0,0,0
100043684,0,0,0,0,0
100043686,0,0,0,0,0
11722,1,1,0.434343434343434,0.0606060606060606,0
20532,0.222222222222222,0.191919191919192,0.181818181818182,0.101010101010101,0
30962,0,0,0,0,0
26459,6.77414984419455e-05,6.77414984419455e-05,6.77414984419455e-05,0,0
242669,0,0,0,0,0
330836,1,1,0.585858585858586,0,0
11847,0.656565656565657,0.404040404040404,0.212121212121212,0.141414141414141,0.0707070707070707
11898,0.848484848484849,0.737373737373737,0.575757575757576,0.121212121212121,0
83885,6.77414984419455e-05,0,0,0,0
18408,0.98989898989899,0.98989898989899,0.202020202020202,0,0
11883,0.00670640834575261,0.00670640834575261,0.00602899336133315,6.77414984419455e-05,0
11886,0.00670640834575261,0.00670640834575261,0.00650318385042677,0.00379352391274895,0.000812897981303346
54338,0.00670640834575261,0.00670640834575261,0.00670640834575261,0.00616447635821704,0.0046064218940523
20522,0.0707070707070707,0,0,0,0
66514,0.00670640834575261,0.00670640834575261,0.00670640834575261,0.00670640834575261,0.00629995935510093
27053,0.00670640834575261,0.00670640834575261,0.00670640834575261,0.00616447635821704,0.00162579596260669
69719,0.00636770085354288,0.00616447635821704,0.00331933342365533,0,0
20513,0.00657092534886872,0.0060967348597751,0.00237095244546809,0.000948380978187237,0
20510,1,1,1,0.888888888888889,0.121212121212121
20512,1,1,1,1,1
20511,0.00670640834575261,0.00670640834575261,0.00670640834575261,0.00670640834575261,0.00670640834575261
242607,0,0,0,0,0
12496,0.888888888888889,0.848484848484849,0.202020202020202,0,0
12495,0.00670640834575261,0.00636770085354288,0.000745156482861401,0,0
215446,0.00643544235198483,0.00569028586912342,0.000745156482861401,0,0
12497,0.00670640834575261,0.00670640834575261,0.00616447635821704,0.0029806259314456,0.000135482996883891
12499,1,1,0.94949494949495,0.141414141414141,0
72090,6.77414984419455e-05,0,0,0,0
11739,0.00670640834575261,0.00670640834575261,0.00670640834575261,0.00670640834575261,0.00670640834575261
11740,0.00670640834575261,0.00670640834575261,0.00670640834575261,0.00670640834575261,0.00650318385042677
73333,0.0101010101010101,0,0,0,0
110173,0.96969696969697,0.96969696969697,0.0909090909090909,0,0
26879,1,1,1,0.515151515151515,0.171717171717172
54218,0.868686868686869,0.494949494949495,0,0,0
93961,0.00663866684731066,0.00650318385042677,0.00623221785665899,0.00325159192521339,0.000135482996883891
108105,0.00182902045793253,0.00162579596260669,0.00108386397507113,0.00060967348597751,0
12012,6.77414984419455e-05,6.77414984419455e-05,0,0,0
110948,1,0.97979797979798,0.373737373737374,0,0
22348,0.93939393939394,0.929292929292929,0.848484848484849,0.686868686868687,0.464646464646465
170442,0.00467416339249424,0.00365804091586506,0.00060967348597751,0,0
63857,0,0,0,0,0
71911,1,1,1,0.414141414141414,0.0303030303030303
64918,0.000474190489093619,0.000203224495325837,0,0,0
12116,0.0404040404040404,0.0101010101010101,0.0101010101010101,0,0
101488,0.95959595959596,0.929292929292929,0.262626262626263,0,0
12780,6.77414984419455e-05,6.77414984419455e-05,6.77414984419455e-05,0,0
76408,0.313131313131313,0.0202020202020202,0,0,0
28253,0.000203224495325837,6.77414984419455e-05,6.77414984419455e-05,6.77414984419455e-05,0
233016,0.00670640834575261,0.00569028586912342,0.000677414984419455,6.77414984419455e-05,0
109778,1,0.97979797979798,0.484848484848485,0.111111111111111,0.0202020202020202
55981,0.00670640834575261,0.00650318385042677,0.00379352391274895,0.000948380978187237,0
23827,0.00670640834575261,0.00670640834575261,0.00670640834575261,0.0046064218940523,6.77414984419455e-05
26363,1,0.97979797979798,0.111111111111111,0,0
330064,1,1,0.747474747474748,0.0202020202020202,0
80721,0.00501287088470397,0.00182902045793253,0,0,0
103149,0.0909090909090909,0.0202020202020202,0,0,0
73166,1,0.97979797979798,0.404040404040404,0.111111111111111,0
18194,1,0.97979797979798,0.828282828282828,0.0808080808080808,0.0101010101010101
15488,1,1,0.95959595959596,0.838383838383838,0
66234,0,0,0,0,0
320707,0.00670640834575261,0.00670640834575261,0.0060967348597751,0.00541931987535564,0.00399674840807479
11941,1,1,1,0.95959595959596,0.909090909090909
67972,0.00670640834575261,0.00670640834575261,0.00670640834575261,0.00670640834575261,0.00643544235198483
381290,0.98989898989899,0.98989898989899,0.94949494949495,0.747474747474748,0.474747474747475
12359,1,1,0.98989898989899,0.535353535353535,0.0404040404040404
110893,0.00629995935510093,0.00623221785665899,0.00501287088470397,0.00257417694079393,0.000135482996883891
20541,0.00670640834575261,0.00650318385042677,0.00575802736756537,0.00433545590028451,0.00399674840807479
110891,0.888888888888889,0.878787878787879,0.848484848484849,0.828282828282828,0.474747474747475
109136,1,1,0.686868686868687,0.0707070707070707,0
