mets,genes,rxns,,"# in genes, we removed the transcript numeber, ex .1, .2 ..etc and removed duplicates to maintain the uniques genes "
xoldioloneh[c],1491,CHOLATEt,,
xoltriol[c],1503,CHOLATEt2,,
ala_L[e],151531,CHOLK,,
asn_L[c],152586,CHOLtg,,
ala_L[c],153201,CHOLtn,,
asn_L[e],1537,CHOLtu,,
cys_L[c],154091,CHSTEROLSULT,,
cys_L[e],1543,CHSTEROLt1,,
ala_D[e],1544,CHSTEROLt2,,
gln_L[c],1545,CITtam,,
ala_D[c],1548,CK,,
gln_L[e],1549,CKc,,
gly[c],1551,CLFORtex,,
gly[e],155184,CLOHtex2,,
ser_L[c],1553,CLPNDCOAtx,,
ser_L[e],1555,CLS_hs,,
gly[m],1558,CMPACNAtg,,
5aop[m],1559,CMPSAS,,
thr_L[c],1562,CO2ter,,
thr_L[e],1565,CO2tg,,
12ppd_R[c],1571,CO2tm,,
lald_D[c],1572,CO2tp,,
acald[c],1573,COAtg,,
arachd[c],157506,COAtl,,
12HPET[c],1576,COAtm,,
15HPET[c],1577,COAtn,,
5HPET[c],158,COAtp,,
leuktrA4[c],1580,COQ3m,,
dhcholestancoa[x],1581,COQ5m,,
h2o[x],1582,COQ6m,,
ahcys[m],158584,COQ7m,,
ahcys[c],1588,CORE2GTg,,
amet[m],159,COt,,
imp[c],1591,COUCOAFm,,
andrstrn[r],1593,CREATt4_2_r,,
andrstrn[c],1595,CREATtmdiffir,,
ala_B[m],159963,CRNCAR3tp,,
msa[m],160287,CRNt,,
apoC[m],160428,CRNtuNa,,
lys_L[m],1606,CSAPASEly,,
apoC_Lys[m],1607,CSBPASEly,,
apoC_Lys_btn[m],1608,CSEPASEly,,
biocyt[m],160851,CSm,,
aprut[c],1609,CSNAT3x,,
n4abutn[c],1610,CSNATp,,
arachdcoa[c],1621,CSNATr,,
arachdcoa[x],1622,CSNt,,
arachd[e],162417,CSPG_At,,
arachd[r],162466,CSPG_Atly,,
arach[e],1629,CSPG_Btly,,
arach[c],1633,CSPG_Dt,,
arg_L[m],1635,CSPG_Etly,,
lys_L[c],1644,CYSALANaEx,,
arg_L[e],1645,CYSASNNaEx,,
lys_L[e],1646,CYSGLNNaEx,,
arg_L[c],166012,CYSGLUexR,,
asp_L[c],166929,CYSGLYexR,,
citr_L[c],168391,CYSO,,
argsuc[c],169355,CYSSERNaEx,,
h2o[l],170384,CYSt4,,
sgalside_hs[l],170712,CYSTA,,
galside_hs[l],171425,CYSTHRNaEx,,
so4[l],1716,CYTDK2m,,
Rtotal2[c],1717,CYTDt,,
Rtotal3[c],1718,CYTDt4,,
Rtotal3coa[c],1719,CYTDtm,,
crm_hs[l],1723,CYTK11,,
Rtotal[l],1727,CYTK1m,,
sphings[l],1728,CYTK5,,
ascb_L[e],1737,CYTK6,,
ascb_L[c],1738,DADNt4,,
asn_L[m],1743,DAGK_hs,,
asp_L[m],1757,DAGt,,
nh4[m],178,DALAOXx,,
cbp[c],18,DALAt2r,,
cbasp[c],1806,DALAxt,,
asp_D[e],1807,DASCBR,,
k[c],1808,DCK1m,,
asp_D[c],1809,DCSPTN1COAtx,,
k[e],1811,DCYTDn,,
Nacasp[m],1836,DCYTt,,
asp_L[e],1841,DECDPtm,,
oaa[m],1854,DESAT16_2,,
adp[r],1890,DESAT18_10,,
atp[r],1892,DESAT18_3,,
amp[r],19,DESAT18_4,,
atp[e],192134,DESAT18_5,,
pi[e],195814,DESAT18_6,,
amp[e],1962,DESAT18_7,,
udpacgal[g],196883,DESAT18_8,,
gbside_hs[g],197257,DESAT18_9,,
acglcgalgluside_hs[g],199974,DESAT20_1,,
galacglcgalgluside_hs[g],200010,DESAT20_2,,
gal14acglcgalgluside_hs[g],200576,DESAT22_2p,,
acglcgal14acglcgalgluside_hs[g],200810,DGAT,,
galacglcgal14acglcgalgluside_hs[g],200931,DGCHOLtx,,
acglcgalacglcgal14acglcgalgluside_hs[g],201288,DGSNt,,
galacglcgalacglcgal14acglcgalgluside_hs[g],201595,DHAAt1r,,
h2o[g],2023,DHCR71r,,
gly[x],2026,DHCR72r,,
dgcholcoa[x],2027,DHCRD1,,
coa[x],203,DHDPBMTm,,
dgchol[x],2030,DHEASt,,
btn[m],204,DHORD9,,
btamp[m],205,DHPM1,,
ala_B[c],2053,DINt,,
bhb[m],206358,DKMPPD,,
bhb[c],2098,D_LACt2,,
hcys_L[c],21,D_LACtm,,
glyb[c],210,DM_13_cis_retn_n_,,
dmgly[c],2108,DM_datp_m_,,
met_L[c],2109,DM_dctp_m_,,
hco3[c],211,DM_dgtp_m_,,
bildglcur[e],2110,DM_dttp_m_,,
hco3[e],212,DM_gncore2_g_,,
bildglcur[c],2131,DM_sprm_c_,,
bildglcur[r],2132,DM_sTn_antigen_g_,,
bilglcur[c],2134,DOLGLCP_Lter,,
