mets,genes,rxns,,"# in genes, we removed the transcript numeber, ex .1, .2 ..etc and removed duplicates to maintain the uniques genes "
hxan[e],91703,r1894,,
im4ac[c],91734,r1895,,
4izp[c],9187,r1896,,
xyl_D[e],9194,r1897,,
pydxn[e],9197,r1898,,
thm[e],92086,r1899,,
phpyr[e],9227,r1900,,
CE4970[c],92370,r1901,,
CE4970[e],9245,r1902,,
CE2026[c],92483,r1903,,
CE2026[e],92579,r1904,,
CE4968[c],92745,r1905,,
CE4968[e],9296,r1906,,
td2glutrcoa[m],93010,r1907,,
3hglutcoa[m],93034,r1908,,
3ohglutac[m],93100,r1909,,
3ohglutac[c],93183,r1910,,
3ohglutac[e],9331,r1911,,
caproic[c],9334,r1912,,
CE7172[e],9348,r1913,,
pail_hs[e],93517,r1914,,
pe15_hs[c],9356,r1915,,
pe15_hs[e],93650,r1916,,
3aib[e],9374,r1917,,
2hydog[c],9376,r1918,,
2hydog[e],9377,r1919,,
glutar[c],9380,r1920,,
glutar[e],9394,r1921,,
eic21114tr[c],93979,r1922,,
eic21114tr[e],94033,r1923,,
CE2209[e],9415,r1924,,
mma[e],9420,r1925,,
2hyoxplac[e],9429,r1926,,
n8aspmd[e],9435,r1928,,
C09642[e],9453,r1929,,
ppp9[e],9468,r1930,,
mlthf[e],9469,r1931,,
CE4890[e],948,r1932,,
selmeth[e],9481,r1933,,
selmeth[c],9488,r1934,,
CE2705[e],9489,r1935,,
hdd2crn[e],949,r1936,,
hdd2crn[c],9498,r1937,,
N1aspmd[e],95,r1938,,
CE1918[e],9514,r1939,,
34dhpha[e],9517,r1940,,
34dhoxmand[e],952,r1941,,
CE6205[e],953,r1942,,
andrstandn[c],9536,r1943,,
C05767[e],954,r1944,,
C05770[e],955,r1945,,
ppbng[e],9550,r1946,,
glcn[e],9551,r1947,,
CE0737[e],956,r1948,,
im4ac[e],9563,r1949,,
sphgn[e],957,r1950,,
CE5665[c],9583,r1951,,
23dh1i56dio[c],9588,r1952,,
4glu56dihdind[c],9615,r1953,,
CE5025[e],9651,r1954,,
CE5629[e],9653,r1955,,
dhcrm_hs[r],97,r1956,,
Rtotal[r],9791,r1957,,
gm1_hs[l],98,r1958,,
gm2_hs[l],9843,r1959,,
ga1_hs[l],9942,r1960,,
ga2_hs[l],9945,r1961,,
ga1_hs[e],9951,r1962,,
gluside_hs[e],9953,r1963,,
crm_hs[e],9955,r1964,,
gm1_hs[e],9956,r1965,,
gm3_hs[l],9957,r1966,,
gd1c_hs[e],9962,r1967,,
gm1b_hs[e],9963,r1968,,
gd1b_hs[e],9990,r1969,,
gt1b_hs[e],,r1970,,
gq1b_hs[e],,r1971,,
sphmyln_hs[e],,r1972,,
caproic[e],,r1973,,
M00127[c],,r1974,,
tmndnc[c],,r1975,,
M02686[c],,r1976,,
M02758[c],,r1977,,
galgluside_hs[r],,r1978,,
ga2_hs[c],,r1979,,
gm3_hs[c],,r1980,,
gm2_hs[c],,r1981,,
gd2_hs[c],,r1982,,
gd1b_hs[c],,r1983,,
gt1b_hs[c],,r1984,,
acglcgalgluside_hs[c],,r1985,,
galacglcgalgluside_hs[c],,r1986,,
M02195[c],,r1987,,
galfucgalacglcgalgluside_hs[c],,r1988,,
M01989[c],,r1989,,
CE4791[c],,r1990,,
ttdcrn[m],,r1991,,
crn[m],,r2073,,
M00129[m],,r2079,,
stcrn[r],,r2080,,
M00673[c],,r2081,,
M01966[c],,r2082,,
M01966[e],,r2083,,
M02467[c],,r2084,,
M02467[e],,r2085,,
CE0074[e],,r2086,,
M03168[m],,r2087,,
12dhchol[c],,r2088,,
12dhchol[e],,r2089,,
3dhchol[c],,r2090,,
3dhcdchol[c],,r2091,,
3dhcdchol[e],,r2092,,
3dhchol[e],,r2093,,
3dhdchol[c],,r2094,,
7dhcdchol[c],,r2095,,
7dhcdchol[e],,r2096,,
7dhchol[c],,r2097,,
7dhchol[e],,r2098,,
ca24g[c],,r2099,,
ca24g[r],,r2100,,
ca24g[e],,r2101,,
ca3s[c],,r2102,,
cdca24g[c],,r2103,,
cdca24g[r],,r2104,,
cdca24g[e],,r2105,,
cdca3g[c],,r2106,,
cdca3g[r],,r2107,,
cdca3g[e],,r2108,,
hyochol[c],,r2109,,
coprost[c],,r2110,,
coprost[e],,r2111,,
dca24g[c],,r2112,,
dca24g[r],,r2113,,
dca24g[e],,r2114,,
dca3g[c],,r2115,,
dca3g[r],,r2116,,
dca3g[e],,r2117,,
dca3s[c],,r2118,,
gca3s[c],,r2119,,
gcdca3s[c],,r2120,,
gdca3s[c],,r2121,,
gudca3s[c],,r2122,,
tca3s[c],,r2123,,
tcdca3s[c],,r2124,,
tdca3s[c],,r2125,,
thyochol[c],,r2126,,
tudca3s[c],,r2127,,
udca3s[c],,r2128,,
hca24g[c],,r2129,,
hyochol[r],,r2130,,
hca24g[r],,r2131,,
hca24g[e],,r2132,,
hca6g[c],,r2133,,
hca6g[r],,r2139,,
hca6g[e],,r2140,,
hyochol[e],,r2141,,
icdchol[c],,r2142,,
icdchol[e],,r2143,,
isochol[c],,r2144,,
isochol[e],,r2145,,
uchol[c],,r2146,,
uchol[e],,r2147,,
h[i],,r2148,,
2425dhvitd3[csf],,r2149,,
34dhoxpeg[csf],,r2150,,
3aib[csf],,r2151,,
3mlda[csf],,r2152,,
ach[csf],,r2153,,
acnacngal14acglcgalgluside_hs[csf],,r2154,,
ala_D[csf],,r2155,,
arach[csf],,r2156,,
arachd[csf],,r2157,,
bhb[csf],,r2158,,
bildglcur[csf],,r2159,,
bilglcur[csf],,r2160,,
bilirub[csf],,r2161,,
chol[csf],,r2162,,
cholate[csf],,r2163,,
chsterol[csf],,r2164,,
co[csf],,r2165,,
creat[csf],,r2166,,
crn[csf],,r2167,,
cspg_a[csf],,r2168,,
cspg_b[csf],,r2169,,
cspg_d[csf],,r2170,,
cspg_e[csf],,r2171,,
dgchol[csf],,r2172,,
dopasf[csf],,r2173,,
estradiol[csf],,r2174,,
estrones[csf],,r2175,,
fucacngalacglcgalgluside_hs[csf],,r2176,,
fucgalfucgalacglcgalgluside_hs[csf],,r2177,,
galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs[csf],,r2178,,
gbside_hs[csf],,r2179,,
gchola[csf],,r2180,,
gd1c_hs[csf],,r2181,,
gq1b_hs[csf],,r2182,,
gq1balpha_hs[csf],,r2183,,
gthox[csf],,r2184,,
h2o2[csf],,r2185,,
ha[csf],,r2186,,
hco3[csf],,r2187,,
hdca[csf],,r2188,,
hspg[csf],,r2189,,
imp[csf],,r2190,,
inost[csf],,r2191,,
ksii_core2[csf],,r2192,,
lac_D[csf],,r2193,,
leuktrB4[csf],,r2194,,
leuktrD4[csf],,r2195,,
leuktrE4[csf],,r2196,,
lneldc[csf],,r2197,,
lnlc[csf],,r2201,,
lnlnca[csf],,r2202,,
lpchol_hs[csf],,r2203,,
mag_hs[csf],,r2204,,
no[csf],,r2205,,
nrpphr[csf],,r2206,,
nrvnc[csf],,r2207,,
o2s[csf],,r2208,,
oagd3_hs[csf],,r2209,,
ocdca[csf],,r2210,,
ocdcea[csf],,r2211,,
pchol_hs[csf],,r2212,,
pe_hs[csf],,r2213,,
pglyc_hs[csf],,r2214,,
prostge2[csf],,r2215,,
ps_hs[csf],,r2216,,
retinol[csf],,r2217,,
Rtotal2[csf],,r2308,,
strdnc[csf],,r2309,,
tchola[csf],,r2310,,
tdchola[csf],,r2311,,
thym[csf],,r2312,,
tststerone[csf],,r2329,,
txa2[csf],,r2335,,
urate[csf],,r2343,,
xoltri24[csf],,r2353,,
xoltri27[csf],,r2370,,
xylt[csf],,r2372,,
ahdt[csf],,r2447,,
HC00250[csf],,r2449,,
HC01361[csf],,r2465,,
HC01609[csf],,r2472,,
cpppg1[csf],,r2473,,
prostgi2[csf],,r2482,,
citr_L[csf],,r2483,,
C02528[csf],,r2484,,
HC02195[csf],,r2485,,
HC02196[csf],,r2486,,
HC02220[csf],,r2487,,
HC02194[csf],,r2488,,
HC02213[csf],,r2489,,
CE2839[csf],,r2490,,
CE2838[csf],,r2491,,
23cump[csf],,r2492,,
3ump[csf],,r2493,,
CE5786[csf],,r2494,,
CE5789[csf],,r2495,,
CE0074[csf],,r2496,,
doco13ac[csf],,r2497,,
leuleu[csf],,r2507,,
tdechola[csf],,r2510,,
fmn[csf],,r2516,,
q10[csf],,r2517,,
34hpp[csf],,r2519,,
aicar[csf],,r2520,,
anth[csf],,RE0124C,,
idour[csf],,RE0344C,,
ethamp[csf],,RE0453C,,
kynate[csf],,RE0565C,,
quln[csf],,RE0566C,,
3hanthrn[csf],,RE0567C,,
udpglcur[csf],,RE0568C,,
hLkynr[csf],,RE0577C,,
orot5p[csf],,RE0578C,,
acrn[csf],,RE0579C,,
pcrn[csf],,RE0583C,,
stcrn[csf],,RE0830C,,
12HPET[csf],,RE0830N,,
2oxoadp[csf],,RE0908C,,
4aabutn[csf],,RE0912C,,
5HPET[csf],,RE0915C,,
7dhchsterol[csf],,RE0958E,,
C02712[csf],,RE1077C,,
C06314[csf],,RE1100C,,
C14771[csf],,RE1234C,,
eidi1114ac[csf],,RE1235C,,
CE7172[csf],,RE1303C,,
elaidcrn[csf],,RE1342C,,
hxcoa[csf],,RE1447M,,
mev_R[csf],,RE1530C,,
nwharg[csf],,RE1709N,,
ttdcrn[csf],,RE1711C,,
estriol[csf],,RE1834C,,
5aop[csf],,RE1835C,,
CE2510[csf],,RE1836X,,
Lcyst[csf],,RE1860E,,
pac[csf],,RE1915C,,
mepi[csf],,RE1918C,,
retinal[csf],,RE1919C,,
maltttr[csf],,RE1921C,,
progly[csf],,RE1925C,,
thbpt[csf],,RE2069C,,
homoval[csf],,RE2111M,,
f1a[csf],,RE2112C,,
HC00342[csf],,RE2112R,,
dxtrn[csf],,RE2235R,,
glcn[csf],,RE2270E,,
acac[csf],,RE2296C,,
adn[csf],,RE2427M,,
akg[csf],,RE2428M,,
asn_L[csf],,RE2562C,,
asp_L[csf],,RE2626M,,
but[csf],,RE2640C,,
cgly[csf],,RE2649M,,
co2[csf],,RE2660N,,
dcyt[csf],,RE2677R,,
fe2[csf],,RE2799C,,
gal[csf],,RE2814R,,
glu_L[csf],,RE2888C,,
h[csf],,RE2954C,,
ile_L[csf],,RE2972M,,
ins[csf],,RE3010C,,
lac_L[csf],,RE3010X,,
lys_L[csf],,RE3033C,,
met_L[csf],,RE3036C,,
na1[csf],,RE3038C,,
o2[csf],,RE3040C,,
pro_L[csf],,RE3044C,,
ser_L[csf],,RE3052C,,
so4[csf],,RE3095C,,
thymd[csf],,RE3103C,,
val_L[csf],,RE3104C,,
pnto_R[csf],,RE3106C,,
ala_L[csf],,RE3108C,,
his_L[csf],,RE3110C,,
thr_L[csf],,RE3112C,,
gln_L[csf],,RE3113C,,
phe_L[csf],,RE3119C,,
tyr_L[csf],,RE3120C,,
arg_L[csf],,RE3121C,,
for[csf],,RE3122C,,
cit[csf],,RE3161C,,
csn[csf],,RE3162C,,
fol[csf],,RE3163C,,
fru[csf],,RE3164C,,
glcur[csf],,RE3224C,,
glyc[csf],,RE3225C,,
hxan[csf],,RE3226C,,
malt[csf],,RE3227C,,
man[csf],,RE3228C,,
rib_D[csf],,RE3229C,,
thm[csf],,RE3230C,,
trp_L[csf],,RE3231C,,
ura[csf],,RE3232C,,
xyl_D[csf],,RE3234C,,
pydxn[csf],,RE3235C,,
34dhpha[csf],,RE3236C,,
gam[csf],,RE3237C,,
tre[csf],,RE3238C,,
btn[csf],,RE3239C,,
ade[csf],,RE3241C,,
pheme[csf],,RE3242C,,
gua[csf],,RE3243C,,
taur[csf],,RE3244C,,
phpyr[csf],,RE3245C,,
2hyoxplac[csf],,RE3273C,,
CE4970[csf],,RE3289C,,
CE2026[csf],,RE3346M,,
CE4968[csf],,RE3430C,,
3ohglutac[csf],,RE3430X,,
eic21114tr[csf],,RE3431C,,
CE2209[csf],,RE3432C,,
34dhoxmand[csf],,RE3432X,,
n8aspmd[csf],,RE3496C,,
CE6205[csf],,RE3566C,,
CE4890[csf],,RE3567C,,
C09642[csf],,RE3637C,,
C05767[csf],,CITt4_4,,
C05770[csf],,GLYt7_311_r,,
ppbng[csf],,INSTt4_2,,
mma[csf],,PIt8,,
CE0737[csf],,PIt9,,
im4ac[csf],,PROt4_2_r,,
CE1918[csf],,C2tcx,,
mlthf[csf],,DCSPTN1COAtxc,,
ppp9[csf],,DOCO13EFATP,,
CE2705[csf],,DOCOSACT,,
sphgn[csf],,FAOXC15ATPx,,
N1aspmd[csf],,FAOXC16BRx,,
CE5025[csf],,FAOXC8C6m,,
CE5629[csf],,FAOXC8C6x,,
pail_hs[csf],,HEXCOAACBP,,
CE1243[csf],,34DHPHELAT1tc,,
ga1_hs[csf],,4OHPROIMINOtc,,
gm1_hs[csf],,ALAyLATthc,,
glc_D[csf],,ASCBSVCTtc,,
ca24g[csf],,BALABETAtc,,
cdca24g[csf],,CYSSNAT5tc,,
cdca3g[csf],,FOLTle,,
dca24g[csf],,GALSGLT1le,,
dca3g[csf],,GLCSGLT1le,,
hca24g[csf],,GLNyLATthc,,
hca6g[csf],,GLYSNAT5tc,,
hyochol[csf],,HISSNAT5tc,,
caproic[csf],,HISyLATtc,,
M01966[csf],,HISyLATthc,,
m2mn[l],,LEULEULAPc,,
man[l],,LEUyLAThtc,,
mn[l],,LINOFATPtc,,
acrn[m],,METyLATthc,,
adrnl[e],,OLEICFATPtc,,
n2m2mn[l],,PALFATPtc,,
andrstrn[e],,PHEyLATthc,,
apoC[c],,PROGLYPEPT1tc,,
apoC_Lys[c],,PROGLYPRO1c,,
apoC_Lys_btn[c],,PROIMINOtc,,
biocyt[c],,TAUBETAtc,,
asp_D[x],,VITEtl,,
btamp[c],,3HCO3_NAt,,
4tmeabutn[c],,4HPROLTASCT1,,
succ[c],,5MTHFt2le,,
caro[c],,ADNt5le,,
bz[e],,ASPDTDe,,
bz[c],,ASPPROASCT1,,
bz[r],,ASPte,,
zym_int2[r],,BIDGLCURr,,
caro[e],,BTNt3ile,,
coke[r],,CHOLESACATc,,
egme[r],,CHOLESTle,,
dhea[r],,CHSTEROLtrc,,
dhea[c],,CRNrtx,,
ethamp[r],,CYTDt5le,,
dtdp[n],,Coqe,,
dttp[n],,DATPtm,,
s2l2n2m2m[l],,DCTPtm,,
s2l2n2m2mn[l],,DGTPtm,,
prist[c],,DHAPtc,,
pristcoa[c],,DPMVDc,,
phyt[c],,DSREDUCr,,
phytcoa[c],,DTMPKm,,
octa[c],,FADH2ETC,,
crvnc[e],,FE2DMT1,,
formcoa[c],,FMNALKPle,,
formcoa[x],,FRDPtcr,,
l2n2m2mn[l],,G6PDH2c,,
3htmelys[c],,GLUPROASCT1,,
4tmeabut[c],,GNDc,,
andrstndn[r],,GSNt5le,,
eandrstrn[r],,INSt5le,,
k[g],,IPDDI,,
leuktrA4[e],,MAL_Ltx,,
ttccoa[x],,MDHx,,
udp[e],,MEVK1c,,
ump[e],,P5CR,,
utp[e],,PGLc,,
atp[n],,PHEMEe,,
adp[n],,PMEVKc,,
octa[e],,PNTOt5le,,
phyt2ohcoa[x],,PPItm,,
succ[x],,PTCRTD,,
phyt[e],,RPEc,,
pyam5p[c],,RTOTAL2FATPc,,
retfa[e],,RTOTALFATPc,,
sph1p[e],,THMDt5le,,
tmlys[c],,URIt5le,,
dhap[e],,q10tm,,
dha[e],,34HPPte,,
C02470[c],,AICARte,,
C02470[e],,ANTHte,,
met_L[m],,DM_4hrpo,,
HC02203[e],,DM_Lcystin,,
C02712[m],,DM_fol,,
CE5797[e],,DM_pnto_R,,
CE5798[e],,IDOURte,,
C13856[c],,KYNATEtr,,
HC02191[r],,3ANTHRNtr,,
CE7082[c],,HKYNRtr,,
vacc[e],,QULNtr,,
cala[e],,ETHAMPtr,,
cholp[e],,GLCURtr,,
dcmp[e],,UDPGLCURtr,,
icit[e],,IMPtr,,
xan[e],,OROT5Ptr,,
sphmyln1824_hs[c],,ALAPAT4te,,
amet[e],,ARACHDFATPtc,,
CE0955[c],,CLCFTRte,,
CE0955[e],,DOPAENT4tc,,
tmlys[e],,FOLOAT2tc,,
Lhcystin[c],,FOLOATPtc,,
Lhcystin[e],,GSNt2r,,
s2l2n2m2m[e],,H2OGLYAQPt,,
s2l2n2m2m[c],,LGNCFATPtc,,
cyst_L[c],,PGLYCABCte,,
HC01668[c],,PROPAT4te,,
pydam[c],,TCHOLABCtc,,
pydam[e],,FRUt4,,
CE7082[e],,GALt4,,
pelinl_hs[c],,GLCt4,,
pelinl_hs[e],,MANt4,,
sphmyln1824_hs[e],,RIBFLVte,,
egme[c],,TRPt,,
egme[e],,r1492,,
12ppd_R[e],,CHSTEROLt,,
xylu_L[e],,RETt,,
xylu_D[e],,AVITE1t,,
sphings[e],,r0963,,
C13856[e],,r0295,,
prist[e],,ACRNte,,
coke[e],,PCRNte,,
coke[c],,LNELDCCRNte,,
sphings[n],,ODECRNte,,
sphs1p[n],,STCRNte,,
M02637[c],,PMTCRNte,,
M02637[m],,HDCECRNte,,
lnlncacoa[m],,HC00342te,,
3dhlchol[c],,biomass_maintenance,,
lca24g[c],,CE4843HYDc,,
lca3s[c],,GPDDACHOL,,
lca24g[r],,GLYC2P3Pc,,
lca24g[e],,TTDCRNNAt,,
lca3g[c],,12HPETATP,,
lca3g[r],,2OXOADPt,,
lca3g[e],,4AABUTNt,,
2hb[csf],,5AOPt,,
5mthf[csf],,5HPETtd,,
adrnl[csf],,7DHCHSTEROLtd,,
andrstrn[csf],,C02712te,,
asp_D[csf],,C03990t,,
caro[csf],,C05463t2,,
crvnc[csf],,C06314t,,
dheas[csf],,C14771ATP,,
dopa[csf],,CE1243ATP,,
gthrd[csf],,CE2510t,,
leuktrA4[csf],,CE2513td,,
octa[csf],,CE2537ATP,,
phyt[csf],,CE4843td,,
retfa[csf],,ELAIDCRNtd,,
retn[csf],,HXCOAte,,
sph1p[csf],,HXCOAtx,,
srtn[csf],,LCYSTt,,
vacc[csf],,MEV_Rt,,
dha[csf],,NWHARGtd,,
dhap[csf],,pac,,
C02470[csf],,ESTRIOLATP,,
HC02191[csf],,HC02220c,,
HC02203[csf],,HC02195te,,
CE5797[csf],,HC02196te,,
CE5798[csf],,HC02194te,,
crm_hs[csf],,r0202m,,
cala[csf],,MEPIt,,
cholp[csf],,TREt,,
dcmp[csf],,RETINALt,,
icit[csf],,MALTTTRt,,
amet[csf],,LEULEUt,,
CE0955[csf],,THBPTt,,
CE7082[csf],,HOMOVALte,,
sphmyln1824_hs[csf],,HDCECRNtr,,
tmlys[csf],,LNELDCCRNtr,,
bz[csf],,ODECRNtr,,
Lhcystin[csf],,PMTCRNtr,,
s2l2n2m2m[csf],,STCRNtr,,
acnam[csf],,PA_HStm,,
cytd[csf],,FldAct,,
dad_2[csf],,PGPP_hsc,,
dgsn[csf],,CE2512te,,
h2o[csf],,ACNAMt2,,
k[csf],,ARGtD,,
leu_L[csf],,CA2t,,
orn[csf],,DM_for[c],,
pi[csf],,PPPGOc,,
ribflv[csf],,UNK3r,,
cys_L[csf],,F1Ate,,
xan[csf],,34HPLtm,,
pydam[csf],,PGP_hs_tm,,
ppa[csf],,PROSTGE2t2r,,
egme[csf],,ESTR2r,,
12ppd_R[csf],,PGLYCtm,,
xylu_L[csf],,DXTRNt,,
xylu_D[csf],,ACACT1r,,
sphings[csf],,ACACt2,,
prist[csf],,ACONT,,
coke[csf],,ACS,,
lca24g[csf],,ADK1,,
lca3g[csf],,ADNCNT3tc,,
C13856[csf],,ADPT,,
hdca6g[c],,ADSS,,
hdca6g[e],,ALAR,,
hdca24g[c],,ASPTA,,
hdca24g[e],,BPNT,,
xol24oh24g[c],,BUTt2r,,
xol24oh24g[e],,CBPS,,
xoltri25[c],,CO2t,,
xoltri25[e],,CPPPGO,,
xol24oh[c],,CTPS1,,
xol24oh[e],,CYTDt2r,,
xol25oh[c],,DHFR,,
xol25oh[e],,DHORTS,,
M01179[c],,DHPR,,
M01179[e],,DMATT,,
M00979[c],,DM_atp_c_,,
M00979[e],,DURIPP,,
CE2345[c],,ENO,,
CE2345[e],,FBA,,
CE1292[c],,FBA2,,
CE1292[e],,FBP,,
xol27oh[c],,FCLTc,,
xol27oh[e],,FERO,,
M02155[c],,FMNAT,,
M02155[r],,FT,,
hdca6g[r],,FUM,,
hdca24g[r],,G3PD1,,
xol24oh24g[r],,G6PDH2r,,
xol27oh[m],,GALU,,
CE3038[c],,GALt2_2,,
CE1292[m],,GAPD,,
CE3038[m],,GF6PTA,,
xoltri25[r],,GHMT2r,,
M01179[r],,GK1,,
xoltri27[m],,GLNS,,
CE2345[m],,GMAND,,
CE1298[c],,GMPS2,,
CE1298[m],,GRTT,,
M00979[r],,GTPCI,,
hdca6g[csf],,H2CO3D,,
hdca24g[csf],,H2Ot,,
xol24oh24g[csf],,HEX1,,
xoltri25[csf],,HMBS,,
xol24oh[csf],,ILETA,,
xol25oh[csf],,IMPD,,
M01179[csf],,INSt2,,
M00979[csf],,LEUTA,,
CE2345[csf],,L_LACt2r,,
CE1292[csf],,MAN6PI,,
xol27oh[csf],,MTHFC,,
34dhphe[csf],,NADK,,
4abut[csf],,NAt3_1,,
acetone[csf],,NDPK1,,
ac[csf],,NDPK6,,
gly[csf],,NDPK9,,
ascb_L[csf],,NNATr,,
amp[csf],,O2t,,
ala_B[csf],,OMPDC,,
ca2[csf],,PGI,,
cl[csf],,PGK,,
oxa[csf],,PGL,,
din[csf],,PGM,,
dag_hs[csf],,PGMT,,
dhdascb[csf],,PMANM,,
duri[csf],,PNTK,,
estradiolglc[csf],,PPA,,
ak2lgchol_hs[csf],,PPBNGS,,
avite1[csf],,PPCDC,,
gsn[csf],,PPM,,
ha_pre1[csf],,PPNCL3,,
hista[csf],,PROD2,,
hom_L[csf],,PRPPS,,
lgnc[csf],,PSERT,,
paf_hs[csf],,PSP_L,,
Rtotal[csf],,PUNP1,,
ser_D[csf],,PUNP5,,
thyox_L[csf],,RBFK,,
triodthy[csf],,RNDR1,,
xolest2_hs[csf],,RNDR2,,
fe3[csf],,RNDR4,,
lcts[csf],,RPE,,
uri[csf],,RPI,,
urea[csf],,SPODM,,
ptrc[csf],,TALA,,
HC02192[csf],,THMDt2r,,
HC02193[csf],,TKT1,,
HC02199[csf],,TKT2,,
HC02200[csf],,TMDPK,,
HC02201[csf],,TPI,,
zn2[csf],,UAG4E,,
pyr[csf],,UAGDP,,
HC02197[csf],,UDPG4E,,
HC02198[csf],,UPP3S,,
HC02187[csf],,UPPDC1,,
4hpro_LT[csf],,UREAt,,
oh1[csf],,URIDK3,,
lneldccrn[csf],,URIt2r,,
odecrn[csf],,VALTA,,
pmtcrn[csf],,r0082,,
hdcecrn[csf],,r0345,,
pe15_hs[csf],,r0422,,
CE2537[csf],,r0570,,
sphmyln_hs[csf],,ACCOAC,,
glutar[csf],,NTD7,,
2hydog[csf],,NTD8,,
selmeth[csf],,NADS2,,
hdd2crn[csf],,GUAt,,
gluside_hs[csf],,ADPRDP,,
gm1b_hs[csf],,RBK,,
gd1b_hs[csf],,ADNK1,,
gt1b_hs[csf],,r0339,,
M02467[csf],,ACYP,,
12dhchol[csf],,AGDC,,
3dhcdchol[csf],,AMANK,,
3dhchol[csf],,ARGSL,,
7dhcdchol[csf],,CITL,,
7dhchol[csf],,CSND,,
coprost[csf],,G6PDA,,
icdchol[csf],,GALK,,
isochol[csf],,GLUPRT,,
uchol[csf],,GLYK,,
udp[csf],,GLYOX,,
ump[csf],,GND,,
utp[csf],,HISD,,
pelinl_hs[csf],,HXPRT,,
tym[c],,HYXNt,,
tym[e],,IMACTD,,
tym[csf],,IZPN,,
Lkynr[e],,LDH_D,,
Lkynr[csf],,LDH_L,,
5htrp[e],,LGTHL,,
5htrp[csf],,MALT,,
,,MDH,,
,,MI1PP,,
,,MI3PP,,
,,NTD3,,
,,PFK,,
,,PHETA1,,
,,PRFGS,,
,,PYK,,
,,THRD_L,,
,,TMDS,,
,,TYRTA,,
,,XYLt,,
,,r0392,,
,,r0792,,
,,r1667,,
,,PYDXNtr,,
,,UGLT,,
,,URCN,,
,,PYRt2r,,
,,ACGAM2E,,
,,DCMPDA,,
,,FTHFL,,
,,THMt3,,
,,FORTHFC,,
,,GLNt4,,
,,MTRI,,
,,NADN,,
,,MTHFD2,,
,,AHC,,
,,PHPYRte,,
,,PHPYRtm,,
,,CE4970tm,,
,,CE4970te,,
,,CE2026tm,,
,,CE2026te,,
,,CE4968tm,,
,,CE4968te,,
,,TD2GLTRCOAm,,
,,3HGLUTCOAm,,
,,3OHGLUTACm,,
,,3OHGLUTACtm,,
,,3OHGLUTACOAT3t,,
,,CAPROICc,,
,,CE2510ABCt,,
,,CE2537ABCt,,
,,CE7172UPKt,,
,,NRVNCABCt,,
,,PAFABCt,,
,,PAIL_hs_SECt,,
,,PE15_HSABCt,,
,,3AIBt1,,
,,AK2LGCHOLt1,,
,,PE15_HSt1e,,
,,2HYDOGOAT3t,,
,,2HYDOGte,,
,,GLUTAROAT3t,,
,,GLUTARte,,
,,EIC21114TRc,,
,,EIC21114TRte,,
,,CE2209te,,
,,MMAt2e,,
,,2HYOXPLCte,,
,,N8ASPMDte,,
,,C09642te,,
,,PPP9ABCte,,
,,MLTHFte,,
,,CE4890te,,
,,SELMETHte,,
,,MLTHFte3,,
,,CE2705t,,
,,PTRCARGte,,
,,MLTHFte2,,
,,HDD2CRNte2,,
,,ARGN1ASPMDte,,
,,CE1918te,,
,,34DHPHAte,,
,,34DHOXMANDte,,
,,CE6205te,,
,,ANDRSTANDRtr,,
,,C05767te,,
,,C05770te3,,
,,PPBNGte,,
,,GLCNte,,
,,CE0737te,,
,,HDD2CRNte,,
,,IM4ACte,,
,,SPHGNte,,
,,SELMETHt2e,,
,,TYRDOPOX,,
,,DOPACCL,,
,,LACROX,,
,,NADQNOXR,,
,,DACGST,,
,,CE5025t,,
,,CE5629t,,
,,ACER12r,,
,,BGAL1l,,
,,BGAL2l,,
,,GA1tl,,
,,GBA2e,,
,,GM1tl,,
,,HEXA1l,,
,,HEXAHBl,,
,,NEU11l,,
,,NEU310e,,
,,NEU33e,,
,,NEU34e,,
,,NEU36e,,
,,NEU39e,,
,,SMS21e,,
,,SPHMYLNtl2,,
,,UDPGALt2r,,
,,DHCRMter,,
,,GALSIDEter,,
,,Rtotalter,,
,,DM_pcreat[c],,
,,DM_na1[g],,
,,HMR_0155,,
,,HMR_0167,,
,,HMR_0168,,
,,HMR_0268,,
,,HMR_0276,,
,,HMR_0362,,
,,HMR_0410,,
,,HMR_0653,,
,,HMR_0654,,
,,HMR_0657,,
,,HMR_0761,,
,,HMR_0765,,
,,HMR_0770,,
,,HMR_0793,,
,,HMR_0795,,
,,HMR_0815,,
,,HMR_0821,,
,,HMR_0824,,
,,HMR_0827,,
,,HMR_0843,,
,,HMR_0844,,
,,HMR_0848,,
,,HMR_0851,,
,,HMR_0859,,
,,HMR_0860,,
,,HMR_0864,,
,,HMR_0868,,
,,HMR_0873,,
,,HMR_1095,,
,,HMR_1104,,
,,HMR_1280,,
,,HMR_1283,,
,,HMR_1321,,
,,HMR_1329,,
,,HMR_1331,,
,,HMR_1532,,
,,HMR_1623,,
,,HMR_1834,,
,,HMR_2018,,
,,HMR_2368,,
,,HMR_2374,,
,,HMR_2376,,
,,HMR_2581,,
,,HMR_2612,,
,,HMR_2613,,
,,HMR_2666,,
,,HMR_2817,,
,,HMR_2819,,
,,HMR_3106,,
,,HMR_3121,,
,,HMR_3149,,
,,HMR_3398,,
,,HMR_3859,,
,,HMR_3867,,
,,HMR_4124,,
,,HMR_4270,,
,,HMR_4630,,
,,HMR_4696,,
,,HMR_4700,,
,,HMR_4701,,
,,HMR_4756,,
,,HMR_4777,,
