mets,genes,rxns,,"# we removed the transcript ids such as .1, .2 …etc and removed duplicates to maitain the unique genes "
core4[e],,RE3198C,,
core5[e],,RE3201C,,
core7[e],,RE3218C,,
core8[e],,RE3218L,,
dsT_antigen[e],,RE3218R,,
galam[e],,RE3220C,,
galam[c],,RE3220L,,
mqn10[c],,RE3220R,,
mqn10[e],,RE3224C,,
mqn11[c],,RE3224R,,
mqn11[e],,RE3225C,,
mqn7[c],,RE3225R,,
mqn7[e],,RE3226C,,
mqn9[c],,RE3226R,,
mqn9[e],,RE3227C,,
s2l2n2m2m[e],,RE3227R,,
sTn_antigen[e],,RE3228C,,
f1a[e],,RE3228R,,
lpam[e],,RE3229C,,
lpam[c],,RE3229R,,
CE2934[e],,RE3230C,,
mqn8[c],,RE3230R,,
glgchlo[c],,RE3231C,,
dxtrn[e],,RE3231R,,
dhcholestanate[e],,RE3232C,,
thcholstoic[e],,RE3232R,,
xol7ah3[e],,RE3233C,,
xol7aone[e],,RE3233G,,
xoldiolone[e],,RE3233L,,
7klitchol[e],,RE3234C,,
2obut[e],,RE3234R,,
glutar[e],,RE3235C,,
glcn[e],,RE3235R,,
grdp[c],,RE3236C,,
e4hglu[c],,RE3236R,,
4h2oglt[c],,RE3237C,,
glyleu[e],,RE3238C,,
ggdp[c],,RE3239C,,
methf[c],,RE3241C,,
ppbng[c],,RE3241R,,
hmbil[c],,RE3242C,,
4ppan[c],,RE3242R,,
phom[c],,RE3243C,,
HC01434[c],,RE3243R,,
HC01668[c],,RE3244C,,
gua[e],,RE3244R,,
fprica[c],,RE3245C,,
glcr[e],,RE3247M,,
hxan[e],,RE3247X,,
xyl_D[e],,RE3248M,,
dtdpglu[c],,RE3248X,,
gal1p[c],,RE3250C,,
im4ac[c],,RE3250M,,
4izp[c],,RE3250X,,
2mcacn[c],,RE3251C,,
micit[c],,RE3251M,,
2pglyc[c],,RE3252C,,
CE5656[c],,RE3258C,,
dtdp4d6dg[c],,RE3258R,,
pydxn[e],,RE3259C,,
pydx[e],,RE3259R,,
pydam[e],,RE3260C,,
4hbz[e],,RE3260R,,
34dhpha[e],,RE3261C,,
etoh[e],,RE3261R,,
acald[e],,RE3263C,,
mqn8[e],,RE3264C,,
ch4s[e],,RE3264R,,
phpyr[e],,RE3265C,,
tym[e],,RE3265R,,
2hyoxplac[e],,RE3267E,,
lanost[e],,RE3267G,,
3mox4hoxm[e],,RE3267M,,
glx[e],,RE3267N,,
CE4970[c],,RE3267R,,
CE4970[e],,RE3268C,,
CE2026[c],,RE3268R,,
CE2026[e],,RE3269C,,
CE4968[c],,RE3270C,,
CE4968[e],,RE3272N,,
actyr[m],,RE3273C,,
actyr[c],,RE3273G,,
actyr[e],,RE3273R,,
sucacetat[c],,RE3286C,,
sucaceto[c],,RE3286R,,
sucaceto[e],,RE3287C,,
vanilpyr[c],,RE3287R,,
vanillac[c],,RE3288C,,
CE2176[m],,RE3288R,,
nacvanala[m],,RE3289C,,
nacvanala[c],,RE3289R,,
nacvanala[e],,RE3295C,,
vanillac[e],,RE3301C,,
2h3mv[c],,RE3301G,,
2h3mv[e],,RE3301R,,
2hiv[c],,RE3307C,,
2hiv[e],,RE3307M,,
2m3hbu[m],,RE3307X,,
2m3hbu[c],,RE3308C,,
2m3hbu[e],,RE3308M,,
2m3ovcoa[m],,RE3308R,,
2m3ovac[m],,RE3308X,,
2m3ovac[c],,RE3310C,,
2m3hvac[c],,RE3310R,,
2m3hvac[e],,RE3326M,,
3h3mglt[c],,RE3334M,,
3h3mglt[e],,RE3334X,,
3mglutac[m],,RE3335C,,
3mglutac[c],,RE3335M,,
3mglutac[e],,RE3335R,,
3mglutr[c],,RE3335X,,
3mglutr[e],,RE3336M,,
ppiogly[m],,RE3336X,,
ppiogly[c],,RE3337M,,
ppiogly[e],,RE3337X,,
mvlac[c],,RE3338C,,
mvlac[e],,RE3338M,,
tiggly[m],,RE3338X,,
tiggly[c],,RE3339C,,
tiggly[e],,RE3339M,,
td2glutrcoa[m],,RE3339X,,
3hglutcoa[m],,RE3340C,,
3ohglutac[m],,RE3340M,,
3ohglutac[c],,RE3340X,,
3ohglutac[e],,RE3341M,,
glutacoa[m],,RE3341X,,
glutcon[m],,RE3342M,,
glutcon[c],,RE3342X,,
glutcon[e],,RE3343C,,
3hivac[m],,RE3343M,,
3hivac[c],,RE3343X,,
3hivac[e],,RE3344M,,
3hadicoa[x],,RE3344X,,
3hadpac[x],,RE3345C,,
3hadpac[c],,RE3345M,,
3hadpac[e],,RE3345R,,
3ohsebcoa[x],,RE3345X,,
3ohsebac[x],,RE3346C,,
3ohsebac[c],,RE3346M,,
3ohsebac[e],,RE3346R,,
3ohsubcoa[x],,RE3347C,,
3ohsubac[x],,RE3352C,,
3ohsubac[c],,RE3367C,,
3ohsubac[e],,RE3367E,,
caproic[c],,RE3367X,,
5ohhexa[c],,RE3370C,,
5ohhexa[e],,RE3370R,,
7ohocata[c],,RE3372C,,
7ohocata[e],,RE3378C,,
ethmalcoa[c],,RE3381C,,
ethmalac[c],,RE3381E,,
ethmalac[e],,RE3381L,,
hexgly[c],,RE3383M,,
hexgly[e],,RE3384M,,
methsuccoa[c],,RE3385M,,
methsucc[c],,RE3386M,,
methsucc[e],,RE3387M,,
subgly[c],,RE3388M,,
subgly[e],,RE3389M,,
4ohbut[m],,RE3390M,,
4ohbut[c],,RE3391M,,
4ohbut[e],,RE3392M,,
pailste_hs[c],,RE3393M,,
peste_hs[c],,RE3394M,,
2hxic_L[e],,RE3395M,,
2hxic_L[c],,RE3396M,,
2hydog[c],,RE3397M,,
2hydog[e],,RE3398M,,
glutar[c],,RE3399M,,
thexdd[m],,RE3400M,,
thexdd[c],,RE3401M,,
thexdd[e],,RE3402M,,
hexdtr[m],,RE3403M,,
hexdtr[c],,RE3404M,,
hexdtr[e],,RE3407C,,
hpdececoa[m],,RE3408C,,
hpdece[m],,RE3409C,,
hpdece[c],,RE3410C,,
hpdece[e],,RE3411C,,
eic21114tr[c],,RE3412C,,
eic21114tr[e],,RE3413C,,
5eipenc[m],,RE3414C,,
5eipenc[c],,RE3415C,,
5eipenc[e],,RE3417C,,
T4hcinnm[e],,RE3420C,,
agm[c],,RE3421M,,
agm[e],,RE3421R,,
andrstndn[e],,RE3422C,,
eandrstrn[c],,RE3423C,,
eandrstrn[e],,RE3430C,,
ahandrostan[c],,RE3430M,,
ahandrostan[e],,RE3430X,,
andrstandn[c],,RE3431C,,
andrstandn[e],,RE3432C,,
CE2209[e],,RE3432M,,
C05301[e],,RE3432X,,
C05299[e],,RE3434C,,
C05302[e],,RE3434R,,
CE5072[e],,RE3435C,,
11docrtsl[e],,RE3435R,,
11docrtstrn[e],,RE3436C,,
prgnlone[e],,RE3436R,,
CE2211[e],,RE3437C,,
17ahprgstrn[e],,RE3440C,,
17ahprgnlone[e],,RE3440R,,
C03681[e],,RE3443M,,
prgnlones[e],,RE3443X,,
CE1352[e],,RE3444C,,
mma[e],,RE3444M,,
C05769[e],,RE3444X,,
mhista[e],,RE3445M,,
CE2006[e],,RE3445X,,
n8aspmd[e],,RE3446C,,
CE4890[e],,RE3446M,,
C09642[e],,RE3446R,,
ppp9[e],,RE3446X,,
mlthf[e],,RE3447M,,
trypta[e],,RE3447X,,
selmeth[e],,RE3448C,,
CE7090[e],,RE3448M,,
CE7085[e],,RE3448X,,
CE7096[e],,RE3449C,,
CE4877[e],,RE3450C,,
CE1447[c],,RE3451C,,
CE1447[e],,RE3452C,,
C05770[e],,RE3453C,,
CE2705[e],,RE3454C,,
13dampp[e],,RE3455C,,
hdd2crn[e],,RE3456C,,
N1aspmd[e],,RE3457C,,
CE1918[e],,RE3458C,,
34dhoxmand[e],,RE3459C,,
CE6205[e],,RE3460C,,
1a25dhvitd3[e],,RE3464C,,
CE4969[c],,RE3464R,,
CE4969[e],,RE3469C,,
CE1310[c],,RE3470C,,
CE1310[e],,RE3470M,,
4hbz[c],,RE3470X,,
sucsal[c],,RE3474C,,
sucsal[e],,RE3474R,,
CE7081[c],,RE3475C,,
CE7081[e],,RE3475N,,
egme[c],,RE3476C,,
egme[e],,RE3476M,,
12harachd[c],,RE3476X,,
12harachd[e],,RE3485C,,
18harachd[c],,RE3485N,,
18harachd[e],,RE3486C,,
sql[c],,RE3488C,,
sql[e],,RE3488N,,
orn_D[c],,RE3488R,,
orn_D[e],,RE3488X,,
5g2oxpt[c],,RE3490C,,
5g2oxpt[e],,RE3491C,,
dhea[e],,RE3492C,,
estrone[e],,RE3493C,,
C05298[e],,RE3494C,,
HC02020[c],,RE3495C,,
HC02020[e],,RE3496C,,
xol24oh[c],,RE3496N,,
xol24oh[e],,RE3498N,,
xol27oh[e],,RE3498R,,
xol25oh[c],,RE3499C,,
xol25oh[e],,RE3500C,,
dsmsterol[e],,RE3500R,,
chsterols[e],,RE3500X,,
3ityr_L[e],,RE3501C,,
35diotyr[e],,RE3501R,,
13_cis_retn[e],,RE3501X,,
CE1617[e],,RE3502C,,
vldl_hs[c],,RE3502X,,
vldl_hs[e],,RE3503C,,
HC00005[e],,RE3503N,,
HC00006[e],,RE3506C,,
HC00007[e],,RE3506R,,
HC00008[e],,RE3511C,,
HC00009[e],,RE3511M,,
idl_hs[e],,RE3511R,,
ldl_hs[e],,RE3513C,,
hdl_hs[e],,RE3513N,,
myelin_hs[c],,RE3513R,,
chylo_hs[c],,RE3514C,,
chylo_hs[e],,RE3514R,,
HC00460[e],,RE3515C,,
fna5moxam[e],,RE3518C,,
CE5643[e],,RE3518R,,
CE1401[e],,RE3519C,,
glucys[e],,RE3519R,,
melatn[e],,RE3519X,,
6hoxmelatn[e],,RE3520C,,
C10164[e],,RE3520E,,
C05767[e],,RE3520M,,
ppbng[e],,RE3520N,,
12ppd_R[e],,RE3521C,,
ametam[e],,RE3521M,,
xylu_L[e],,RE3521R,,
xylu_D[e],,RE3521X,,
CE0737[e],,RE3522C,,
sphings[e],,RE3522R,,
im4ac[e],,RE3524R,,
aact[e],,RE3525C,,
sphgn[e],,RE3525M,,
C13856[e],,RE3525N,,
prist[e],,RE3525R,,
CE2049[e],,RE3525X,,
CE2047[e],,RE3526C,,
fdp[e],,RE3526M,,
coke[e],,RE3526X,,
coke[c],,RE3532C,,
5a2opntn[e],,RE3532M,,
5a2opntn[c],,RE3532R,,
arg_D[c],,RE3533C,,
arg_D[e],,RE3533M,,
dopa4sf[c],,RE3533R,,
dopa4glcur[c],,RE3534C,,
dopa3glcur[c],,RE3534M,,
34dhpe[c],,RE3534R,,
dopa4sf[e],,RE3535R,,
dopa4glcur[e],,RE3536C,,
dopa3glcur[e],,RE3537C,,
neuromelanin[c],,RE3550X,,
CE5026[e],,RE3551X,,
5cysgly34dhphe[e],,RE3552X,,
CE1261[e],,RE3554C,,
6hddopaqn[c],,RE3554M,,
5cysdopa[c],,RE3554R,,
23dh1i56dio[c],,RE3556C,,
4glu56dihdind[c],,RE3557C,,
ind56qn[c],,RE3557M,,
4glu56dihdind[e],,RE3557R,,
5cysdopa[e],,RE3559M,,
CE5025[e],,RE3559X,,
CE2172[e],,RE3560C,,
CE5629[e],,RE3560M,,
Rtotal[r],,RE3560X,,
dhcrm_hs[r],,RE3561M,,
Rtotal[g],,RE3561X,,
sphings[g],,RE3562C,,
sphgn[g],,RE3562M,,
dhcrm_hs[g],,RE3562R,,
phcrm_hs[g],,RE3562X,,
phsphings[g],,RE3563M,,
phcrm_hs[r],,RE3563X,,
phsphings[r],,RE3564C,,
galgluside_hs[e],,RE3564M,,
gluside_hs[e],,RE3564X,,
gm2_hs[l],,RE3565C,,
gm1_hs[l],,RE3566C,,
ga2_hs[l],,RE3567C,,
ga1_hs[l],,RE3568C,,
gd2_hs[l],,RE3570C,,
gd1b_hs[l],,RE3571C,,
gm2a_hs[l],,RE3571R,,
gm1a_hs[l],,RE3572X,,
phcrm_hs[c],,RE3573X,,
gd3_hs[e],,RE3574X,,
gm3_hs[e],,RE3575X,,
ga1_hs[e],,RE3576X,,
gm1a_hs[e],,RE3577X,,
gm2a_hs[e],,RE3578X,,
gd3_hs[l],,RE3580X,,
thcrm_hs[l],,RE3581X,,
gm1_hs[e],,RE3582X,,
gm2_hs[e],,RE3583X,,
gm3_hs[l],,RE3586X,,
gm1_hs[c],,RE3587C,,
gd1a_hs[c],,RE3587N,,
gd1b_hs[c],,RE3596C,,
gt1b_hs[c],,RE3596M,,
ga1_hs[c],,RE3596X,,
ga2_hs[c],,RE3597C,,
gm2_hs[c],,RE3597M,,
gm1b_hs[e],,RE3597X,,
gd1a_hs[e],,RE3624M,,
gd1b_hs[e],,RE3624X,,
gt1b_hs[e],,RE3626M,,
gd2_hs[e],,RE3627C,,
gm1_hs[n],,RE3628M,,
gd1a_hs[n],,RE3629C,,
dag_hs[g],,RE3630C,,
pchol_hs[n],,RE3631C,,
sphmyln_hs[n],,RE3633C,,
phsphings[c],,RE3636C,,
phsph1p[c],,RE3637C,,
sphings[n],,RN0001C,,
sphs1p[n],,RN0001R,,
sphgn[n],,RN0002N,,
sph1p[n],,RN0002R,,
cholp[n],,RN0013C,,
cmpacna[e],,RN0014R,,
gda1_hs[n],,RN0020C,,
hhxdcal[c],,RN0020R,,
34dhpe[e],,RN0021C,,
gd3_hs[m],,RN0021R,,
paps[l],,RN0021X,,
pap[l],,RN0022C,,
15HPET[x],,RN0022R,,
M01570[e],,RN0022X,,
M02956[e],,RN0023C,,
M01569[e],,RN0023R,,
M00234[e],,RN0023X,,
M01807[e],,RN0027C,,
M00503[e],,RN0027R,,
M00503[c],,RN0028C,,
HC02065[c],,RN0028R,,
M03147[e],,RN0028X,,
M03146[e],,RN0029C,,
M00241[e],,RN0029R,,
M01820[e],,RN0030C,,
M00510[e],,RN0030R,,
M00510[c],,RN0031C,,
M01819[e],,RN0031R,,
M00003[e],,RN0031X,,
M00008[e],,RN0032C,,
M00010[e],,RN0032R,,
M00017[e],,EX_prostgh2[e],,
M00019[e],,EX_prostgi2[e],,
M00021[e],,EX_cdp[e],,
M00115[e],,EX_dtdp[e],,
M00117[e],,EX_HC00955[e],,
M00260[e],,EX_HC00001[e],,
M00265[e],,EX_HC00002[e],,
M00315[e],,EX_HC00003[e],,
M00341[e],,EX_HC00004[e],,
M01197[e],,EX_citr_L[e],,
M01207[e],,EX_HC01787[e],,
M01235[e],,EX_C02470[e],,
M01238[e],,EX_HC01852[e],,
M01582[e],,EX_HC01939[e],,
M02053[e],,EX_HC01942[e],,
M02457[e],,EX_HC01943[e],,
M02613[e],,EX_HC01944[e],,
M02745[e],,EX_HC00822[e],,
M03045[e],,EX_C02528[e],,
M03051[e],,EX_HC02192[e],,
M03153[e],,EX_HC02193[e],,
M02048[e],,EX_HC02195[e],,
M02047[e],,EX_HC02196[e],,
M02353[e],,EX_HC02220[e],,
M02352[e],,EX_HC02154[e],,
M02560[e],,EX_HC02199[e],,
M02561[e],,EX_HC02200[e],,
C01601[e],,EX_HC02201[e],,
M02909[e],,EX_HC02172[e],,
M02108[e],,EX_HC02191[e],,
M03117[e],,EX_HC02194[e],,
M03134[e],,EX_HC02197[e],,
xolest2_hs[l],,EX_HC02198[e],,
xolest2_hs[r],,EX_HC02187[e],,
M02757[n],,EX_HC02180[e],,
M01816[n],,EX_HC02202[e],,
M01268[n],,EX_HC02203[e],,
M01268[c],,EX_HC02204[e],,
M01268[r],,EX_HC02205[e],,
M01268[m],,EX_HC02206[e],,
M01268[x],,EX_HC02207[e],,
M01268[e],,EX_HC02208[e],,
M03134[c],,EX_HC02210[e],,
M02694[c],,EX_HC02213[e],,
M02694[m],,EX_HC02214[e],,
M02108[c],,EX_HC02216[e],,
M02107[c],,EX_HC02217[e],,
M02107[m],,EX_malcoa[e],,
M02616[c],,EX_arachcoa[e],,
M02616[m],,EX_coa[e],,
M03117[c],,EX_CE2250[e],,
M03116[c],,EX_CE1935[e],,
M03116[m],,EX_CE1940[e],,
M03051[c],,EX_CE1943[e],,
M03050[c],,EX_CE2011[e],,
M00129[c],,EX_CE1936[e],,
M00117[c],,EX_CE1939[e],,
HC10784[c],,EX_maltpt[e],,
M02745[c],,EX_CE2915[e],,
M01141[c],,EX_CE4722[e],,
M01197[c],,EX_CE2916[e],,
M01191[c],,EX_CE4723[e],,
M00003[c],,EX_CE2917[e],,
M00004[c],,EX_CE4724[e],,
M01238[c],,EX_malthp[e],,
M01237[c],,EX_CE2839[e],,
M00019[c],,EX_CE2838[e],,
M00020[c],,EX_CE1950[e],,
vacccoa[c],,EX_cynt[e],,
M00127[c],,EX_23cump[e],,
M00115[c],,EX_3ump[e],,
M00116[c],,EX_CE5786[e],,
M02613[c],,EX_CE5788[e],,
M02612[c],,EX_CE5789[e],,
M00017[c],,EX_CE5797[e],,
M00018[c],,EX_CE5798[e],,
M01235[c],,EX_CE5787[e],,
M01236[c],,EX_CE5791[e],,
M01207[c],,EX_CE5867[e],,
M00123[c],,EX_CE5868[e],,
M02457[c],,EX_CE5869[e],,
M00101[c],,EX_CE4633[e],,
M02053[c],,EX_CE4881[e],,
M02052[c],,EX_CE5854[e],,
M01582[c],,EX_CE1926[e],,
M00006[c],,EX_udpgal[e],,
M03045[c],,EX_crm_hs[e],,
M03047[c],,EX_galside_hs[e],,
M03153[c],,EX_CE0074[e],,
M02112[c],,EX_cdpea[e],,
M00010[c],,EX_12dgr120[e],,
M00012[c],,EX_CE5853[e],,
M00341[c],,EX_CE1925[e],,
M00343[c],,EX_C04849[e],,
M00260[c],,CITt4_4,,
M00315[c],,GLYt7_311_r,,
M00008[c],,HCO3_NAt,,
M00021[c],,INSTt4_2,,
M00023[c],,PIt8,,
M00265[c],,PIt9,,
lpchol_hs[r],,PROt4_2_r,,
HC02066[r],,HSD17B3r,,
HC02085[c],,biomass_reaction,,
HC02080[c],,2MB2COAc,,
HC02080[e],,3HBCOARc,,
M02740[e],,ADPACDAc,,
M01429[c],,ADPACtx,,
M00484[c],,ADPCOACROT,,
M00502[c],,ADPCOAPTE,,
M00493[c],,BCRNe,,
M00471[c],,C100CPT1,,
M00463[c],,sink_c101coa[c],,
M00454[c],,C101CPT1,,
M00498[c],,C101CRNe,,
M00461[c],,C102CPT1,,
M00481[c],,C10CRNe,,
M00438[c],,C10DCCACT,,
M00469[c],,C10DCc,,
M00448[c],,C10DCe,,
M00474[c],,C10OHc,,
M00470[c],,C120CPT1,,
M00462[c],,C121CPT1,,
M00458[c],,C12DCACOT,,
M00494[c],,C12DCACT,,
M00478[c],,C12DCTD,,
M00447[c],,C12DCe,,
M00442[c],,C12OHc,,
M00468[c],,C140CPT1,,
M00465[c],,C141ACBP,,
M00453[c],,C141CPT1,,
M00480[c],,C141OHc,,
M00477[c],,C141OHe,,
M00446[c],,C142ACBP,,
M00441[c],,C142CPT1,,
M00501[c],,C142OHc,,
M00500[c],,C142OHe,,
M00449[c],,C14OHc,,
M00482[c],,C161OHc,,
M00483[c],,C162ACBP,,
M00492[c],,C162OHc,,
M00457[c],,C162OHe,,
M00464[c],,C16DCc,,
M00452[c],,C16DCe,,
M00459[c],,C16OHc,,
M00466[c],,C16txc,,
M00455[c],,C181OHc,,
M00450[c],,C182OHc,,
M00439[c],,C18OHc,,
M00444[c],,C2tcx,,
M00436[c],,C30CPT1,,
M00443[c],,C3DCe,,
M00479[c],,C40CPT1,,
M00476[c],,C4CRNCPT2,,
M00460[c],,C4CRNe,,
M00467[c],,C4DCCACT,,
M00456[c],,C4DCe,,
M00451[c],,C4OHc,,
M00440[c],,C4tcx,,
M00445[c],,C4tmc,,
M00437[c],,C4x,,
HC02089[c],,C50CPT1,,
HC02043[c],,C51CPT1,,
HC02061[c],,C5DCe,,
HC02044[c],,C60CPT1,,
HC02045[c],,C6COAt,,
HC02046[c],,C6CRNe,,
HC02047[c],,C6CRNtcx,,
HC02048[c],,C6DCCACT,,
HC02082[c],,C6DCc,,
HC02038[c],,C6DCe,,
HC02039[c],,C80CPT1,,
HC02040[c],,sink_c81coa[c],,
HC02041[c],,C81CPT1,,
HC02042[c],,C81CRNe,,
HC02084[c],,C8CRNe,,
HC02089[m],,C8DCc,,
HC02091[m],,C8DCe,,
HC02093[m],,C9BRxtc,,
HC02094[m],,DCATDc,,
clpn_hs[m],,DCATDr,,
HC02050[c],,DCSPTN1COAtxc,,
HC02051[c],,sink_dd2coa[c],,
HC02052[c],,DDCRNe,,
HC02053[c],,DDECCRNe,,
HC02054[c],,DDECE1CRNe,,
HC02086[c],,DECCRNe,,
HC02056[c],,sink_decdicoa[c],,
HC02057[c],,DECDICRNe,,
HC02058[c],,DOCO13ECOAtxc,,
HC02059[c],,DOCO13EFATP,,
HC02060[c],,DOCOSACT,,
M02958[c],,DOCOSACTDe,,
cdpdag_hs[l],,DOCOSACTDr,,
cdpdag_hs[r],,DOCOSADIACTD,,
HC02079[c],,DOCOSCOAtxc,,
HC02066[c],,DOCOSDIACTD,,
M00511[c],,EX_3bcrn[e],,
HC02067[c],,EX_3ddcrn[e],,
M02913[c],,EX_3deccrn[e],,
M02686[c],,EX_3hdececrn[e],,
M02758[c],,EX_3hexdcrn[e],,
M02958[r],,EX_3ivcrn[e],,
HC02063[c],,EX_3octdec2crn[e],,
HC02071[c],,EX_3octdeccrn[e],,
HC02064[c],,EX_3octdece1crn[e],,
HC02075[c],,EX_3tdcrn[e],,
HC02069[c],,EX_3tetd7ecoacrn[e],,
HC02072[c],,EX_3thexddcoacrn[e],,
HC02073[c],,EX_3ttetddcoacrn[e],,
HC02074[c],,EX_c101crn[e],,
HC02068[c],,EX_c10crn[e],,
HC02076[c],,EX_c10dc[e],,
HC02070[c],,EX_c12dc[e],,
M02114[x],,EX_c16dc[e],,
M00550[x],,EX_c3dc[e],,
M02017[x],,EX_c4crn[e],,
M02017[c],,EX_c4dc[e],,
M00532[c],,EX_c51crn[e],,
M02748[c],,EX_c5dc[e],,
M02749[c],,EX_c6crn[e],,
M00653[c],,EX_c6dc[e],,
HC02048[g],,EX_c81crn[e],,
sphmyln_hs[r],,EX_c8crn[e],,
galgluside_hs[r],,EX_c8dc[e],,
galgbside_hs[c],,EX_ddece1crn[e],,
M02197[c],,EX_ddecrn[e],,
M02491[c],,EX_decdicrn[e],,
M01958[c],,EX_doco13ac[e],,
M03131[c],,EX_docosac[e],,
gm1b_hs[c],,EX_docosdiac[e],,
gm3_hs[c],,EX_ivcrn[e],,
M03160[l],,EX_tetdec2crn[e],,
M02012[l],,EX_tetdece1crn[e],,
M02013[l],,EX_dca[e],,
gt1alpha_hs[c],,FAOXC101C102m,,
gd2_hs[c],,FAOXC101C102x,,
gt2_hs[c],,FAOXC101C8m,,
gt1c_hs[c],,FAOXC101C8x,,
gq1c_hs[c],,FAOXC101m,,
acglcgalgluside_hs[c],,FAOXC101x,,
galacglcgalgluside_hs[c],,FAOXC102C101m,,
M00808[c],,FAOXC102C101x,,
M01849[c],,FAOXC102C103m,,
M01860[c],,FAOXC102C103x,,
M02195[c],,FAOXC102C81m,,
acngalacglcgalgluside_hs[c],,FAOXC102C81x,,
galfucgalacglcgalgluside_hs[c],,FAOXC102m,,
acgalfucgalacglcgalgluside_hs[c],,FAOXC102x,,
M02194[c],,FAOXC103C102m,,
M02683[c],,FAOXC103C102x,,
acngal14acglcgalgluside_hs[c],,FAOXC10C10OHm,,
M02592[c],,FAOXC10C8m,,
M03094[c],,FAOXC10C8x,,
M02196[c],,FAOXC10DCC8DCx,,
M02162[c],,FAOXC11BRC9BRx,,
M03093[c],,FAOXC11C9m,,
galacgalfuc12gal14acglcgalgluside_hs[c],,FAOXC121C101m,,
fucgalacgalfuc12gal14acglcgalgluside_hs[c],,FAOXC121C10x,,
M02163[c],,FAOXC121x,,
acglcgal14acglcgalgluside_hs[c],,FAOXC122C101m,,
galacglcgal14acglcgalgluside_hs[c],,FAOXC122m,,
acglc13galacglcgal14acglcgalgluside_hs[c],,FAOXC122x,,
galacglc13galacglcgal14acglcgalgluside_hs[c],,FAOXC123C102m,,
fucgalacglc13galacglcgal14acglcgalgluside_hs[c],,FAOXC123C102x,,
M01886[c],,FAOXC123m,,
fuc132galacglcgal14acglcgalgluside_hs[c],,FAOXC123x,,
M03132[c],,FAOXC12C10m,,
fucgalacglcgal14acglcgalgluside_hs[c],,FAOXC12C10x,,
fucfucgalacglcgal14acglcgalgluside_hs[c],,FAOXC12C12OHm,,
acgalfucgalacglcgal14acglcgalgluside_hs[c],,FAOXC12DCC10DCx,,
galacgalfucgalacglcgal14acglcgalgluside_hs[c],,FAOXC12DCTc,,
fucgalacgalfucgalacglcgal14acglcgalgluside_hs[c],,FAOXC12DCc,,
acglcgalacglcgal14acglcgalgluside_hs[c],,FAOXC12DCx,,
M02186[c],,FAOXC13BRC11BRx,,
M02490[c],,FAOXC13C11m,,
M01881[c],,FAOXC141C121m,,
CE7231[c],,FAOXC141C121x,,
M01213[c],,FAOXC141C141OHm,,
M01239[c],,FAOXC142C122m,,
M00297[c],,FAOXC142C122x,,
CE7228[c],,FAOXC142C142OHm,,
M00396[c],,FAOXC143C123m,,
M00414[c],,FAOXC143C123x,,
M00426[c],,FAOXC14C12m,,
M00430[c],,FAOXC14C12x,,
M01051[c],,FAOXC14C14OHm,,
M01208[c],,FAOXC14DCC12DCx,,
M00277[c],,FAOXC15ATPx,,
M00364[c],,FAOXC15BRC13BRx,,
5HPET[m],,FAOXC15C13m,,
CE6246[c],,FAOXC15NADPx,,
arachd[n],,FAOXC15NADx,,
M00377[c],,FAOXC161C141m,,
M00393[c],,FAOXC161C141x,,
M00390[c],,FAOXC161C161OHm,,
M00276[c],,FAOXC162C142m,,
M00296[c],,FAOXC162C162OHm,,
M00280[c],,FAOXC163C142x,,
CE2565[c],,FAOXC163C143m,,
CE2565[x],,FAOXC163C164Gm,,
C06314[n],,FAOXC163C164x,,
12HPET[r],,FAOXC163GC142m,,
12HPET[x],,FAOXC163Gm,,
gthox[r],,FAOXC163x,,
M00334[c],,FAOXC164C143m,,
M02098[c],,FAOXC164C143x,,
M03056[c],,FAOXC164C163x,,
M01203[c],,FAOXC164C165m,,
M01202[c],,FAOXC164C165x,,
M00005[c],,FAOXC164GC163m,,
CE2725[c],,FAOXC164m,,
CE2726[c],,FAOXC164x,,
CE2727[c],,FAOXC165C164m,,
M00310[c],,FAOXC165C164x,,
CE2728[c],,FAOXC16BRx,,
CE2729[c],,FAOXC16C14m,,
CE2449[c],,FAOXC16C14x,,
M00321[c],,FAOXC16C16OHm,,
CE4922[c],,FAOXC16DCC14DCx,,
M01111[e],,FAOXC16DCr,,
M00304[c],,FAOXC16OHC16r,,
M00320[c],,FAOXC17C15m,,
CE5663[c],,FAOXC181C161m,,
CE5525[r],,FAOXC181C161x,,
CE5976[r],,FAOXC181C181OHm,,
CE5178[r],,FAOXC182C162m,,
CE5178[x],,FAOXC182C182OHm,,
CE5178[m],,FAOXC183C163Gm,,
CE2445[x],,FAOXC183C163m,,
CE5179[m],,FAOXC184C163m,,
CE5352[m],,FAOXC184C163x,,
CE5352[x],,FAOXC184C164m,,
CE5179[x],,FAOXC184C164x,,
CE2446[c],,FAOXC184m,,
CE5350[c],,FAOXC184x,,
CE5350[m],,FAOXC185C164m,,
CE5350[x],,FAOXC185m,,
CE4987[m],,FAOXC18C18OHm,,
M00424[m],,FAOXC201C181x,,
CE4987[x],,FAOXC204C184m,,
CE6195[x],,FAOXC204C205x,,
CE6197[x],,FAOXC205C184x,,
HC02217[r],,FAOXC205C185m,,
HC02180[r],,FAOXC221C201x,,
M01167[c],,FAOXC225C204m,,
M00392[c],,FAOXC225C204x,,
M00381[c],,FAOXC225C226m,,
M00338[c],,FAOXC225C226x,,
M00382[c],,FAOXC225m,,
CE5708[c],,FAOXC225x,,
M00383[c],,FAOXC226C205m,,
CE6234[r],,FAOXC226C225m,,
