mets,genes,rxns,,"# we removed the transcript ids such as .1, .2 …etc and removed duplicates to maitain the unique genes "
5hoxindact[m],284273,ACN23ACNGALGBSIDEtg,,
5hoxindoa[m],10327,ACNACNGAL14ACGLCGALGLUSIDEte,,
5hoxnfkyn[c],216,ACNACNGAL14ACGLCGALGLUSIDEtg,,
5htrp[e],8854,ACNACNGALGBSIDEte,,
5hxkyn[c],501,ACNACNGALGBSIDEtg,,
5hxkynam[c],223,ACNAM9PL,,
46dhoxquin[c],224,ACNAM9PL2,,
5mthf[e],248,ACNAMlt,,
5mthf[c],251,ACNAMPH,,
5thf[c],249,ACNAMtn,,
5thf[l],250,ACNGALACGLCGAL14ACGLCGALGLUSIDEte,,
5thf[m],239,ACNGALACGLCGAL14ACGLCGALGLUSIDEtg,,
6dhf[c],242,ACNMLr,,
6dhf[l],247,ACOAD10m,,
6dhf[m],246,ACOAD1fm,,
6htststerone[c],240,ACOAD8m,,
6htststerone[e],8574,ACOAD9m,,
6htststerone[r],231,ACOAHi,,
6thf[c],23600,ACOAO7p,,
6thf[l],115286,ACODA,,
6thf[m],271,ACONTm,,
7dhchsterol[r],270,ACOX22x,,
7dhchsterol[c],272,ACOX2x,,
7dhf[c],290,ACP1_FMN_,,
7dhf[l],280,ACRNtm,,
7dhf[m],278,ACS2,,
7thf[c],276,ACSm,,
7thf[l],277,ACSOMT,,
7thf[m],6519,ACSRTNMT,,
m2mn[c],11136,ACt2m,,
man[c],279,ACt2r,,
mn[c],318,ACtg,,
m2mn[l],10998,ACTLMO,,
man[l],113451,ACTNMO,,
mn[l],9057,ADA,,
galgluside_hs[c],384,ADAe,,
udpgal[c],445,ADCim,,
thcrm_hs[c],83884,ADEt,,
udp[c],10166,ADEtl,,
h[g],410,ADHAPtx,,
galgluside_hs[g],427,ADK1m,,
udpgal[g],9962,ADK3,,
thcrm_hs[g],9963,ADK3m,,
udp[g],80150,ADKd,,
T_antigen[g],440,ADMDC,,
uacgam[g],790,ADNCYC,,
gncore1[g],6511,ADNK1m,,
core2[g],6505,ADNt,,
gncore2[g],6507,ADNt4,,
aact[c],6506,ADNtl,,
mthgxl[c],6512,ADNtm,,
aact[m],50617,ADPGLC,,
L2aadp6sa[m],533,ADPMAN,,
fucgalacglcgalgluside_hs[g],527,ADPRDPm,,
udpacgal[g],8992,ADPRIBt,,
acgalfucgalacglcgalgluside_hs[g],245972,ADPtx,,
galfucgalacglcgalgluside_hs[g],9114,ADRNCOAtx,,
fuc12gal14acglcgalgluside_hs[g],535,ADRNCPT1,,
galfuc12gal14acglcgalgluside_hs[g],10312,ADRNCPT2,,
acgalfuc12gal14acglcgalgluside_hs[g],23545,ADRNCRNt,,
fucgalacgalfuc12gal14acglcgalgluside_hs[g],51382,ADRNLPVESSEC,,
acgalfucgalacgalfuc12gal14acglcgalgluside_hs[g],9296,ADRNt,,
fucgalacglcgal14acglcgalgluside_hs[g],529,ADSELK,,
acgalfucgalacglcgal14acglcgalgluside_hs[g],245973,ADSK,,
fucgalacgalfucgalacglcgal14acglcgalgluside_hs[g],523,ADSL1,,
acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[g],51606,ADSL2,,
galfucgalacglcgal14acglcgalgluside_hs[g],9550,AFLATOXINte,,
fucfucgalacglcgalacglcgal14acglcgalgluside_hs[g],526,AG13T10g,,
galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs[g],127124,AG13T11g,,
sucsal[m],525,AG13T12g,,
abt[c],90423,AG13T13g,,
xylu_L[c],534,AG13T14g,,
abt[e],528,AG13T15g,,
h[l],954,AG13T16g,,
4abut[l],953,AG13T17g,,
4abut[e],956,AG13T18g,,
2maacoa[m],955,AG13T1g,,
ppcoa[m],957,AG13T2g,,
aacoa[m],377841,AG13T3g,,
coa[x],291,AG13T4g,,
accoa[x],293,AG13T5g,,
aacoa[x],292,AG13T6g,,
acac[c],4126,AG13T7g,,
acac[m],8706,AG13T8g,,
3odcoa[x],8705,AG13T9g,,
occoa[x],10317,AGLPC,,
3oddcoa[x],84002,AGLPED,,
dcacoa[x],570,AGLPET,,
3otdcoa[x],3141,AGLPH,,
ddcacoa[x],140679,AGLPR,,
3ohdcoa[x],8424,AGLPT,,
tdcoa[x],53630,AGMTm,,
3ohodcoa[x],57733,AGPAT1,,
pmtcoa[x],622,AGPex,,
3ohxccoa[x],56052,AGPRim,,
ttccoa[x],23743,AGPSx,,
acac[x],635,AGTim,,
acald[m],10599,AGTix,,
acald[c],1244,AHANDROSTANGLCte,,
acald[r],8714,AHANDROSTANGLCtr,,
acald[x],28234,AHCYStn,,
atp[m],645,AHCYStr,,
adp[m],644,AHEXASE2ly,,
pi[m],9488,AHEXASEly,,
hco3[m],10380,AIRCr,,
malcoa[m],686,AKGDm,,
accoa[c],8884,AKGMALtm,,
accoa[g],80704,AKGt4_3,,
amp[m],51733,AKGtp,,
ppi[m],7108,AKR1C1,,
ppa[m],549,AKR1C41,,
accoa[n],1891,AKR1C42,,
accoa[r],1962,AKR1D,,
acetone[e],50814,AKR1D2,,
acetone[c],3295,ALAASNNaEx,,
acetone[m],6307,ALACYSNaEx,,
acgagbside_hs[c],492,ALADGLNexR,,
acgagbside_hs[g],491,ALADGLYexR,,
acgagbside_hs[l],490,ALAGLNexR,,
acgalfucgalacgalfuc12gal14acglcgalgluside_hs[e],493,ALAGLNNaEx,,
acgalfucgalacgalfuc12gal14acglcgalgluside_hs[c],847,ALAGLYexR,,
acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[e],6547,ALASERNaEx,,
acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[c],6546,ALASm,,
acgal[c],6543,ALAt2rL,,
acgal1p[c],166785,ALAt4,,
itp[c],2538,ALATA_L,,
idp[c],57818,ALATHRNaEx,,
acgal[g],92579,ALAtN1,,
acgal[l],1373,ALCD21_D,,
gam6p[c],873,ALCD21_L,,
acgam6p[c],10423,ALCD22_D,,
acgam[c],1040,ALCD22_L,,
acgam1p[c],8760,ALCD2if,,
acgam[l],10390,ALCD2yf,,
acgbgbside_hs[c],56994,ALDD20x,,
acgbgbside_hs[g],64781,ALDD20xm,,
acgbgbside_hs[l],10087,ALDD21,,
acgpail_hs[c],6565,ALDD2xm,,
ac[c],9023,ALDD2y,,
gpail_hs[c],1103,ALDSTRNte,,
acglu[m],162466,ALDSTRNtm,,
ac[e],5130,ALKP,,
ach[e],9468,ALOX12,,
chol[e],6579,ALOX12R,,
ach[n],6554,ALOX15,,
ach[c],6555,ALOX5,,
cit[c],8647,ALOX52,,
oaa[c],55349,ALR2,,
acn13acngalgbside_hs[c],1120,ALR3,,
acn13acngalgbside_hs[e],1119,AMACR2p,,
acn13acngalgbside_hs[g],60482,AMACR2r,,
acn23acngalgbside_hs[c],6582,AMACRp,,
acn23acngalgbside_hs[e],6584,AMACRr,,
acn23acngalgbside_hs[g],6820,AMCOXO,,
acnacngal14acglcgalgluside_hs[e],10948,AMETr,,
acnacngal14acglcgalgluside_hs[c],19,AMETt2m,,
acnacngal14acglcgalgluside_hs[g],27159,AMETtn,,
acnacngalgbside_hs[c],54682,AMPDA,,
acnacngalgbside_hs[e],1118,AMPTASECGe,,
acnacngalgbside_hs[g],9058,AMPtp,,
acmanap[c],6576,AMPtr,,
pep[c],1159,AMY1e,,
acnamp[c],1160,AMY2e,,
man6p[c],548596,ANDRSTRNGLCte,,
kdnp[c],1152,ANDRSTRNGLCtr,,
acnam[c],1158,ANDRSTRNte,,
acnam[l],5172,ANDRSTRNtr,,
acnam[n],65010,ANTIPYRENEte,,
acngalacglcgal14acglcgalgluside_hs[e],54675,AOBUTDsm,,
acngalacglcgal14acglcgalgluside_hs[c],10559,AP4AH1,,
acngalacglcgal14acglcgalgluside_hs[g],55907,APAT2rm,,
acmana[c],8034,APNNOXte,,
2mbcoa[m],8824,APOCF,,
fad[m],51805,APOCFm,,
2mb2coa[m],51004,APOC_LYS_BTNP,,
fadh2[m],10229,APOC_LYS_BTNPm,,
btcoa[m],9245,APPNNte,,
ivcoa[m],2650,APRTO2,,
3mb2coa[m],51301,AQCOBALt,,
ibcoa[m],192134,ARAB_Lt,,
2mp2coa[m],6535,ARABR,,
o2[x],386757,ARACHCOAtx,,
h2o2[x],1384,ARACHCPT1,,
hdd2coa[x],6583,ARACHCPT2,,
acorn[c],1431,ARACHCRNt,,
orn[c],54677,ARACHDCOAtx,,
cit[m],8140,ARACHDt2,,
icit[m],23428,ARACHDtr,,
fad[x],1036,ARACHt,,
fadh2[x],124935,ARGDCm,,
dhcholoylcoa[x],23657,ARGLYSex,,
thcholoylcoa[x],978,ARGNm,,
h2o[x],57379,ARGSS,,
cholcoas[x],7371,ARGt4,,
cholcoads[x],83549,ARGtm,,
fmn[c],51727,ARSA,,
ribflv[c],129607,ARTCOAL1,,
acrn[c],9162,ARTCOAL2,,
acrn[m],1607,ARTCOAL3,,
amp[c],8525,R_group_phosphotase_1,,
ppi[c],160851,R_group_phosphotase_2,,
ppcoa[c],1608,R_group_phosphotase_3,,
ppa[c],8527,ARTFR11,,
ac[m],1606,ARTFR12,,
5moxact[c],8526,ARTFR13,,
Nacsertn[c],1609,ARTFR202,,
melatn[c],1610,ARTFR203,,
ac[g],2745,ARTFR204,,
acetol[c],51022,ARTFR205,,
adn[c],8528,ARTFR206,,
ins[c],1632,ARTFR207,,
nh4[e],10455,ARTFR208,,
adn[e],1633,ARTFR209,,
ins[e],1638,ARTFR210,,
ade[e],6319,ARTFR211,,
ade[c],9415,ARTFR212,,
ade[l],3992,ARTFR213,,
adhap_hs[c],8694,ARTFR31,,
adhap_hs[x],84649,ARTFR32,,
gtp[c],1716,ARTFR33,,
gdp[c],6515,ARTFR34,,
gtp[m],6513,ARTFR41,,
gdp[m],6517,ARTFR42,,
damp[c],8443,ARTFR43,,
datp[c],1718,ARTFR44,,
dadp[c],1581,ARTFR45,,
ametam[c],1717,ARTFR46,,
