mCADRE_brain_rxns,rFASTACOROMICS_brain_rxns,CORDA_brain_rxns,ftINIT_brain_rxns
BTNt2i,ATPtn,ALAt4,AHEXASEly
BTNt2m,B_MANNASEly,ALATA_L,AIRCr
BTNt3i_1,B3GALT3g,ALATHRNaEx,AKGDm
BTNtn,B3GALT41g,ALAtN1,AKGMALtm
BUP2,B3GALT42g,ALCD21_D,AKGt4_3
BUTt2m,B3GALT43g,LCARS,AKGtp
C14STRr,B3GALT44g,ALCD22_D,AKR1C1
C160CPT2,B3GALT5g,ALCD22_L,AKR1C41
C160CRNt,B3GALTg,ALCD2x,AKR1C42
C161CPT1,B3GNT11g,ALDD20x,AKR1D
C161CPT12,B3GNT12g,ALDD20xm,AKR1D2
C161CPT2,B3GNT310g,ALDD21,ALAASNNaEx
C161CRN2t,B3GNT312g,ALDD2xm,ALACYSNaEx
C161CRNt,B3GNT314g,ALDD2y,ALAGLNNaEx
C180CPT2,B3GNT315g,ALOX15,ALASERNaEx
C180CRNt,B3GNT51g,ALOX52,ALASm
C181CRNt,BAAT2x,ALR2,ALAt4
C204CPT2,BAAT3x,ALR3,ALATA_L
C204CRNt,BACCL,AMACR2p,ALATHRNaEx
C226CPT1,BACCLm,AMACRp,ALAtN1
C226CPT2,BALAtmr,AMETt2m,ALCD21_D
C3STDH1Pr,BAMPPALDOX,AMPDA,ALCD22_D
C3STDH1r,BBHOX,AMPTASECGe,ALCD2x
C3STKR2r,BDHm,AMY1e,ALCD2y
C4STMO2Pr,BHBtm,AMY2e,ALDD20x
C4STMO2r,BHMT,ANDRSTRNGLCte,ALDD20xm
CAATPS_1,BILDGLCURt,ANDRSTRNGLCtr,ALDD2xm
CAT2p,BILGLCURt,ANDRSTRNte,ALDD2y
CATm,BILIRED,ANDRSTRNtr,ALDSTRNte
CATp,BILIRUBt2,APAT2rm,ALDSTRNtm
CBL2OR,BIOCYTtn,APOCF,ALOX12
CBL2tm,BMTer_U,APOCFm,ALOX15
CDIPTr,BPNT2,APOC_LYS_BTNP,ALOX5
CDPDAGtm,BTND1,APOC_LYS_BTNPm,ALOX52
CDS,BTND1n,APRTO2,ALR2
CDSm,BTNDe,AQCOBALt,AMACR2p
CEPTC,BTNDm,ARAB_Lt,AMACRp
CEPTE,BTNPL,ARABR,AMETt2m
CERK,BTNPLm,ARACHCOAtx,AMPDA
CERT1rt,BTNt2i,ARACHCPT1,AMPTASECGe
CGLYt3_2,C14STRr,ARACHCPT2,AMPtp
CH25H,C160CPT1,ARACHCRNt,AMY1e
CHAT,C160CPT2,ARACHDCOAtx,AMY2e
CHLPCTD,C160CRNt,ARACHDt2,ANDRSTRNGLCte
CHLtm,C161CPT1,ARACHDtr,ANDRSTRNGLCtr
CHOLATEt,C161CPT12,ARGDCm,ANDRSTRNte
CHOLK,C161CPT2,ARGLYSex,ANTIPYRENEte
CHOLPtg,C161CPT22,ARGNm,AOBUTDsm
CHOLPtl,C161CRN2t,ARGSS,APAT2rm
CHOLtu,C161CRNt,ARGtm,APNNOXte
CHSTEROLt1,C180CPT1,ARSA,APOCF
CITRtm,C180CPT2,ARTCOAL2_cho,APOCFm
CITtam,C180CRNt,R_group_phosphotase_1,APOC_LYS_BTNP
CITtbm,C181CPT1,R_group_phosphotase_3,APOC_LYS_BTNPm
CK_cho,C181CPT2,ARTFR208,APPNNte
CLOXAtex2,C181CRNt,ASAH1,APRTO2
CLPNDCPT1,C204CPT1,ASCBt4,AQCOBALt
CLPNDCPT2,C204CPT2,ASNALANaEx,ARAB_Lt
CLPNDCRNt,C204CRNt,ASNCYSNaEx,ARABR
CLS_hs,C226CPT1,ASNGLNNaEx,ARACHCPT1
CMPACNAtg,C226CPT2,ASNNm,ARACHCPT2
CMPACNAtn,C3STDH1Pr,ASNS1,ARACHCRNt
ACNMCT,C3STDH1r,ASNSERNaEx,ARACHDt2
CMPSASn,C3STKR2r,ASNt4,ARACHDtr
CO2ter,C4STMO2Pr,ASNTHRNaEx,ARGDCm
COQ3m,C4STMO2r,ASNtm,ARGLYSex
COQ5m,CAATPS_1,ASNtN1,ARGNm
COQ6m,CAT2p,ASPCT,ARGt4
COQ7m,CAt7r,ASPDt6,ARGtm
CORE2GTg,CATm,ASPDxt,ARSA
CORE3GTg,CATp,ASPGLUm,R_group_phosphotase_1
CORE4GTg,CBPPer,ASPt6,R_group_phosphotase_2
COt,CBPter,ASPTAm,R_group_phosphotase_3
COUCOAFm,CBR2,ATP1ter,ARTFR208
CREATtmdiffir,CDIPTr,ATP2ter,ARTPLM3m
CRNCAR3tp,CDS,ATPH1e,ASAH1
CRNCARtp,CDSm,ATPH2e,ASCBt4
CRNt,CEPTC,ATPtm,ASNALANaEx
CRNtim,CEPTE,ATPtn,ASNCYSNaEx
CRNtuNa,CERK,B_MANNASEly,ASNGLNNaEx
CSAPASEly,CERT1gt,B3GALT3g,ASNNm
CSBPASEly,CERT1rt,B3GALT41g,ASNS1
CSCPASEly,CGLYt3_2,B3GALT42g,ASNSERNaEx
CSDPASEly,CH25H,B3GALT43g,ASNt4
CSEPASEly,CHAT,B3GALT44g,ASNTHRNaEx
CSm,CHLPCTD,B3GALT5g,ASNtm
CSNAT2m,CHLtm,B3GALTg,ASNtN1
CSNAT2x,CHOLATEt,B3GNT11g,ASPCT
CSNAT3x,CHOLK,B3GNT12g,ASPDt6
CSNATer,CHOLPtg,B3GNT310g,ASPDxt
CSNATm,CHOLPtl,B3GNT312g,ASPGLUm
CSNATp,CHOLtg,B3GNT314g,ASPt6
CSNATr,CHOLtr,B3GNT315g,ASPTAm
CSPG_At,CHOLtu,B3GNT36g,ATP1ter
CSPG_Atly,CHSTEROLSULT,B3GNT37g,ATP2ter
CSPG_Bt,CHSTEROLt1,B3GNT51g,ATPH1e
CSPG_Btly,CITRtm,BAAT3x,ATPH2e
CSPG_Ct,CITtam,BACCL,ATPtm
CSPG_Ctly,CITtbm,BACCLm,ATPtn
CSPG_Dt,CK_cho,BALAtmr,ATPtx
CSPG_Dtly,CKc_cho,BALAVECSEC_1,AVITE2t
CSPG_Et,CLPNDCPT1,BAMPPALDOX,B_MANNASEly
CSPG_Etly,CLPNDCPT2,BBHOX,B3GALT3g
CTPtn,CLPNDCRNt,BDHm,B3GALT41g
CYANt,CLS_hs,BETALDHxm,B3GALT42g
CYANtm,CMPACNAtg,BHBtm,B3GALT43g
CYSO,CMPACNAtn,BHMT,B3GALT44g
CYSt4,ACNMCT,BILDGLCURt,B3GALT5g
CYSTA,CMPSASn,BILDGLCURte,B3GALTg
CYTDK1,CO2ter,BILGLCURt,B3GNT11g
CYTDK2m,CO2tg,BILGLCURte,B3GNT12g
CYTDt,CO2tp,BILGLCURtr,B3GNT310g
CYTDtl,COAtg,BILIRED,B3GNT311g
CYTDtm,COAtl,BILIRUBt2,B3GNT312g
CYTK10,COAtim,BILIRUBtr,B3GNT313g
CYTK10n,COQ3m,BIOCYTtn,B3GNT314g
CYTK11,COQ5m,BMTer_U,B3GNT315g
CYTK11n,COQ6m,BPNT2,B3GNT31g
CYTK12,COQ7m,BTND1,B3GNT32g
CYTK12n,CORE2GTg,BTND1n,B3GNT33g
CYTK13,CORE3GTg,BTNDe,B3GNT34g
CYTK13n,CORE4GTg,BTNDm,B3GNT35g
CYTK14,COt,BTNPL,B3GNT36g
CYTK14n,CREATt4_2_r,BTNPLm,B3GNT37g
CYTK1m,CREATtmdiffir,BTNt2i,B3GNT39g
CYTK1n,CRNCAR3tp,BTNt2m,B3GNT51g
CYTK2n,CRNCARtp,BTNt3i_1,BAAT1x
CYTK3,CRNtim,BTNt4i,BAAT2x
CYTK3n,CRTSLtr,BTNtn,BAAT3x
CYTK4,CSAPASEly,BUTt2m,BAAT4x_cho
CYTK4n,CSBPASEly,BZt,BACCL
CYTK2_1,CSCPASEly,C14STRr,BACCLm
CYTK5n,CSDPASEly,C160CPT1,BALAtmr
CPK1,CSEPASEly,C160CPT2,BAMPPALDOX
CYTK6n,CSm,C160CRNt,BBHOX
CYTK7,CSNAT2m,C161CPT1,BCDO
CYTK7n,CSNAT2x,C161CPT12,BETALDHxm
CYTK8,CSNAT3x,C161CPT2,BHMT
CYTK8n,CSNATer,C161CPT22,BILDGLCURt
CYTK9,CSNATm,C161CRN2t,BILDGLCURte
CYTK9n,CSNATp,C161CRNt,BILGLCURt
DAG_HSter,CSNATr,C180CPT1,BILGLCURte
DAGK_hs,CSPG_At,C180CPT2,BILGLCURtr
DAGKn_hs,CSPG_Atly,C180CRNt,BILIRED
DALAt2r,CSPG_Bt,C181CPT1,BILIRUBt2
DASCBR_1,CSPG_Btly,C181CPT2,BIOCYTtn
DASPO1p,CSPG_Ct,C181CRNt,BMTer_U
DATPtn,CSPG_Ctly,C204CPT1,BTND1
DCIm,CSPG_Dt,C204CPT2,BTND1n
DCK1m,CSPG_Dtly,C204CRNt,BTNDe
DCK1n,CSPG_Et,C226COAtx,BTNDm
DCK2n,CSPG_Etly,C226CPT1,BTNPL
DCSPTN1CPT1,CTPtn,C226CPT2,BTNPLm
DCSPTN1CPT2,CYANt,C3STDH1Pr,BTNt2i
DCSPTN1CRNt,CYANtm,C3STDH1r,BTNt2m
DDPGAm,CYSGLUexR,C3STKR2r,BTNt3i_1
DECDPtm,CYSGLYex,C4STMO2Pr,BTNt4i
DESAT18_10,CYSO,C4STMO2r,BUP2
DESAT18_6,CYSTA,CAATPS_1,BUTt2m
DESAT18_12,CYStec,CAT2p,BVITEt
DESAT18_8,CYSTGLUex,CAt7r,BZt
DESAT18_9,CYTDK1,CATm,BZtr
DESAT24_1,CYTDt,CATp,C14STRr
DGAT,CYTDtl,CBL2OR,C160CPT1
DGCHOLtx,CYTK10,CBL2tm,C160CPT2
DGK2m,CYTK10n,CBPPer,C160CRNt
DGNSKm,CYTK11,CBPSam,C161CPT1
DGSNtm,CYTK11n,CBPter,C161CPT12
DGTPtn,CYTK12,CBR2,C161CPT2
DHAAt1r,CYTK12n,CDIPTr,C161CPT22
DHCR71r,CYTK13,CDPDAGtm,C161CRN2t
DHCR72r,CYTK13n,CDS,C161CRNt
DHCRD1,CYTK14,CDSm,C180CPT1
DHDPBMTm,CYTK14n,CEPTC,C180CPT2
DHEASt,CYTK1m,CEPTE,C180CRNt
DHFtl,CYTK1n,CERK,C181CPT1
DHORD9,CYTK2n,CERT1gt,C181CPT2
DHPM1,CYTK3,CERT1rt,C181CRNt
