mCADRE_brain_rxns,rFASTACOROMICS_brain_rxns,CORDA_brain_rxns,ftINIT_brain_rxns
GLUMETr,EX_acgal_e,r2518,r2397
GLUMETHISr,EX_pa_hs_e,r2520,r2398
GLUTHRr,F1Ate,r2521,r2399
GLUTHRLYSr,LPAMtm,r2539,r2400
GLUTRPALAr,PROSTGE2t2r,EX_so3_e,r2401
GLYHISASNr,ESTR2r,FACOAE180,r2402
GLYHISLYSr,SK_C02528_c,RE0452M,r2403
GLYLYSCYSr,SK_Tyr_ggn_c,RE0453M,r2404
GLYLYSPHEr,SK_crvnc_c,RE0453N,r2405
GLYTYRLYSr,SK_dgchol_c,RE0456N,r2406
GLYVALHISr,SK_doco13ecoa_c,RE0512M,r2407
HISARGCYSr,SK_glygn2_c,RE0512X,r2408
HISARGSERr,SK_lnlc_c,RE0565C,r2409
HISASPr,SK_lnlncacoa_c,RE0566C,r2410
HISCYSCYSr,SK_nad_c,RE0567C,r2411
HISGLNALAr,SK_pydam_c,RE0568C,r2412
HISGLUr,SK_pydx_c,RE0569C,r2413
HISGLUGLNr,SK_pydxn_c,RE0570C,r2416
HISGLYLYSr,SK_retinol_c,RE0571C,r2419
HISHISLYSr,SK_stcoa_c,RE0574C,r2420
HISLYSALAr,SK_tag_hs_c,RE0575C,CRNCARtm
HISLYSGLUr,SK_tchola_c,RE0576C_1,r2434
HISLYSILEr,SK_thf_c,RE0577C,CARN160t_m
HISLYSTHRr,SK_tmndnc_c,RE0578C,CARN1819Zt_m
HISLYSVALr,SK_dhcholestanate_c,RE0579C_1,r2437
HISMETr,SK_thcholstoic_c,RE0581C,r2438
HISMETGLNr,SK_xol7aone_c,ECOAR,r2439
HISPHEARGr,SK_xoldiolone_c,RE0830N,r2447
HISPROLYSr,EX_2obut_e,RE0908C,r2449
HISTRPHISr,ACACT1r,RE0912C,r2465_1
ILEARGILEr,ACACt2,RE0915C,SERt2r
ILEASNHISr,ACCOAL,RE0915E,r2472
ILEASPr,ACONT,RE0916C,G6Pt6er
ILEGLNGLUr,ACS,RE0918C,r2482
ILEGLYARGr,ADK1,RE0926E,r2483
ILEPROLYSr,ADNt2,RE0935E,r2484
ILESERARGr,ADPT,RE0944E,r2485
ILETRPTYRr,ADSS,RE0958C,r2486
LEUALAARGr,ASP1DC,RE0958E,r2487
LEUASNASPr,ASPTA,RE1050E,r2488
LEUASPLYSr,BPNT,RE1099C,r2489
LEULEUTRPr,BUTt2r,STS3,r2490
LEUPROr,CBPS,STS4,r2491
LEUPROARGr,CPPPGO,RE1233C,r2492
LEUSERTRPr,CTPS1,SPMDAT1,r2493
LEUTRPr,CTPS2,SPMDAT2,r2494
LEUTRPARGr,CYSTGL,AADSACYCL,r2495
LEUTYRTYRr,CYSTS,RE1342C,r2496
LEUVALr,DGK1,RE1441R_1,r2497
LYSARGLEUr,DHORTS,RE1447M_1,r2498
LYSCYSHISr,DHPR,RE1447N_1,r2499
LYSGLNPHEr,DMATT,RE1448N_1,r2501
LYSGLUGLUr,DPCOAK,RE1448R_1,r2502
LYSLYSLYSr,DTMPK,RE1516M,r2503
LYSPHEILEr,DURIPP,RE1516X,r2505
LYSTRPARGr,ENO,RE1517M,r2509
LYSTYRILEr,EX_din_e,RE1517X,r2514
LYSVALPHEr,EX_ins_e,RE1518M,r2516
LYSVALTRPr,EX_lys__L_e,RE1518X,r2520
METARGLEUr,EX_o2_e,RE1519X,GLNt
METASNTYRr,EX_ppi_e,RE1520M,r2526
METGLNTYRr,EX_ser__L_e,RE1520X,r2532
METGLYARGr,EX_so4_e,RE1521M,r2534
METHISLYSr,EX_thymd_e,RE1521X,r2535
METMETILEr,EX_urea_e,RE1522M,r2538
METPHEARGr,EX_uri_e,RE1522X,r2539
METTRPPHEr,FBA,RE1523M,EX_so3_e
PHEASNMETr,FBA2,RE1523X,EX_sprm_e
PHEASPr,FMNAT,RE1525M,FACOAE180
PHEGLNPHEr,FPGS7_1,RE1525X,GULND
PHELEUr,FTHFCL,RE1526M,RE0453M
PHELEUASPr,FUM,RE1526X,RE0453N
PHELEUHISr,G3PD1ir,RE1527M,RE0456N
PHELYSALAr,G6PDH2r,RE1527X,RE0512M
PHELYSPROr,GALUi,RE1530C,RE0512X
PHEPHEr,GAPD,RE1530M,RE0549C
PHEPHEASNr,GF6PTA,RE1531M,RE0565C
PHEPHETHRr,GK1,RE1531X,RE0566C
PHEPROARGr,GLNS,RE1532M,RE0567C
PHESERTRPr,GMAND,RE1532X,RE0568C
PHETHRLYSr,GMPS2,RE1533M,RE0569C
PHETRPLEUr,GRTT,RE1533X,RE0569E
PHETYRr,GTPCI,RE1534M,RE0570C
PHETYRGLNr,HCO3E,RE1534X,RE0571C
PHETYRLYSr,H2Ot,RE1573M,RE0574C
PROARGASPr,HEX1,RE1573X,RE0575C
PROARGCYSr,HMBS,RE1587C,RE0576C_1
PROASNCYSr,ILETA,RE1630C,RE0577C
PROCYSr,IMPD,CYANSTm,RE0578C
PROGLNPROr,LEUTA,RE1709N,RE0579C_1
PROGLULYSr,L_LACt2r,HSD3B7,RE0581C
PROHISr,MAN1PT2,RE1804M,RE0688E
PROHISTYRr,MAN6PI,RE1807M,RE0689E
PROLEUARGr,MTHFC,RE1834C,RE0690E
PROLYSPROr,MTHFD,RE1834M,RE0827E
PROPHEr,NADK,RE1834X,RE0828E
PROPROARGr,NAt3_1,RE1835C,RE0830C
PROPROPROr,NDPK1,RE1836C,RE0830N
PROTRPLYSr,NDPK2,SCP3x,RE0908C
PROTRPTHRr,NDPK3,RE1845C,RE0912C
PROVALGLNr,NDPK4,RE1860E,RE0915E
SERARGALAr,NDPK5,RE1915C,RE0916C
SERARGTRPr,NDPK6,RE1916C,RE0918C
SERCYSARGr,NDPK7,RE1925C,RE0926E
SERGLYGLUr,NDPK8,RE1957R_1,RE0935E
SERLYSHISr,NDPK9,RE2080C,RE0936E
SERPHELYSr,NNATr,RE2112C,RE0937E
SERTRPHISr,NTD1,RE2112R,RE0938E
THRARGTYRr,O2t,RE2130C,RE0944E
THRASNTYRr,OMPDC,RE2154C,RE0958C
THRGLNGLUr,PGI,RE2155C,RE0958E
THRGLNTYRr,PGK,RE2235R,RE1050E
THRHISHISr,PGL,RE2270E,RE1099C
THRILEARGr,PGM,RE2273E,STS3
THRMETARGr,PGMT,RE2296C,STS3r
THRPHEARGr,PMANM,RE2346C,STS4
THRSERARGr,PNTK,RE2386C,STS4r
THRTHRARGr,PPA,RE2404C,RE1233C
THRTYRMETr,PPBNGS,RE2407C,SPMDAT1
TRPALAPROr,PPCDC,RE2410C,SPMDAT2
TRPARGALAr,PPM,RE2426C,AADSACYCL
TRPASPASPr,PPNCL3,RE2427M,CYP2R1
TRPGLNGLNr,PRO1x,RE2428M,RE1441R_1
TRPGLUGLYr,PROt2r,RE2445E,RE1447M_1
TRPGLULEUr,PRPPS,RE2514E,RE1448N_1
TRPGLUPROr,PSERT,RE2526C,RE1448R_1
TRPGLUTYRr,PSP_L,RE2541C,RE1516M
TRPGLYLEUr,PTPATi,RE2541E,RE1516X
TRPGLYPHEr,PUNP3,RE2624M,RE1517M
TRPGLYVALr,RBFK,RE2624X,RE1517X
TRPHISMETr,RNDR1,RE2625C,RE1518X
TRPILELYSr,RNDR2,RE2625M,RE1519X
TRPILETRPr,RNDR3,RE2626M,RE1520M
TRPLEUVALr,RNDR4,RE2640C,RE1520X
TRPLYSr,RPE,RE2644C,RE1521M
TRPMETARGr,RPI,RE2649C,RE1521X
TRPMETVALr,SPMS,RE2649M,RE1522M
TRPPHEr,SPODM,RE2655R,RE1522X
TRPPROGLYr,TALA,RE2660N,RE1523M
TRPPROLEUr,THRS,RE2666C_1,RE1523X
TRPPROVALr,TKT1,B3GNT38g,RE1525M
TRPSERTYRr,TKT2,RE2677C_1,RE1525X
TRPTHRGLUr,TMDK1,RE2677R_1,RE1526M
TRPTHRILEr,TPI,RE2717L,RE1526X
TRPTHRTYRr,UAG4Ei,RE2759X,RE1527M
TRPTYRGLNr,UAGDP,RE2766C,RE1527X
TRPTYRTYRr,UDPG4E,RE2814R,RE1530M
TRPVALASPr,UMPK,RE2888C_1,RE1531M
TYRALAr,UPP3S,RE2912M,RE1531X
TYRALAPHEr,UPPDC1,PYK6,RE1532M
TYRARGGLUr,UREAt,RE2972M_1,RE1532X
TYRARGSERr,URIDK2r,RE2973N_1,RE1533M
TYRASPARGr,VALTA,RE2985M,RE1533X
TYRCYSGLYr,r0082,RE2985X,RE1534M
TYRCYSTHRr,r0220_1,RE2986X,RE1534X
TYRGLUr,r0318,RE2987X,RE1573M
TYRLEUARGr,DADK,RE2988X,RE1573X
TYRPHETYRr,r0398,RE2989X,RE1587C
TYRTHRr,r0422,RE2990X,RE1630C
TYRTRPPHEr,PPM2,RE2991X,CYANSTm
TYRTYRr,PPNCL2,RE2992M,RE1709N
TYRVALMETr,ACCOAC,RE2992X,RE1796M
VALARGGLYr,FPGS_1,RE2993X,HSD3B7
VALHISASNr,EX_pnto__R_e,RE2994X,RE1804M
VALLEUPHEr,EX_gly_e,RE2996X,RE1807M
VALLYSTYRr,GLYt2r,RE2997X,RE1834C
VALPHEARGr,EX_ala__L_e,RE2998M,RE1834M
VALPROTRPr,ALAt2r,RE2999M,RE1834X
VALSERARGr,EX_gln__L_e,RE3000M,RE1835C
VALTRPPHEr,EX_tyr__L_e,RE3001M,SCP3x
VALTRPVALr,NTD2,RE3002X,RE1845C
VALVALr,NTD4,RE3003M,BAAT5x
TRPGLYASPr,NTD5,RE3004M,RE1846C
HOMOVALte,NTD6,RE3005M,RE1860E
EX_homoval_e,NTD7,RE3006M,RE1916C
GLYCLTtm,NTD8,RE3010C,RE1918C
PCHOL2PALM_HSte,NTD9,RE3010M,RE1957R_1
XOLEST183te,NTD10,RE3010X,RE2030M
XOLEST182_HSte,NTD11,RE3011M,RE2079R
XOLEST205_HSte,NADS2,RE3011R,RE2080C
XOLEST226_HSte,ADPRDP,RE3012C,RE2111M
PE224_HSte,EX_ind3ac_e,RE3012M,RE2112R
PCHOLN261_HSte,ALCD1,RE3012R,RE2147C
PCHOLN281_HSte,RBK,RE3013C,RE2154C
PCHOLN28_HSte,ADNK1,RE3014R,RE2155C
ACRNtr,GCALDD,RE3015R,RE2223M
HDCECRNtr,GLYCK,RE3016R,RE2235R
LNELDCCRNtr,ABUTD,RE3017R,RE2269E
ODECRNtr,ACYP,RE3038C,RE2270E
PMTCRNtr,AGDC,RE3040C,RE2273E
STCRNtr,AICART,RE3050R,RE2296C
XOLEST183tl,ALDD2x,RE3051C,RE2304E
XOLEST182tl,AMANK,RE3052C,RE2346C
XOLEST205tl,ARGSL,RE3076X,RE2349C
TMNDNCtl,CITL,RE3074X,RE2386C
XOLEST226tl,CYTK1,RE3079X,RE2404C
CRVNCtl,CYTK2,RE3081X,RE2405C
PHEACGLYtm,DRBK,RE3082X,RE2407C
TTDCEAc,EX_glcr_e,RE3086X,RE2410C
PACCOALm,EX_glcur_e,RE3095C,RE2426C
PACALDtm,EX_malttr_e,RE3103C,RE2427M
2MOPtm,EX_rib__D_e,RE3104C,RE2428M
MMALtm,EX_ura_e,RE3106C,RE2429M
PSDm_hsc,EX_xyl__D_e,RE3108C,RE2445E
PGPP_hsc,FACOAL161,RE3110C,RE2514E
r2514m,G6PDA,RE3112C,RE2526C
ACNAMt2,GALKr,RE3113C,RE2541C
ADRNLtu,GALT,RE3114R,RE2541E
ARGt5r,GLUPRT,RE3119C,RE2562C
UGT1A10c,GLXO1,RE3120C,RE2624M
UNK3,GLYK,RE3121C,RE2624X
EX_lpam_e,GLYOX,RE3122C,RE2625C
LPAMt,GND,RE3132R,RE2625M
EX_pa_hs_e,HEX7,RE3134C,RE2626M
34HPLtm,IMACTD,CHLSTD78I,RE2635R
LPAMtm,IMPC,RE3146R,RE2636R
PROSTGE2t2r,LCADi,RE3151C,RE2637C
ESTRr,LDH_D,RE3152C,RE2637X
SK_cholate_c,LDH_L,RE3153C,RE2638C
SK_coa_c,LGTHL,RE3154C,RE2640C
SK_retinol_c,MALT,RE3156X,RE2644C
SK_tag_hs_c,MDH,RE3157X,RE2649C
SK_tchola_c,MI1PP,RE3158X,RE2649M
ACACT1r,MI3PP,RE3159X,RE2660N
ACACt2,MI4PP,RE3160R,RE2666C_1
ACCOAL,NT5C,RE3161C,RE2677G_1
ACONT,NTD3,RE3162C,RE2717L
ACS,ORNDC,RE3163C,RE2759X
ADK1,PFK,RE3164C,RE2766C
ADPT,PHETA1,RE3165C,RE2814M
ADSS,PRFGS,RE3166C,RE2888C_1
ASP1DC,PYDAMK,RE3167C,RE2912M
ASPTA,PYDXNK,RE3168C,PYK6
BPNT,THRD_L,RE3169C,RE2972M_1
BUTt2r,TYRTA,RE3170C,RE2973N_1
CBPS,XYLt,RE3171C,RE2985M
CPPPGO,GLYALDDr,RE3172C,RE2985X
CTPS1,MTHFR2,RE3173C,RE2986X
CTPS2,ARGORNt7,RE3174C,RE2987X
DHFR,EX_arab__L_e,RE3175C,RE2988X
DHORTS,UGLT,RE3176C,RE2989X
DMATT,EX_gam_e,RE3177M,RE2990X
DPCOAK,PYRt2,RE3178M,RE2991X
DURIPP,ACGAM2E,RE3179M,RE2992M
ENO,DCMPDA,RE3185M,RE2992X
EX_but_e,FTHFLi,RE3186M,RE2993X
EX_fe3_e,EX_etoh_e,RE3189M,RE2994X
EX_glypro_e,ETOHt,RE3190M,RE2996X
EX_pi_e,AACOAT,RE3191M,RE2997X
EX_succ_e,MTRI,RE3192M,RE2998M
EX_urea_e,MTHFD2i,RE3193M,RE2999M
FBA,AHCi,RE3194M,RE3000M
FBA2,EX_4abut_e,RE3195M,RE3001M
FEROc,ABUTt2r,RE3218C,RE3002X
FMNAT,EX_taur_e,RE3220C,RE3003M
FPGS7_1,EX_phpyr_e,RE3224C,RE3004M
FT,PHPYRte,RE3225C,RE3005M
FUM,PHPYRtm,RE3226C,RE3006M
G3PD1ir,VANILPYRc,RE3227C,RE3010C
G5SADs,VANILLACc,RE3228C,RE3010M
G6PDH2r,VANILLACte,RE3229C,RE3010X
GALUi,EX_vanillac_e,RE3230C,RE3011M
GAPD,2H3MVc,RE3231C,RE3011R
GHMT2r,2H3MVte,RE3232C,RE3012C
GK1,EX_2h3mv_e,RE3234C,RE3012M
GLNS,2HIVc,RE3235C,RE3012R
GLYLEUHYDROc,2HIVte,RE3236C,RE3013C
GLYPHEHYc,EX_2hiv_e,RE3237C,RE3014R
GLYPROPRO1c,2M3OVCOAm,RE3238C,RE3015R
GMAND,2M3OVACm,RE3239C,RE3016R
GRTT,2M3OVACtm,RE3241C,RE3036C
GTPCI,2M3HVACc,RE3242C,RE3038C
HCO3E,2M3HVACte,RE3243C,RE3040C
H2Ot,EX_2m3hvac_e,RE3244C,RE3041C
HEX1,3HADICOAx,FACOAE181,RE3044C
HMBS,3HADPACx,RE3247M,RE3076X
ILETA,3HADPACtxc,RE3247X,RE3074X
IMPD,3HADPACte,RE3251M,RE3079X
LEUTA,EX_3hadpac_e,RE3258C,RE3081X
L_LACt2r,3OHSEBCOAx,RE3259C,RE3082X
MAN1PT2,3OHSEBACx,RE3268R_1,RE3086X
MAN6PI,3OHSEBACtxc,PI35P3P,RE3095C
MTHFC,3OHSEBACte,PI3PP,RE3103C
NADK,EX_3ohsebac_e,PI4P4Pn,RE3104C
NAt3_1,3OHSUBCOAx,RE3273C_1,RE3106C
NDPK1,3OHSUBACx,RE3273R_1,RE3108C
NDPK2,3OHSUBACtxc,RE3301C_1,RE3110C
NDPK3,3OHSUBACte,RE3307C,RE3112C
NDPK4,EX_3ohsubac_e,RE3346C,RE3113C
NDPK5,3AIBSYMPt,RE3346M,RE3114R
NDPK6,PAFABCt,RE3381C,RE3119C
NDPK7,PAIL_hs_SECt,RE3381E,RE3120C
NDPK8,PAILPALM_HSSECt,RE3411C_1,RE3121C
NDPK9,PAILR_HSSECt,RE3413C,RE3122C
NTD1,PCHLN225_HSABCt,RE3417C_1,RE3132R
OMPDC,PCHOL2LINL_HSABCt,RE3420C_1,RE3134C
PGI,PCHOL2OLE_HSABCt,RE3430C_1,CHLSTD78I
PGK,PCHOL2STE_HSABCt,RE3430M,RE3146R
PGL,PCHOLAR_HSABCt,RE3432C,RE3151C
PGM,PCHOLDOC_HSABCt,RE3432M,RE3152C
PGMT,PCHOLEIC_HSABCt,RE3432X,RE3153C
PMANM,PCHOLET_HSABCt,RE3470C,RE3154C
PNTK,PCHOLHEP_HSABCt,RE3470M,RE3156X
PPA,PCHOLLINL_HSABCt,RE3475C,RE3157X
PPBNGS,PCHOLMYR_HsABCt,RE3476C,RE3158X
PPCDC,PCHOLN15_HSABCt,RE3476M,RE3159X
PPM,PCHOLN183_HSABCt,RE3485C,RE3160R
PPNCL3,PCHOLN1836_HSABCt,RE3488R,RE3161C
PROt2r,PCHOLN19_HSABCt,RE3493C,RE3162C
PRPPS,PCHOLN201_HSABCt,RE3496C,RE3163C
PSERT,PCHOLN203_HSABCt,RE3520E,RE3165C
PSP_L,PCHOLN204_HSABCt,RE3525M,RE3166C
PTPATi,PCHOLN205_HSABCt,RE3570C,RE3167C
PUNP2,PCHOLN224_HSABCt,RE3587C,RE3168C
PUNP3,PCHOLN225_HSABCt,RE3597C,RE3169C
PUNP4,PCHOLN2254_HSABCt,RE3597M,RE3170C
PUNP5,PCHOLN264_HSABCt,RE3597X,RE3171C
PUNP6,PCHOLOLE_HSABCt,RE3624M,RE3172C
PUNP7,PCHOLPALME_HSABCt,RE3626M,RE3173C
RBFK,PCHOLSTE_HSABCt,RE3628M,RE3174C
RNDR1,PE12_HSABCt,RE3637C,RE3175C
RNDR2,Pe13_HSABCt,EX_HC00955_e,RE3176C
RNDR3,PE14_HSABCt,EX_citr__L_e,RE3177M
RNDR4,PE15_HSABCt,EX_HC02180_e,RE3178M
RPE,PE161_HSABCt,EX_HC02203_e,RE3179M
RPI,PE17_HSABCt,EX_HC02213_e,RE3180C
SPMS,PE203_HSABCt,EX_HC02217_e,RE3181C
SPODM,PE226_HSABCt,EX_malthp_e,RE3185M
THMDt2,PE2LINL_HSABCt,EX_CE2838_e,RE3186M
TKT1,PEAR_HSABCt,EX_CE1950_e,RE3189M
TKT2,PEDH203_HSABCt,EX_cynt_e,RE3190M
TMDK1,PELINL_HSABCt,EX_CE5854_e,RE3191M
TPI,PELPALM_HSABCt,EX_CE1926_e,RE3192M
UAGDP,PEOLE_HSABCt,EX_crm_hs_e,RE3193M
UDPG4E,PEPALM_HSASBCt,EX_CE5853_e,RE3194M
UMPK,AK2LGCHOLt,EX_CE1925_e,RE3195M
UPP3S,DIGALSGALSIDEATPte,CITt4_4,RE3218C
UPPDC1,SPHMYLN180241_hs_ATPt,GLYt7_311_r,RE3220C
VALTA,SPHMYLN18114_hs_ATPt,HCO3_NAt,RE3224C
r0082,SPHMYLN18115_hs_ATPt,PIt8,RE3225C
r0220_1,SPHMYLN18116_hs_ATPt,PROt4_2_r,RE3226C
r0318,SPHMYLN181161_hs_ATPt,HSD17B3r,RE3227C
DADK,SPHMYLN18117_hs_ATPt,BIOMASS_reaction,RE3228C
r0398,SPHMYLN18118_hs_ATPt,2MB2COAc,RE3229C
r0422,SPHMYLN181181_hs_ATPt,3HBCOARc,RE3230C
PPM2,SPHMYLN18120_hs_ATPt,ADPACDAc,RE3231C
PPNCL2,SPHMYLN181201_hs_ATPt,ADPACTD,RE3232C
ACCOAC,SPHMYLN18121_hs_ATPt,ADPCOACROT,RE3234C
EX_pnto__R_e,SPHMYLN18122_hs_ATPt,ADPCOAPTE,RE3235C
GLYt2r,SPHMYLN181221_hs_ATPt,BCRNe,RE3236C
ALAt2r,SPHMYLN18123_hs_ATPt,C100CPT1,RE3239C
NTD2,SPHMYLN1824_hs_ATPt,C101CPT1,RE3241C
NTD4,SPHMYLN1825_hs_ATPt,C102CPT1,RE3242C
NTD5,THEXDDm,C10DCCACT,RE3243C
NTD6,THEXDDtm,C10DCc,RE3244C
NTD7,THEXDDte,C10OHc,RE3247M
NTD8,EX_thexdd_e,C120CPT1,RE3247X
NTD9,HEXDTRm,C121CPT1,RE3251M
NTD10,HEXDTRtm,C12DCACOT,RE3258C
NTD11,HEXDTRte,C12DCACT,RE3259C
EX_ind3ac_e,EX_hexdtr_e,C12DCTD,RE3268R_1
EX_nh4_e,HPDECECOAm,C12DCe,PI35P3P
GCALDD,HPDECEm,C12OHc,RE3273C_1
GLYCK,HPDECEtm,TTDCPT1,RE3273R_1
ABUTD,HPDECEte,C141ACBP,RE3301C_1
ACYP,EX_hpdece_e,C141CPT1,RE3307C
AICART,EIC21114TRc,C141OHc,RE3346C
ALDD2x,EIC21114TRte,C141OHe,RE3346M
AMANK,EX_eic21114tr_e,C142ACBP,RE3352C
ARGSL,5EIPENCm,C142CPT1,RE3367E
CYTK1,5EIPENCtm,C142OHc,RE3381C
CYTK2,5EIPENCte,C142OHe,RE3381E
EX_glcr_e,EX_5eipenc_e,C14OHc,RE3411C_1
EX_man_e,T4HCINNMte,C161OHc,RE3413C
G6PDA,GLCRt1,C162ACBP,RE3417C_1
GALKr,2OBUTt,C162OHc,RE3420C_1
GALT,PPP9ABCte,C162OHe,RE3421R
GLUPRT,MLTHFte,C16DCc,RE3430C_1
GLXO1,SPHS1Pt2e,C16DCe,RE3430M
GLYOX,MLTHFte2,C16OHc,RE3430X
GND,MLTHFte1,FA160COAabcp_1,RE3431C
GPDDA1,34DHOXMANDte,C181OHc,RE3432C
HEX7,T4HCINNMtm,C182OHc,RE3432M
HXPRT,EX_T4hcinnm_e,C18OHc,RE3432X
IMPC,4HBZtm,ACRNtp,RE3470C
LCADi,CE7081tr,C30CPT1,RE3470M
LDH_D,CE7081tm,C40CPT1,RE3475C
LDH_L,EX_CE7081_e,C4CRNCPT2,RE3476C
MALT,18HARACHDtr,C4DCCACT,RE3476M
MDH,18HARACHDte,C4DCe,RE3485C
MI1PP,EX_18harachd_e,C4OHc,RE3488R
MI3PP,ANDRSTANDRtr,C4tcx,RE3493C
MI4PP,XOL24OHtr,C4tmc,RE3496C
NT5C,EX_34dhoxmand_e,C4x,RE3513C
NTD3,C05769te2,C50CPT1,RE3520E
ORNDC,EX_C05769_e,C51CPT1,RE3524R
PFK,PPBNGte,C5DCe,RE3525C
PRFGS,EX_ppbng_e,C60CPT1,RE3526C
TMDS,IM4ACte,C6COAt,RE3526M
TYRTA,EX_im4ac_e,C6CRNtcx,RE3570C
GLYALDDr,EX_ppp9_e,C6DCCACT,RE3587C
ARGORNt7,PRISTte,C6DCc,RE3597C
EX_arab__L_e,EX_prist_e,C80CPT1,RE3597M
EX_gam_e,CE2049te,C81CPT1,RE3597X
PYRt2,EX_CE2049_e,C8DCc,RE3624M
EX_etoh_e,CE2047te,C9BRxtc,RE3628M
ETOHt,EX_CE2047_e,DCATDc,EX_prostgh2_e
THMt3,DOPASULT4,DCATDr,EX_prostgi2_e
EX_pheme_e,UDPG4DOPA,DCSPTN1COAtxc,EX_cdp_e
GLNt4,UDPG3DOPA,DOCO13ECOAtxc,EX_dtdp_e
MTRI,DOPA4SFt,DOCO13EFATP,EX_HC00955_e
MTHFD2i,EX_dopa4sf_e,DOCOSACT,EX_HC00004_e
AHCi,DOPA4GLCURt,DOCOSACTDe,EX_citr__L_e
ABUTt2r,EX_dopa4glcur_e,DOCOSACTDr,EX_C02470_e
EX_phpyr_e,DOPA3GLCURt,DOCOSCOAtxc,EX_HC00822_e
EX_2hyoxplac_e,EX_dopa3glcur_e,DOCOSDIACTD,EX_C02528_e
PHPYRte,DOPAOQNOX,EX_3bcrn_e,EX_HC02192_e
VANILPYRc,DOPACCL,EX_3hdececrn_e,EX_HC02193_e
VANILLACc,LACROX,EX_3hexdcrn_e,EX_HC02195_e
VANILLACte,NADPQNOXR,EX_3octdec2crn_e,EX_HC02196_e
EX_vanillac_e,NADQNOXR,EX_3octdeccrn_e,EX_HC02220_e
2H3MVc,DACGST,EX_3octdece1crn_e,EX_HC02191_e
2H3MVte,ACER11r,EX_3tetd7ecoacrn_e,EX_HC02194_e
EX_2h3mv_e,ACER12r,EX_3thexddcoacrn_e,EX_HC02197_e
2HIVc,ACER21g,EX_3ttetddcoacrn_e,EX_HC02198_e
2HIVte,ACER22g,EX_c12dc_e,EX_HC02187_e
EX_2hiv_e,ACER23g,EX_c16dc_e,EX_HC02180_e
3AIBSYMPt,ACER31r,EX_c4dc_e,EX_HC02202_e
AK2LGCHOLABCt,BGAL1e,EX_c51crn_e,EX_HC02203_e
CE2510ABCt,BGAL1l,EX_c5dc_e,EX_HC02204_e
CE2537ABCt,BGAL2l,EX_doco13ac_e,EX_HC02205_e
NRVNCABCt,BGAL3l,EX_docosac_e,EX_HC02206_e
PAFABCt,CRMte,EX_docosdiac_e,EX_HC02207_e
PAIL_hs_SECt,DES21,EX_ivcrn_e,EX_HC02213_e
PAILPALM_HSSECt,EX_gd3_hs_e,EX_dca_e,EX_HC02217_e
PAILR_HSSECt,GA1tl,FAOXC101C102m,EX_malcoa_e
PCHLN225_HSABCt,GALGLUSIDEtg2,FAOXC101C102x,EX_arachcoa_e
PCHOL2LINL_HSABCt,GBA2e,FAOXC101C8m,EX_coa_e
PCHOL2OLE_HSABCt,GD3tg,FAOXC101C8x,EX_CE2250_e
PCHOL2STE_HSABCt,GLA2l,FAOXC101x,EX_CE1935_e
PCHOLAR_HSABCt,GM2tl,FAOXC102C101m,EX_CE1940_e
PCHOLDOC_HSABCt,HEXA1l,FAOXC102C101x,EX_CE1943_e
PCHOLEIC_HSABCt,HEXA2l,FAOXC102C103m,EX_CE1936_e
PCHOLET_HSABCt,HEXA3e,FAOXC102C103x,EX_CE1939_e
PCHOLHEP_HSABCt,HEXAHBl,FAOXC102C81m,EX_maltpt_e
PCHOLLINL_HSABCt,NEU11l,FAOXC102C81x,EX_CE2915_e
PCHOLMYR_HsABCt,NEU22,FAOXC102m,EX_CE4722_e
PCHOLN15_HSABCt,NEU23,FAOXC102x,EX_CE2916_e
PCHOLN183_HSABCt,NEU24,FAOXC103C102m,EX_CE4723_e
PCHOLN1836_HSABCt,NEU38n,FAOXC103C102x,EX_CE2917_e
PCHOLN19_HSABCt,SMS1S2,FAOXC10C10OHm,EX_CE4724_e
PCHOLN201_HSABCt,SMS21e,FAOXC10080m,EX_malthp_e
PCHOLN203_HSABCt,SMSn,FAOXC11BRC9BRx,EX_CE2839_e
PCHOLN204_HSABCt,SPHK11,FAOXC11C9m,EX_CE2838_e
PCHOLN205_HSABCt,SPHK21n,FAOXC121C101m,EX_CE1950_e
PCHOLN224_HSABCt,SPHK22n,FAOXC121C10x,EX_cynt_e
PCHOLN225_HSABCt,SPMD3n,FAOXC121x,EX_23cump_e
PCHOLN2254_HSABCt,ST8SIA13e,FAOXC122C101m,EX_3ump_e
PCHOLN264_HSABCt,NH4tr,FAOXC122m,EX_CE5786_e
PCHOLOLE_HSABCt,TETTET6COAtm,FAOXC122x,EX_CE5788_e
PCHOLPALME_HSABCt,TETPENT6COAtm,FAOXC123C102m,EX_CE5789_e
PCHOLSTE_HSABCt,TETPENT3COAtm,FAOXC123C102x,EX_CE5797_e
PE12_HSABCt,THCRMtl,FAOXC123m,EX_CE5798_e
Pe13_HSABCt,PCHOL_HStn,FAOXC123x,EX_CE5787_e
PE14_HSABCt,CHOLPtn,FAOXC120100m,EX_CE5791_e
PE15_HSABCt,DAG_HStg,FAOXC12C12OHm,EX_CE5867_e
PE161_HSABCt,PHCRMtg,FAOXC12DCTc,EX_CE5868_e
PE17_HSABCt,PHCRMter,FAOXC12DCc,EX_CE5869_e
PE203_HSABCt,SPHGNtn,FAOXC12DCx,EX_CE4633_e
PE226_HSABCt,SPHGNtg,FAOXC13BRC11BRx,EX_CE4881_e
