mets,mets_name,genes,rxns,subsystems
ksii_core4_deg3[l],"Keratan Sulfate Ii (Core 4-Linked), Degradation Product 3",11689,3MOX4HOXPGALDOX_NADP,Tyrosine metabolism
h[x],Proton,116914,HMR_3664,Cholesterol metabolism
nadh[x],Nicotinamide Adenine Dinucleotide - Reduced,116939,DOLGPP_Ler,N-glycan synthesis
nad[x],Nicotinamide Adenine Dinucleotide,11702,HMR_2348,Fatty acid synthesis
CE2247[x],3-Hydroxyeicosanoyl Coenzyme A,117147,HMR_2622,"Transport, mitochondrial"
CE2251[x],3-Oxoeicosanoyl Coenzyme A,117150,MI1345PP,Inositol phosphate metabolism
pcholn201_hs[e],"1-Eicosenoylglycerophosphocholine (Delta 11) ,Sn1-Lpc (20:1)",11717,r0220_1,Miscellaneous
pcholn201_hs[c],"1-Eicosenoylglycerophosphocholine (Delta 11) ,Sn1-Lpc (20:1)",11720,ADRNCRNt,Fatty acid oxidation
o2[x],Oxygen,11722,RE3103C,Fatty acid oxidation
cholcoads[x],"3Alpha,7Alpha,12Alpha-Trihydroxy-5Beta-Cholest-24-Enoyl Coenzyme A",11739,RE2998M,Fatty acid oxidation
h2o[x],Water,11740,HMR_1743,Bile acid synthesis
nadph[x],Nicotinamide Adenine Dinucleotide Phosphate - Reduced,11754,BILIRED2,Heme synthesis
nadp[x],Nicotinamide Adenine Dinucleotide Phosphate,11757,r0541,Tryptophan metabolism
cholcoaone[x],"3A,7A,12A-Trihydroxy-5B-24-Oxocholestanoyl Coenzyme A",11758,GLCNACT3g,Chondroitin synthesis
gdp[c],Guanosine-5-Diphosphate,117591,HMR_2364,Fatty acid synthesis
M03022[m],"Trans,Cis-Myristo-2,5-Dienoyl Coenzyme A",117592,ST6GALNAC31_1,Sphingolipid metabolism
M01573[m],Cis-(3S)-Hydroxytetradec-5-Enoyl Coenzyme A,11761,CHOLK,Glycerophospholipid metabolism
ala__L[e],L-Alanine,11770,r1908,"Transport, extracellular"
ala__L[c],L-Alanine,11816,EX_7dhf_e,Exchange/demand reaction
datp[c],Deoxyadenosine Triphosphate,11821,HMR_3704,Cholesterol metabolism
orot5p[c],Orotidine 5-Phosphate,11826,SPHS1Ptr,"Transport, endoplasmic reticular"
ump[c],Uridine-5-Monophosphate,11827,HMR_3425,Fatty acid oxidation
cholcoa[c],Choloyl Coenzyme A,11828,HMR_3696,Cholesterol metabolism
cholcoa[m],Choloyl Coenzyme A,11829,EBP1r,Cholesterol metabolism
coa[m],Coenzyme A,11830,PEPALM_HSASBCt,"Transport, extracellular"
ppcoa[m],Propanoyl Coenzyme A,11832,HMR_0428,"Transport, extracellular"
amp[m],Adenosine Monophosphate,11833,HMR_0824,Glycosphingolipid metabolism
HC01668[m],Propinol Adenylate,11846,STRDNCCOAtxc,"Transport, peroxisomal"
pchol2ste_hs[e],2-Stearoylglycerophosphocholine,11847,DHORD9,Pyrimidine synthesis
ddcacoa[r],Lauroyl Coenzyme A,11886,r1448,Fatty acid oxidation
M01498[r],Cholest-5-En-3Beta-Yl Dodecanoate,11898,r1253,Fatty acid oxidation
CE5947[c],"20-COOH-10,11-Dihydro-Leukotriene B4",11928,RE2626M,Bile acid synthesis
CE5947[x],"20-COOH-10,11-Dihydro-Leukotriene B4",11931,TPI,Glycolysis/gluconeogenesis
M00020[c],13Z-Octadecenoyl Coenzyme A,11932,HMR_3694,Cholesterol metabolism
c226coa[c],Cervonyl Coenzyme A,11933,HMR_2261,Fatty acid synthesis
c226crn[c],Docosahexaenoylcarnitine,11941,CPPPGO,Heme synthesis
lys__L[c],L-Lysine,11944,HMR_0192,Fatty acid synthesis
lys__L[e],L-Lysine,11945,LCAT36e,Cholesterol metabolism
pyr[c],Pyruvate,11946,HMR_0847,Glycosphingolipid metabolism
hpyr[c],3-Hydroxypyruvate,11947,HMR_2689,"Transport, mitochondrial"
