Gene,GSM4751074,GSM4751075,GSM4751076,GSM4751077,GSM4751078,GSM4751079,GSM4751080,GSM4751081,GSM4751082,GSM4751083,GSM4751084,GSM4751085,GSM4751086,GSM4751087,GSM4751088,GSM4751089,GSM4751090,GSM4751091,GSM4751092,GSM4751093,GSM4913330,GSM4913331,GSM4913332,GSM4913333,GSM4913334,GSM4913335,GSM4913336,GSM4913337,GSM4913338,GSM4913339,GSM4913340,GSM4913341,GSM4913342,GSM4913343,GSM4913344,GSM4960153,GSM4960154,GSM4960155,GSM6435238,GSM6435239,GSM6435240,GSM6435241,GSM6506766,GSM6506768,GSM6506769,GSM6614483,GSM6614484,GSM6614485,GSM6753921,GSM6753922,GSM6753923,GSM6845651,GSM6845652,GSM6845653,GSM6845654,GSM6964918,GSM6964919,GSM6964920,GSM7012039,GSM7012040,GSM7083658,GSM7083659,GSM7083660,GSM7102172,GSM7102173,GSM7102174,GSM7300216,GSM7300217,GSM7300218,GSM7300219,GSM7329492,GSM7329493,GSM7329494,GSM7329495,GSM7329500,GSM7329501,GSM7329502,GSM7329506,GSM7329507,GSM7329508,GSM7427996,GSM7427997,GSM7427998,GSM7427999,GSM7428004,GSM7428005,GSM7428006,GSM7428007,GSM7509810,GSM7509811,GSM7509812,GSM7994873,GSM7994882
Slc13a1,-1.427233105,-1.946170174,-2.507824145,-2.247847195,-2.104672591,-2.205407235,-2.154664826,-2.134321087,-2.15247836,-1.202551119,-1.740921505,-2.161023053,-1.72223051,-1.690924648,-1.706470634,-1.628604991,-1.229976715,-1.456848472,-1.678980621,-1.683413762,-2.802069124,-2.802069124,-0.724615732,2.840853304,-2.802069124,0.487013829,-2.802069124,0.855275417,-2.137667497,-2.459367995,0.207803605,-2.802069124,-2.042435944,-2.802069124,-2.802069124,-1.719179711,0.250271843,-0.162786894,-1.370656538,-1.854996133,-2.280726651,-1.872283094,-2.122233716,-1.287778212,-1.630048023,-2.311076706,-2.121131689,-2.802069124,-1.503696491,-1.261843509,-1.571263043,1.903530099,1.497574526,1.690040411,2.422697389,-1.860254407,-2.802069124,-1.875675551,-2.802069124,-1.563390773,0.469019116,-1.749123443,-2.802069124,-2.802069124,-2.176500651,-2.141585027,1.091127901,1.500590396,1.384620365,1.34858862,1.726151073,1.710831922,2.135592288,1.765868024,1.616207536,1.130712481,1.750562204,1.453552465,0.864510849,1.129433566,-2.260332602,-1.639969613,-1.250417779,-1.759112741,-1.336286189,-1.709435031,-1.106533266,-2.473047292,-2.173293297,-2.190274219,-2.053602598,-1.586924871,-0.403337098
Slc13a3,4.663313844,4.939398253,4.314607811,4.540945135,4.539519474,4.681699981,4.274117739,4.326260931,4.663378536,4.519434402,4.268094829,5.130823996,4.594668029,4.866458271,4.258221484,3.992140165,4.773007822,3.699638023,3.811182549,4.208938445,1.722022957,-2.802069124,2.76938115,-2.802069124,2.817948245,2.037119883,-1.567032196,2.417835276,1.364840105,2.295876788,2.643885847,2.993336951,2.282010213,3.824460639,2.625007171,4.860863596,4.533343755,4.470123628,4.248059962,4.590525544,4.466797086,4.829388583,4.753087487,4.843841804,4.861763289,4.232862213,4.628421079,4.68633428,3.882594058,4.295261431,4.783067858,4.996604591,5.678575659,5.742349539,4.611755421,4.320724577,3.889908035,4.580949561,5.655790196,5.46621501,4.701695637,5.069671669,4.687699995,5.138954282,5.586399708,5.056433748,4.318880636,4.051033244,4.05566593,4.301390062,4.295243854,4.410860027,4.538880757,4.97151858,4.458616229,4.690853498,4.561596231,4.389969169,4.669678391,4.711427814,4.217431936,3.925413846,4.356077203,3.720445107,3.908676665,3.693806544,3.925618504,3.712447232,3.681631999,3.384385069,3.554087602,3.548782339,4.227232579
Slc13a4,3.435070273,3.811409137,1.191790191,2.749474481,2.942811999,4.151327112,3.238972006,2.403638955,4.445820383,3.865409285,1.419583614,4.395041347,4.306427648,3.941493012,3.37291796,2.343666268,4.223124104,2.820713952,3.758135537,5.235850827,-2.344711621,0.680965327,-1.061242657,1.163872143,0.293240747,-2.802069124,4.771898537,4.42170324,4.533839334,6.196569187,3.97188693,3.23343994,-0.091790396,4.354833282,3.433476035,4.881937414,4.675107156,4.295811535,4.311315094,4.697965562,4.9530412,4.234863342,4.702494787,4.671869172,4.419219263,3.995876083,2.96030627,4.629395348,2.9807081,3.838876608,4.524759502,4.891229233,5.456856204,5.2275581,3.765663765,4.730782369,5.299885335,4.592577356,1.035554939,1.421175207,4.070850599,4.146564893,3.599716631,4.723366023,4.83352125,4.588366919,4.485852961,4.109110919,4.026376847,4.369411754,4.051326351,5.002673879,4.584047772,5.239358706,4.323010961,4.956492158,4.418128103,4.65271216,5.07847591,4.507886699,3.600947892,2.450969246,3.338196214,2.480034457,2.787007159,1.789231155,2.2463383,2.381825125,1.746142329,1.359906917,0.924774181,2.342084905,3.314260649
Slc13a5,3.943457267,3.762870397,3.613903518,3.435797863,3.720822609,3.611713292,3.263578179,3.48528246,3.3175182,3.802297955,3.800270092,3.702443971,3.369065932,3.303732803,3.815801861,3.897720676,3.426766216,3.84718042,3.684228617,3.572990205,3.933533871,2.630231,2.251309634,3.416159366,0.91933326,2.472177617,1.763368719,2.563760829,2.853997027,1.246817672,2.07964585,4.620640124,4.003863202,3.018629494,3.898926668,3.172410722,3.175493307,3.20328749,4.157521504,4.250715354,3.721110997,4.153047283,4.522982295,4.591414823,4.517045416,3.595597383,2.275722538,3.560454973,3.000054897,2.929815404,3.109904069,2.815441084,2.86608372,2.729985282,2.494767676,3.052630507,3.184725968,2.791202652,0.963147679,1.748651275,3.3063233,3.182888867,3.447604268,3.926860135,4.08029777,3.824855824,3.156835288,3.014490771,3.330224219,3.232238741,3.88777863,3.712705373,3.653946592,3.789749398,3.290862202,3.593150014,3.36931134,3.570684527,3.540783503,3.710493603,3.904589508,4.035686145,4.218747609,3.85916899,4.055653114,3.764469238,3.737812621,3.883762193,2.765703045,3.095792734,3.612755858,2.446083079,3.583689196
Slc14a1,4.659592646,4.636770544,4.812799134,4.735339775,4.689894998,4.750229856,4.771148086,4.951721489,4.817349483,4.689519982,4.810956932,5.242029636,4.780505643,4.726164712,4.929149362,4.615768763,4.789706855,4.773558729,4.761744076,5.092292336,2.370430991,4.822590345,5.516497927,1.677168353,4.14610192,5.59473442,4.851659557,5.767183053,5.526745383,4.83367768,5.554948802,3.907512132,3.544798626,4.872895948,4.232601909,4.264823451,4.328624221,4.014740945,3.398610018,3.422368552,3.375601443,3.413307947,2.834933455,3.438188541,2.903032267,5.094979603,6.677224174,4.908545705,4.130085579,4.262933852,4.414568926,5.267570047,5.350303237,5.70693155,5.30079318,4.372226163,4.491865262,4.551463331,2.280811189,2.486105957,3.875613932,4.095459242,3.670152786,3.98660378,4.184321533,4.254183139,3.550489231,3.621156442,3.581736203,3.785506988,5.694429153,5.645514855,5.707685037,5.823586969,5.783525016,5.988860004,5.831554036,6.110600506,5.985037224,5.954077464,3.553563011,3.618606504,3.605340907,3.471299134,3.489121796,3.267152415,3.965694116,3.531823131,3.645970807,3.775971512,3.306468218,4.151108979,3.124583346
Slc14a2,0.97898361,1.47274561,1.171156336,0.3990297,1.263726235,0.902472938,0.160696383,0.696226214,0.954090515,1.097385307,1.788296475,-0.208682996,0.570314238,0.559889451,2.175666909,2.062057081,0.823996077,2.224029582,1.612249229,1.564022415,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,3.126512313,2.858612262,2.887084147,2.466141158,1.766726969,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-1.107612965,-0.167215491,-1.523238282,-1.915672451,-1.070932428,-0.381747858,-1.096098475,-0.346065223,-0.775162438,-0.656284775,-0.15352382,-1.031145157,-0.061011034,-1.132486596,-1.087641037,-1.659441047,-1.173950734,0.416432787,0.681566765,-0.529737229,0.970129711,0.241783517,0.273340814,2.422563238,1.570703762,-1.640988398,0.094894457,-0.149428691,0.477917023,0.951196146,1.423567804,0.393333358,0.639661699,0.521122445,0.369761351,-1.069313978,-1.062653057,-1.359178044,-1.220551314,-1.198886229,-2.802069124,-0.728340165,-0.568610496,-0.443430073,-1.719174631,-0.2697276,-1.809110152,-1.00157743,-1.042486031,-0.69639108,-0.907420735,-0.900373511,-0.604751147,-1.402210527,-2.802069124,-1.56327473,-0.149798375,-0.857611726
Slc15a1,-2.506197628,-1.142283178,-1.199808192,-2.49850666,-2.301895347,-2.802069124,-1.91491727,-2.802069124,-1.706180952,-1.690877323,-1.564359584,-1.539847238,-1.72223051,-2.142067212,-1.470924086,-2.214982103,-1.64286121,-1.782632638,-1.496005506,-1.500887622,-0.94960183,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-0.12768069,-2.431954639,-2.802069124,-2.195543807,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-1.485325345,-2.802069124,-1.265072909,-2.802069124,-2.252174681,-1.347282143,-2.802069124,-2.802069124,-1.45773618,-2.802069124,-1.304149775,-2.802069124,-1.268405304,-1.414568739,-1.417927585,-2.523382003,-1.769581786,-1.774543644,-2.802069124,-2.802069124,-2.255634915,-1.537456665,-2.265757972,0.065531176,-0.906904182,-1.640988398,-2.802069124,-0.149428691,-2.802069124,-2.176500651,-2.802069124,1.153915093,1.213644117,1.481958246,1.263184678,-2.802069124,-1.970462092,-1.907289681,-2.53989512,-2.802069124,-2.802069124,-2.25755072,-2.802069124,-2.375458785,-2.802069124,-2.802069124,-2.482953318,-2.802069124,-2.802069124,-2.802069124,-2.262982552,-2.481555988,-1.979555818,-1.736838202,-2.190274219,-2.802069124,-1.586924871,-1.524402725
Slc15a2,3.579919017,3.762870397,3.563334785,3.88263586,3.552045599,3.603019835,3.142770127,4.10710087,3.978116057,3.671850924,3.971233902,4.464831412,4.146507861,3.885760175,4.429903244,4.361597524,4.225853618,4.453035155,4.506948518,4.179151149,5.402225222,6.11971873,4.47953216,4.963059531,4.507205299,5.425170535,5.562734606,5.245147455,5.339231251,4.780181871,5.326185767,6.016884517,4.453244275,5.582162602,6.035902626,5.155098962,4.926194226,5.167311384,4.775933254,4.99139635,4.565165712,4.809498626,4.403141369,4.65431137,4.532499853,5.355776694,4.010267997,4.984810704,3.769031444,3.654415007,3.724811703,3.348728361,5.447040676,4.116432591,5.228654762,4.577651513,4.923315968,4.967770361,5.277073748,5.193906056,5.131863548,5.220396249,5.167183081,4.702139192,4.603456879,4.661375569,2.944220402,2.80020073,2.249344264,2.954010932,5.932081817,6.729554027,6.434871287,6.168332445,6.382475562,6.627301708,6.612363702,6.0412226,5.769726474,5.642970782,4.936665553,4.927031892,5.079462438,5.092806797,5.07532827,4.931298248,4.990155684,4.959110098,4.479531092,4.44636655,4.392897658,4.901816962,4.611654666
Slc15a3,1.158450483,1.47274561,1.365307267,1.087122735,1.227578551,0.985085264,0.56875544,1.030142916,0.954090515,1.179150046,1.036956825,0.34074174,0.851394049,1.17906751,1.070188931,1.086507539,0.672165931,1.404352117,1.001096327,1.138116454,4.170511251,2.630231,3.428175314,3.182576321,4.681101074,1.899742407,1.763368719,2.714247177,2.820133232,3.263150987,3.415618569,4.887147462,3.838335811,4.308408165,4.984650504,0.340004437,0.056577346,0.831522601,1.10493016,0.799090841,0.965947476,1.487202131,1.837469082,1.755426756,1.893154374,4.478346364,6.684116417,6.494717418,-0.773088298,-0.663876422,-0.660532082,2.34780322,2.460472703,1.89277587,2.137651619,1.638963953,1.409942377,1.667960096,0.430284965,0.029646265,6.01884639,5.789508229,5.591407299,1.185628972,1.286509221,0.935403958,0.369516096,1.385430766,1.453294111,1.291274644,2.880085157,2.339745072,1.716012937,1.48580673,2.22433223,2.106521573,1.750562204,3.187360581,3.204884865,3.322555287,1.027373171,0.577482114,0.913935584,1.057968142,0.702873204,0.682542788,1.29977851,0.784688389,1.071380875,1.226201075,1.312310221,6.008618,6.821316972
Slc15a4,4.910343323,5.034473676,4.898456635,4.627762713,4.74527566,5.015590216,4.998883905,4.965426156,4.848309055,4.864487747,4.778566448,4.802098456,4.815291454,4.950353978,4.746994001,4.555195357,4.594438267,4.675117696,4.75949652,4.639116583,5.089700083,4.225281494,4.873777431,4.415712789,4.501915323,4.653448365,4.550767484,5.073004846,4.592689219,4.70562126,4.516296196,4.147629678,4.065098835,4.170600622,5.031404714,4.773348131,5.217363666,5.202461032,4.215361014,4.380795334,4.42967567,4.425512366,4.459637408,4.424619333,4.383813655,4.189856557,4.13386753,4.724730565,4.433414694,4.394333718,4.213119536,4.610532593,4.635850279,4.670086819,4.82247394,4.472169073,4.544618365,4.52541186,4.365509948,4.563016318,5.237314698,5.383726442,5.349941664,4.599822697,4.255124827,4.534969543,3.511101924,3.391720669,3.364638538,3.518151383,3.601374073,3.556983403,3.465659857,3.741252709,3.802322084,3.29430072,3.542108548,3.777201559,3.697118226,3.527018659,4.35967533,4.412727547,4.307900156,4.508464454,4.442650481,4.371768225,4.42929396,4.471230739,4.686771466,4.476124799,4.445491672,5.28505523,5.36443271
Slc15a5,-1.559766627,-1.946170174,-2.263544735,-1.535954551,-2.104672591,-2.205407235,-2.802069124,-2.429901902,-2.15247836,-1.690877323,-2.455370119,-2.446229955,-1.882889483,-1.509162664,-2.551710384,-2.802069124,-2.002974641,-2.802069124,-2.802069124,-2.431501692,-2.802069124,-2.802069124,-0.53717787,-2.802069124,-2.802069124,-2.079609133,-2.802069124,-2.802069124,-0.629112946,-1.277553724,-2.802069124,-2.802069124,1.836617189,-2.802069124,-2.802069124,-1.998415383,-2.802069124,-2.802069124,-1.370656538,-1.854996133,-1.596757552,-2.802069124,-2.186405002,-0.900554668,-0.689533161,-2.802069124,-2.802069124,-2.295004282,-0.830460929,-0.353816379,-0.915810312,-2.802069124,-2.802069124,-2.802069124,-2.802069124,-2.255634915,-2.802069124,-1.568930364,-2.802069124,-2.802069124,-1.640988398,-2.802069124,-0.415110126,-2.802069124,-2.802069124,-2.802069124,-1.210222362,-1.399177377,-1.267717676,-1.530725185,-0.03461596,-0.399301508,-0.652386233,0.041476839,-0.194366861,-0.361349486,-1.553777102,-0.447616958,-1.032930681,-0.209368629,-1.704924132,-1.351604793,-2.450517524,-1.957816691,-2.802069124,-2.262982552,-2.481555988,-2.205303032,-2.802069124,-2.190274219,-0.664555497,-2.802069124,-2.802069124
