mCADRE_brain_metabolites,rFASTACOROMICS_brain_metabolites,CORDA_brain_metabolites,ftINIT_brain_metabolites
xolest205_hs[l],CE2049[c],HC02194_c,HC00591[c]
tmndnc[l],C14825[c],HC02198_e,HC00591[m]
xolest226_hs[l],CE2047[c],HC02198_c,uacgam[r]
crvnc[l],C14768[c],HC02187_c,acmana[r]
pcholmyr_hs[c],C14770[c],HC02180_e,cdp[e]
pcholole_hs[c],C14769[c],HC02180_c,lac__L[x]
peole_hs[c],C14771[c],wharachd_e,fdp[c]
pcholpalme_hs[c],CE2445[c],wharachd_c,HC00250[c]
pcholpalm_hs[c],CE5178[c],HC02202_e,HC01496[m]
pepalm_hs[c],C04717[c],HC02202_c,HC01668[m]
pailpalm_hs[c],CE5944[c],HC02203_e,glyald[m]
pcholste_hs[c],CE5944[m],HC02203_c,r5p[r]
pchol2linl_hs[c],CE5944[x],HC02204_e,ptrc[e]
pe2linl_hs[c],CE4987[c],HC02204_c,xmp[c]
pchol2ole_hs[c],CE4988[c],HC02205_e,arachd[x]
pchol2palm_hs[c],CE4988[m],HC02205_c,pmtcoa[r]
pchol2ste_hs[c],CE4988[x],HC02206_e,HC00342[m]
pcholn15_hs[c],CE4989[c],HC02206_c,glyc__R[m]
pcholar_hs[c],CE5945[c],HC02207_e,3pg[m]
pcholn183_hs[c],CE5946[c],HC02207_c,3hpp[m]
pcholn1836_hs[c],CE5947[c],HC02208_e,HC00682[m]
pcholn19_hs[c],CE7097[c],HC02208_c,2mpdhl[m]
pcholn201_hs[c],CE7097[m],HC02210_e,HC01377[m]
pcholn204_hs[c],C04805[c],HC02210_c,HC01254[c]
pcholn205_hs[c],CE2084[c],HC02213_e,HC00361[c]
pcholn224_hs[c],C04805[m],HC02213_c,e4p[c]
pcholn225_hs[c],CE2084[m],HC02214_e,s7p[c]
pcholn2254_hs[c],CE7091[r],HC02214_c,HC10859[c]
pcholn226_hs[c],CE7088[c],HC02216_e,HC10859[m]
pear_hs[c],12HPET[e],HC02216_c,HC10859[x]
pe203_hs[c],C04849[e],HC02217_e,pmtcrn[r]
pe226_hs[c],CE6230[c],HC02217_c,pmtcrn[x]
pe224_hs[c],CE2537[c],HC00342_c,lnlccoa[r]
pedh203_hs[c],CE6234[c],oxa_m,lnlccrn[r]
pe12_hs[c],CE5947[m],c4crn_c,lnlccoa[x]
pe14_hs[c],leuktrB4wcooh[x],c4crn_m,lnlccrn[x]
pe161_hs[c],CE5947[x],dlnlcgcoa_r,arachdcoa[r]
pe13_hs[c],dec24dicoa[m],so3_e,arachdcrn[r]
pe15_hs[c],dece3coa[m],6pgc_c,arachdcrn[x]
pe17_hs[c],uppg3[c],trdrd_n,hdcoa[r]
pcholn203_hs[c],CE0074[e],trdox_n,hdcecrn[r]
pailar_hs[c],2mb2coa[c],CE2421_m,HC01712[m]
pcholn24_hs[c],3hbcoa__R[c],CE0713_m,dgmp[c]
pcholn261_hs[c],adpac[c],CE2421_x,HC00576[c]
pcholn281_hs[c],adpcoa[c],CE0713_x,mev__R[c]
pcholn28_hs[c],adpac[x],CE2251_c,dtdp[e]
pcholdoc_hs[c],adpcoa[x],CE2247_c,fol[m]
pcholeic_hs[c],c6dc[x],CE2243_c,5fthf[m]
pcholet_hs[c],3bcrn[c],CE2250_c,cysam[c]
pcholhep_hs[c],3bcrn[e],CE2246_c,pacald[m]
pchollinl_hs[c],c10crn[c],CE2242_c,pac[m]
pelinl_hs[c],c101coa[c],CE2253_c,betald[c]
34hpl[c],c101crn[c],CE2249_c,HC00900[m]
4aabutn[e],c101crn[e],CE2245_c,cholate[r]
amet[e],decdicoa[c],docoscoa_c,cholcoa[r]
aracheth[e],decdicrn[c],docosac_c,ptth[m]
pa_hs[e],c10crn[e],3ohodcoa_c,pan4p[m]
C02712[e],c10dc[x],CE2248_c,L2aadp6sa[c]
CE2510[e],c10dc[c],CE2705_c,HC01501[c]
CE2537[e],sebcoa[c],thbpt4acam_n,3hpcoa[m]
CE6247[c],3hdcoa[c],CE2705_n,HC01376[m]
CE6247[e],3deccrn[c],CE2870_c,HC00664[c]
CE7172[e],ddeccrn[c],CE2866_c,HC01180[c]
didecaeth[e],dd2coa[c],maltttr_c,4hpro_LT[c]
diholineth[e],ddece1crn[c],maltttr_e,1p3h5c[c]
docohxeth[e],c12dccoa[x],CE2873_c,4hpro_LT[m]
docteteth[e],dodecanac[x],CE2872_c,cholcoa[c]
hepdeceth[e],dodecanac[c],CE2875_c,HC01415[m]
hexdeceeth[e],c12dccoa[c],CE2874_c,c8crn[m]
leuktrB4woh[e],c12dc[c],maltpt_e,c8crn[x]
lineth[e],3hddcoa[c],malthx_e,ddcacoa[m]
oleth[e],3ddcrn[c],malthp_e,2mop[c]
pendecaeth[e],3tetd7ecoa[m],CE2839_c,HC00900[c]
pmeth[e],3tetd7ecoa[c],CE2838_c,C02470[c]
sphmyln180241_hs[e],tetdece1coa[c],CE2839_e,HC00955[e]
sphmyln18114_hs[e],tetdece1crn[c],CE2838_e,co2[e]
sphmyln18115_hs[e],3tetd7ecoacrn[c],CE1950_e,C02528[r]
sphmyln18116_hs[e],3tetd7ecoacrn[e],cynt_e,dcholcoa[r]
sphmyln181161_hs[e],3ttetddcoa[m],andrstndn_c,C02528[c]
sphmyln18117_hs[e],3ttetddcoa[c],CE1352_c,dcholcoa[c]
sphmyln18118_hs[e],tetdec2coa[c],N1aspmd_c,HC01412[m]
sphmyln181181_hs[e],tetdec2crn[c],n8aspmd_c,3hddcoa[m]
sphmyln18120_hs[e],3ttetddcoacrn[c],pail_hs_r,dd2coa[x]
sphmyln181201_hs[e],3ttetddcoacrn[e],pail5p_hs_r,fpram[c]
sphmyln18121_hs[e],3htdcoa[c],pail45p_hs_m,HC01223[m]
sphmyln18122_hs[e],3tdcrn[c],CE5101_m,xol7ah2al[c]
sphmyln181221_hs[e],3hdeccoa[c],CE2434_m,dhcholestanate[c]
sphmyln18123_hs[e],3hdececrn[c],CE2434_x,HC01397[x]
sphmyln1824_hs[e],3thexddcoa[m],CE0849_m,3htdcoa[m]
sphmyln1825_hs[e],3thexddcoa[c],CE2433_m,3htdcoa[x]
steeth[e],3thexddcoacrn[c],CE0849_x,HC01412[x]
tetdecaeth[e],3thexddcoacrn[e],CE2433_x,dcacoa[m]
trideceth[e],hexdicoa[c],CE0785_m,3hdcoa[m]
xolest182_hs[e],c16dc[c],CE2432_m,dc2coa[m]
xolest205_hs[e],c16dc[e],CE0785_x,dc2coa[x]
xolest226_hs[e],3hexdcoa[c],CE2432_x,hxcoa[m]
ind3ac[e],3hexdcrn[c],dece4coa_x,hx2coa[m]
leuktrB4woh[c],3octdece1coa[c],dec24dicoa_x,xol7ah3[c]
pser_[l][c],3octdece1crn[c],C05279_m,xoltetrol[c]
ttdcea[c],3ocddcoa[c],CE2420_m,HC01459[x]
7klitchol[c],3octdec2crn[c],C05279_x,34dhmald[m]
phaccoa[m],3hodcoa[c],CE2420_x,34dhoxmand[m]
pheacgly[m],3octdeccrn[c],CE2417_m,3mox4hpac[m]
pheacgly[c],c3dc[c],CE2417_x,homoval[m]
pheacgly[e],c3dc[e],CE2418_m,3m4hpga[m]
alaargcys[e],c4dc[x],CE2418_x,3mox4hoxm[m]
alaarggly[e],c4dc[c],CE2422_m,citr__L[e]
alaasnleu[e],c4crn[x],CE2422_x,inost[r]
alaglylys[e],btcoa[x],CE2424_m,HC00319[c]
alahisala[e],ivcoa[c],CE2424_x,HC00319[m]
alalysthr[e],ivcrn[c],CE0693_m,r5p[c]
argalaala[e],c51crn[c],CE0693_x,spmd[e]
argalaphe[e],c5dc[c],C05280_m,na1[r]
argalathr[e],c5dc[e],C05280_x,strdnc[l]
argarg[e],hxcoa[c],dece4coa_m,strdnc[r]
argarglys[e],c6crn[c],C05298_c,lnlc[l]
argargmet[e],hxcoa[x],C05299_c,lnlc[r]
argcysgly[e],c6crn[x],CE5236_n,C02528[e]
argcysser[e],c6dc[c],CE1918_c,c8crn[c]
arggluglu[e],c81coa[c],xol27oh_c,thcholstoic[c]
argglupro[e],c81crn[c],cholcoa_m,C02470[e]
argglygly[e],c81crn[e],cholate_m,dtmp[c]
arghisthr[e],sbcoa[c],cholate_x,HC02110[r]
argleuphe[e],c8dc[c],dhcholestancoa_c,2obut[m]
arglysasp[e],dca[r],23cump_e,HC02020[r]
argphearg[e],3ddcrn[e],3ump_e,hdd2coa[r]
argpromet[e],ddeccrn[e],retinal_cis_13_r,HC02021[r]
argprothr[e],ddece1crn[e],CE1261_c,stcoa[r]
argserser[e],3deccrn[e],CE5026_c,HC02022[r]
argtyrval[e],decdicrn[e],CE4890_c,odecoa[r]
argvalcys[e],doco13ecoa[c],pail35p_hs_r,HC02023[r]
argvaltrp[e],doco13ac[e],pail345p_hs_r,HC02024[r]
asnasnarg[e],docosac[e],C05957_c,lnlncgcoa[r]
asncyscys[e],docosac[r],CE4877_c,HC02025[r]
asnmetpro[e],docosdiac[c],dchac_c,HC02026[r]
asnpheasp[e],docoscoa[x],dchac_r,HC02027[r]
asnphecys[e],docosdiac[e],CE2176_c,hdcea[r]
asntyrgly[e],3hdececrn[e],CE2172_c,ocdca[r]
asntyrphe[e],3hexdcrn[e],C03681_c,ocdcea[r]
asntyrthr[e],3ivcrn[e],CE2211_c,lnlnca[r]
aspalaarg[e],3octdec2crn[e],CE5072_c,lnlncg[r]
aspasnglu[e],3octdeccrn[e],C05300_r,lnlncg[l]
aspglu[e],3octdece1crn[e],CE5786_e,dlnlcg[r]
aspglupro[e],3tdcrn[e],CE5789_e,HC00822[e]
aspglutrp[e],c51crn[e],CE5797_e,xtsn[c]
asphiscys[e],ivcrn[e],CE5798_e,btcoa[c]
asphispro[e],tetdec2crn[e],CE5276_c,his__L[m]
asplysglu[e],tetdece1crn[e],CE5025_c,met__L[m]
asplyshis[e],dece3coa[x],CE2576_c,cys__L[m]
aspmetasp[e],dec47dicoa[m],CE2577_c,thr__L[m]
aspprolys[e],dectricoa[m],C05301_c,HC02192[e]
aspvalasn[e],dec47dicoa[x],C05302_c,HC02192[c]
cysasnmet[e],dectricoa[x],CE1925_c,HC02193[e]
cysaspphe[e],2decdicoa[m],CE5853_c,HC02193[c]
cyscys[e],octe5coa[m],CE1926_c,HC02195[e]
cysglnmet[e],2decdicoa[x],CE5854_c,HC02195[c]
cysgluhis[e],octe5coa[x],C05109_c,HC02196[e]
cysglutrp[e],3decdicoa[m],ddsmsterol_c,HC02196[c]
cysleuthr[e],3decdicoa[x],dsmsterol_c,HC02220[e]
cyssermet[e],sebcoa[x],CE4968_m,HC02220[c]
cystyrasn[e],sbcoa[x],CE4970_m,dca[c]
glnasngln[e],tmuncoa[x],CE5867_e,dca[e]
glnhishis[e],undcoa[m],CE5868_e,HC02199[c]
glnhislys[e],noncoa[m],CE5869_e,HC02199[e]
glnlyslys[e],dd5ecoa[m],CE4633_e,HC02200[c]
glnlystrp[e],dd3coa[x],no2_e,HC02200[e]
glnproglu[e],2ddecdicoa[m],CE4881_e,HC02201[c]
glntrpglu[e],3ddecdicoa[m],CE4888_c,HC02201[e]
glntyrleu[e],3ddecdicoa[x],CE5665_c,zn2[e]
gluargleu[e],2ddecdicoa[x],CE5854_e,zn2[c]
gluasnleu[e],2dodtricoa[m],CE1926_e,pyr[e]
gluglu[e],2dodtricoa[x],glcur_e,acac[e]
gluilelys[e],3dodtricoa[m],CE6205_c,lac__L[e]
gluleu[e],3dodtricoa[x],CE5166_m,but[e]
glumet[e],c12dc[x],cholcoar_m,HC02191[e]
glumethis[e],tmtrdcoa[x],CE5166_x,HC02191[c]
gluthr[e],tridcoa[m],CE4872_c,HC02194[e]
gluthrlys[e],tetd7ecoa[m],CE4872_m,HC02194[c]
glutrpala[e],tetdecdicoa[m],C02712_c,HC02197[e]
glyhisasn[e],tetdecdicoa[x],CE1556_c,HC02197[c]
glyhislys[e],ttetddcoa[m],retinal_r,HC02198[e]
glylyscys[e],5tedtricoa[m],crm_hs_e,HC02198[c]
glylysphe[e],5tedtricoa[x],crm_hs_n,HC02187[e]
glytyrlys[e],c14dccoa[x],udpgal_r,HC02187[c]
glyvalhis[e],3hdeccoa[m],galside_hs_r,HC02180[e]
hisargcys[e],hexddcoa[m],C01747_l,HC02180[c]
hisargser[e],thexddcoa[m],CE5125_x,wharachd[e]
hisasp[e],2hexdtricoa[x],CE5126_x,wharachd[c]
hiscyscys[e],hexdtrcoa[m],CE0074_c,HC02202[e]
hisglnala[e],4hexdtricoa[m],hdcea_m,HC02202[c]
hisglu[e],hexdectecoa[m],pail35p_hs_n,HC02203[e]
hisglugln[e],4hexdtricoa[x],CE4795_m,HC02203[c]
hisglylys[e],hexdectecoa[x],CE4795_x,HC02204[e]
hishislys[e],2hexdtricoa[m],CE5114_x,HC02204[c]
hislysala[e],3hexdtricoa[m],CE4791_x,HC02205[e]
hislysglu[e],3hexdtricoa[x],CE4793_x,HC02205[c]
hislysile[e],2hexdtetcoa[m],CE2439_x,HC02206[e]
hislysthr[e],2hexdtetcoa[x],CE2440_x,HC02206[c]
hislysval[e],4hexdtetcoa[m],CE2437_x,HC02207[e]
hismet[e],hexdpencoa[m],CE2438_x,HC02207[c]
hismetgln[e],4hexdtetcoa[x],CE2442_m,HC02208[e]
hisphearg[e],hexdpencoa[x],CE2442_x,HC02208[c]
hisprolys[e],3hexdtetcoa[m],CE2441_x,HC02210[e]
histrphis[e],3hexdtetcoa[x],CE5116_x,HC02210[c]
ileargile[e],3hexdcoa[m],CE5117_m,HC02213[e]
ileasnhis[e],hexdicoa[x],CE5118_m,HC02213[c]
ileasp[e],hexdiac[r],CE5119_m,HC02214[e]
ileglnglu[e],hexdicoa[r],CE5120_m,HC02214[c]
ileglyarg[e],octdececoa[m],CE4790_m,HC02216[e]
ileprolys[e],3octdece1coa[m],CE4792_m,HC02216[c]
ileserarg[e],3ocddcoa[m],CE4794_m,HC02217[e]
iletrptyr[e],2octdectecoa[m],CE4990_c,HC02217[c]
leualaarg[e],2octdectecoa[x],leuktrB4_m,HC00342[c]
leuasnasp[e],3octdectecoa[m],CE4990_m,oxa[m]
leuasplys[e],3octdectecoa[x],leuktrB4_x,c4crn[c]
leuleutrp[e],2octpencoa[m],CE4990_x,c4crn[m]
leupro[e],3octpencoa[m],leuktrB4woh_m,dlnlcgcoa[r]
leuproarg[e],3hodcoa[m],CE2053_m,so3[e]
leusertrp[e],eitetcoa[m],CE2053_r,sprm[e]
leutrp[e],eitetcoa[x],CE2053_c,6pgc[c]
leutrparg[e],eipencoa[x],leuktrB4wcooh_c,trdrd[n]
leutyrtyr[e],5eipencoa[m],leuktrB4wcooh_m,trdox[n]
leuval[e],2docopencoa[m],CE2056_r,CE2421[m]
lysargleu[e],2docopencoa[x],CE3554_r,CE0713[m]
lyscyshis[e],docohexcoa[m],CE2567_c,CE2421[x]
lysglnphe[e],docohexcoa[x],C06315_c,CE0713[x]
lysgluglu[e],3docopencoa[m],C06314_c,C10164[c]
lyslyslys[e],3docopencoa[x],cpppg1_c,CE2251[c]
lyspheile[e],2docohexecoa[m],C05769_c,CE2247[c]
lystrparg[e],docohepcoa[m],cpppg3_c,CE2243[c]
lystyrile[e],docosahexcoa[m],C05770_c,CE2250[c]
lysvalphe[e],omhdocosac[r],CE2038_x,arachcoa[e]
lysvaltrp[e],succoa[c],CE5934_x,malcoa[e]
metargleu[e],pentcoa[m],C07297_x,CE2250[e]
metasntyr[e],glutcoa[c],CE4793_c,coa[e]
metglntyr[e],3ivcoa[m],CE5114_c,CE2246[c]
metglyarg[e],3ivcoa[c],CE4812_c,CE2242[c]
methislys[e],3ivcrn[c],CE2209_c,CE2253[c]
metmetile[e],hx2coa[x],CE4811_c,CE2249[c]
metphearg[e],hexe3coa[m],CE4810_c,CE2245[c]
mettrpphe[e],hexe3coa[x],lnlncacoa_r,docoscoa[c]
pheasnmet[e],succoa[x],CE4821_c,docosac[c]
pheasp[e],hepcoa[m],CE4819_c,3ohodcoa[c]
pheglnphe[e],omhdecacid[r],CE4817_c,CE2248[c]
pheleu[e],hexdiac[c],tmndnc_r,CE1935[e]
pheleuasp[e],omhdocosac[c],tmndnccoa_r,CE1940[e]
pheleuhis[e],omhdecacid[c],CE2313_c,CE1943[e]
phelysala[e],sebacid[c],CE2314_c,CE1936[e]
phelyspro[e],tdec4ecoa[m],zymstnl_c,CE1939[e]
phephe[e],ctdecdcoa[m],lthstrl_c,CE2705[c]
phepheasn[e],tddedi2coa[m],tethex3_r,thbpt4acam[n]
phephethr[e],tddedicoa[m],tethex3coa_r,CE2705[n]
pheproarg[e],ocdececrn[c],CE4833_c,CE2870[c]
phesertrp[e],ocdececrn[m],CE4831_c,CE2866[c]
phethrlys[e],octdececrn[c],CE4835_c,maltttr[e]
phetrpleu[e],octdececrn[m],CE4834_c,CE2873[c]
phetyr[e],octdececoa[c],CE4849_c,CE2872[c]
phetyrgln[e],subeac[x],CE4832_x,CE2875[c]
phetyrlys[e],sebacid[x],CE4820_x,CE2874[c]
proargasp[e],subeac[c],CE4838_x,maltpt[e]
proargcys[e],c8dc[x],tetpent6_r,malthx[e]
proasncys[e],4hpro[l]T[e],tetpent6coa_r,CE2915[e]
procys[e],oh1[c],CE4841_c,CE4722[e]
proglnpro[e],oh1[e],CE4840_c,CE2916[e]
proglulys[e],5dpmev[c],CE4842_c,CE4723[e]
prohis[e],q10h2[e],CE4843_c,CE2917[e]
prohistyr[e],6pgl[c],CE4845_c,CE4724[e]
proleuarg[e],dmpp[c],CE4844_c,malthp[e]
prolyspro[e],5pmev[c],CE4846_c,CE2839[c]
prophe[e],1pyr5c[c],CE4847_c,CE2838[c]
proproarg[e],5mta[e],CE4852_c,CE2839[e]
propropro[e],idour[e],CE4854_c,CE2838[e]
protrplys[e],5hoxindoa[e],CE4850_c,CE1950[e]
protrpthr[e],Lkynr[e],CE4848_c,cynt[e]
provalgln[e],cala[e],CE4853_c,andrstndn[c]
serargala[e],cyst_[l][c],CE4855_c,CE1352[c]
serargtrp[e],xtsn[e],CE4851_c,chsterols[r]
sercysarg[e],15kprostgf2[c],CE4801_m,prgnlones[r]
serglyglu[e],and19one[c],CE4803_m,N1aspmd[c]
serlyshis[e],ttdceacoa[c],CE4800_m,n8aspmd[c]
serphelys[e],pcholmyr_hs[e],CE4796_m,pail_hs[r]
sertrphis[e],pcholole_hs[e],CE4802_m,pail5p_hs[r]
thrargtyr[e],peole_hs[e],CE4804_m,pail45p_hs[m]
thrasntyr[e],pcholpalme_hs[e],CE4798_m,CE5101[m]
thrglnglu[e],pcholpalm_hs[e],CE4799_m,CE2434[m]
thrglntyr[e],pepalm_hs[e],CE4808_m,CE2434[x]
thrhishis[e],pail_hs[e],CE4807_m,CE0849[m]
thrilearg[e],pailpalm_hs[e],CE4797_m,CE2433[m]
thrmetarg[e],pcholste_hs[e],CE4806_m,CE0849[x]
thrphearg[e],peste_hs[e],CE6031_c,CE2433[x]
thrserarg[e],pailste_hs[e],CE5144_c,CE0785[m]
thrthrarg[e],pchol2linl_hs[e],CE5151_c,CE2432[m]
thrtyrmet[e],pe2linl_hs[e],CE5152_c,CE0785[x]
trpalapro[e],pchol2ole_hs[e],CE5155_c,CE2432[x]
trpargala[e],pchol2palm_hs[e],CE5156_c,dece4coa[x]
trpaspasp[e],pchol2ste_hs[e],CE5148_c,dec24dicoa[x]
trpglngln[e],xolest183_hs[e],CE5150_c,C05279[m]
trpglugly[e],xolest181_hs[e],CE5153_c,CE2420[m]
trpgluleu[e],xolest204_hs[e],CE5154_c,C05279[x]
trpglupro[e],pcholn15_hs[e],CE5157_c,CE2420[x]
trpglutyr[e],pcholar_hs[e],CE5158_c,CE2417[m]
trpglyleu[e],pcholn183_hs[e],CE2510_c,CE2417[x]
trpglyphe[e],pcholn1836_hs[e],doco13ac_c,CE2418[m]
trpglyval[e],pcholn19_hs[e],CE5160_c,CE2418[x]
trphismet[e],pcholn201_hs[e],CE5161_c,CE2422[m]
trpilelys[e],pcholn204_hs[e],CE5162_c,CE2422[x]
trpiletrp[e],pcholn205_hs[e],cholcoads_m,CE2424[m]
trpleuval[e],pcholn224_hs[e],CE4874_m,CE2424[x]
trplys[e],pcholn225_hs[e],C14826_c,CE0693[m]
trpmetarg[e],pcholn2254_hs[e],CE2049_c,CE0693[x]
trpmetval[e],pcholn226_hs[e],C14825_c,C05280[m]
trpphe[e],pear_hs[e],CE2047_c,C05280[x]
trpprogly[e],pe203_hs[e],C14768_c,dece4coa[m]
trpproleu[e],pe226_hs[e],C14770_c,C05298[c]
trpproval[e],pe224_hs[e],C14769_c,C05299[c]
trpsertyr[e],pedh203_hs[e],C14771_c,CE5236[n]
trpthrglu[e],pe12_hs[e],CE2445_c,CE1918[c]
trpthrile[e],pe14_hs[e],CE5178_c,xol7aone[m]
trpthrtyr[e],pe161_hs[e],C11821_c,xol27oh[c]
trptyrgln[e],pe13_hs[e],CE5853_e,cholcoa[m]
trptyrtyr[e],pe15_hs[e],CE1925_e,cholate[m]
trpvalasp[e],pe17_hs[e],C04717_c,cholate[x]
tyrala[e],pcholn203_hs[e],C01601_c,CE1589[c]
tyralaphe[e],pailar_hs[e],CE2006_c,tdechola[c]
tyrargglu[e],pcholn24_hs[e],CE6506_c,23cump[e]
tyrargser[e],pcholn261_hs[e],CE6504_c,3ump[e]
tyrasparg[e],pcholn281_hs[e],C08261_c,CE1261[c]
tyrcysgly[e],pcholn28_hs[e],CE5944_c,CE5026[c]
tyrcysthr[e],pcholdoc_hs[e],CE5944_m,C09642[c]
tyrglu[e],pcholeic_hs[e],CE5944_x,CE4890[c]
tyrleuarg[e],pcholet_hs[e],CE4987_c,pail35p_hs[r]
tyrphetyr[e],pcholhep_hs[e],CE4988_c,pail345p_hs[r]
tyrthr[e],pchollinl_hs[e],CE4988_m,C02712[m]
tyrtrpphe[e],pelinl_hs[e],CE4988_x,C05957[r]
tyrtyr[e],sphmyln18114_hs[c],CE5947_c,C05957[c]
tyrvalmet[e],sphmyln18121_hs[c],CE7097_c,CE4877[c]
valarggly[e],sphmyln181221_hs[c],CE7097_m,CE2026[m]
valhisasn[e],sphmyln18122_hs[c],C04805_c,dchac[c]
valleuphe[e],sphmyln18123_hs[c],CE7096_c,dchac[r]
vallystyr[e],sphmyln180241_hs[c],CE2084_c,CE2176[c]
valphearg[e],sphmyln1824_hs[c],C04805_m,C03681[c]
valprotrp[e],sphmyln1825_hs[c],CE2084_m,CE2211[c]
valserarg[e],sphmyln18115_hs[c],CE6508_c,CE5072[c]
valtrpphe[e],sphmyln181161_hs[c],CE7091_r,CE1310[m]
valtrpval[e],sphmyln18116_hs[c],CE7085_c,C05300[r]
valval[e],sphmyln18117_hs[c],CE7088_c,CE5786[e]
trpglyasp[e],sphmyln18118_hs[c],12HPET_e,CE5788[e]
alaargcys[c],sphmyln181181_hs[c],C04849_e,CE5789[e]
alaarggly[c],sphmyln181201_hs[c],CE6230_c,CE5797[e]
alaasnleu[c],sphmyln18120_hs[c],CE2537_c,CE5798[e]
alaglylys[c],xolest183_hs[l],CE6234_c,CE5276[c]
alahisala[c],xolest182_hs[l],CE5947_m,CE5025[c]
alalysthr[c],xolest205_hs[l],leuktrB4wcooh_x,CE5787[e]
argalaala[c],tmndnc[l],CE5947_x,CE5791[e]
argalaphe[c],xolest226_hs[l],dec24dicoa_m,CE2576[c]
argalathr[c],crvnc[l],dece3coa_m,CE2577[c]
argarg[c],pcholmyr_hs[c],uppg3_c,C05301[c]
argarglys[c],pcholole_hs[c],C05767_c,C05302[c]
argargmet[c],peole_hs[c],2mb2coa_c,CE1925[c]
argcysgly[c],pcholpalme_hs[c],3hbcoa__R_c,CE5853[c]
argcysser[c],pcholpalm_hs[c],adpac_c,CE1926[c]
arggluglu[c],pepalm_hs[c],adpcoa_c,CE5854[c]
argglupro[c],pailpalm_hs[c],adpac_x,C05109[c]
argglygly[c],pcholste_hs[c],adpcoa_x,ddsmsterol[c]
arghisthr[c],pchol2linl_hs[c],c6dc_x,dsmsterol[c]
argleuphe[c],pe2linl_hs[c],3bcrn_c,CE4968[m]
arglysasp[c],pchol2ole_hs[c],3bcrn_e,CE4970[m]
argphearg[c],pchol2palm_hs[c],c10crn_c,CE4969[m]
argpromet[c],pchol2ste_hs[c],c101coa_c,CE5867[e]
argprothr[c],pcholn15_hs[c],c101crn_c,CE5868[e]
argserser[c],pcholar_hs[c],decdicoa_c,CE5869[e]
argtyrval[c],pcholn183_hs[c],decdicrn_c,CE4633[e]
argvalcys[c],pcholn1836_hs[c],c10dc_x,no2[e]
argvaltrp[c],pcholn19_hs[c],c10dc_c,CE4881[e]
asnasnarg[c],pcholn201_hs[c],sebcoa_c,CE4888[c]
asncyscys[c],pcholn204_hs[c],3hdcoa_c,CE5665[c]
asnmetpro[c],pcholn205_hs[c],3deccrn_c,CE5854[e]
asnpheasp[c],pcholn224_hs[c],ddeccrn_c,CE1926[e]
asnphecys[c],pcholn225_hs[c],dd2coa_c,glcur[e]
asntyrgly[c],pcholn2254_hs[c],ddece1crn_c,CE6205[c]
asntyrphe[c],pcholn226_hs[c],c12dccoa_x,CE5166[m]
asntyrthr[c],pear_hs[c],dodecanac_x,cholcoar[m]
aspalaarg[c],pe203_hs[c],dodecanac_c,CE5166[x]
aspasnglu[c],pe226_hs[c],c12dccoa_c,CE4872[c]
aspglu[c],pe224_hs[c],c12dc_c,CE4872[m]
aspglupro[c],pedh203_hs[c],c12dc_e,CE1589[r]
aspglutrp[c],pe12_hs[c],3hddcoa_c,HC02191[r]
asphiscys[c],pe14_hs[c],3ddcrn_c,HC02191[x]
asphispro[c],pe161_hs[c],3tetd7ecoa_m,HC02192[x]
asplysglu[c],pe13_hs[c],3tetd7ecoa_c,C02712[c]
asplyshis[c],pe15_hs[c],tetdece1coa_c,CE1556[c]
aspmetasp[c],pe17_hs[c],tetdece1crn_c,retinal[r]
aspprolys[c],pcholn203_hs[c],3tetd7ecoacrn_c,crm_hs[e]
aspvalasn[c],pailar_hs[c],3tetd7ecoacrn_e,udpgal[e]
cysasnmet[c],pcholn24_hs[c],3ttetddcoa_m,galside_hs[e]
cysaspphe[c],pcholn261_hs[c],3ttetddcoa_c,crm_hs[n]
cyscys[c],pcholn281_hs[c],tetdec2coa_c,udpgal[r]
cysglnmet[c],pcholn28_hs[c],tetdec2crn_c,no2[c]
cysgluhis[c],pcholdoc_hs[c],3ttetddcoacrn_c,C01747[l]
cysglutrp[c],pcholeic_hs[c],3ttetddcoacrn_e,CE5125[x]
cysleuthr[c],pcholet_hs[c],3htdcoa_c,CE5126[x]
cyssermet[c],pcholhep_hs[c],3tdcrn_c,CE0074[c]
cystyrasn[c],pchollinl_hs[c],3hdeccoa_c,hdcea[m]
glnasngln[c],pelinl_hs[c],3hdececrn_c,pail35p_hs[n]
glnhishis[c],glyc2p[c],3thexddcoa_m,CE4795[m]
glnhislys[c],lnlccrn[e],3thexddcoa_c,CE4795[x]
glnlyslys[c],15HPET[e],3thexddcoacrn_c,CE5114[x]
glnlystrp[c],15kprostgf2[e],3thexddcoacrn_e,CE4791[x]
glnproglu[c],4aabutn[e],hexdicoa_c,CE4793[x]
glntrpglu[c],acorn[e],c16dc_c,CE2439[x]
glntyrleu[c],adpac[e],c16dc_e,CE2440[x]
gluargleu[c],and19one[e],3hexdcoa_c,CE2437[x]
gluasnleu[c],aracheth[e],3hexdcrn_c,CE2438[x]
gluglu[c],pa_hs[e],3octdece1coa_c,CE2442[m]
gluilelys[c],C02712[e],3octdece1crn_c,CE2442[x]
gluleu[c],C04717[e],3ocddcoa_c,CE2441[x]
glumet[c],C06314[e],3octdec2crn_c,CE5116[x]
glumethis[c],C06315[e],3hodcoa_c,CE5117[m]
gluthr[c],C14768[e],3octdeccrn_c,CE5118[m]
