mCADRE_brain_metabolites,rFASTACOROMICS_brain_metabolites,CORDA_brain_metabolites,ftINIT_brain_metabolites
udp[g],5thf[m],5aop_c,4hbz[m]
T_antigen[g],6dhf[c],5aop_m,4hdebrisoquine[e]
uacgam[g],6dhf[l],5dhf_c,4hdebrisoquine[c]
core2[g],6dhf[m],5dhf_l,4hglusa[m]
mthgxl[c],6thf[c],5fthf_e,e4hglu[m]
L2aadp6sa[m],6thf[l],5fthf_c,4hoxpacd[c]
udpacgal[g],6thf[m],h2o_e,4hphac[c]
fucgalacglcgal14acglcgalgluside_hs[g],7dhchsterol[r],5htrp_c,4mop[c]
sucsal[m],7dhchsterol[c],srtn_c,4mop[m]
abt[c],7dhf[c],5hoxindact_c,4mptnl[c]
xylu_[l][c],7dhf[l],5hoxindoa_c,4mptnl[e]
4abut[l],7dhf[m],5htrp_e,4mptnl[m]
h[l],7thf[c],5mthf_e,4mtolbutamide[e]
4abut[e],7thf[l],5mthf_c,4mtolbutamide[c]
2maacoa[m],7thf[m],5thf_c,4nphsf[e]
ppcoa[m],h2o[l],5thf_l,4nphsf[c]
aacoa[m],m2mn[l],5thf_m,4nph[c]
accoa[x],man[l],6dhf_c,4nph[e]
aacoa[x],mn[l],6dhf_l,4pyrdx[c]
coa[x],galgluside_hs[c],6dhf_m,4pyrdx[e]
acac[c],udpgal[c],6thf_c,5adtststeroneglc[c]
acac[m],thcrm_hs[c],6thf_l,5adtststeroneglc[e]
occoa[x],udp[c],6thf_m,5adtststeroneglc[r]
dcacoa[x],galgluside_hs[g],7dhchsterol_r,5adtststerones[c]
3otdcoa[x],udpgal[g],7dhchsterol_c,5adtststerones[e]
ddcacoa[x],h[g],7dhf_c,5adtststerone[c]
3ohdcoa[x],thcrm_hs[g],7dhf_l,5adtststerone[e]
tdcoa[x],udp[g],7dhf_m,5adtststerone[r]
3ohodcoa[x],T_antigen[g],7thf_c,5aop[c]
pmtcoa[x],uacgam[g],7thf_l,5aop[m]
3ohxccoa[x],core2[g],7thf_m,5dhf[c]
ttccoa[x],aact[c],h2o_l,5dhf[l]
acald[m],mthgxl[c],m2mn_l,5fthf[e]
acald[c],aact[m],man_l,5fthf[c]
acald[r],L2aadp6sa[m],mn_l,h2o[e]
acald[x],udpacgal[g],galgluside_hs_c,5htrp[c]
atp[m],fuc12gal14acglcgalgluside_hs[g],udpgal_c,srtn[c]
hco3[m],fucgalacglcgal14acglcgalgluside_hs[g],thcrm_hs_c,5homeprazole[e]
adp[m],fucfucgalacglcgalacglcgal14acglcgalgluside_hs[g],udp_c,5homeprazole[c]
malcoa[m],galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs[g],galgluside_hs_g,5hoxindact[c]
pi[m],sucsal[m],udpgal_g,5hoxindoa[c]
accoa[c],abt[c],h_g,5htrp[e]
ppa[m],xylu_[l][c],thcrm_hs_g,5mthf[e]
amp[m],4abut[l],udp_g,5mthf[c]
ppi[m],h[l],T_antigen_g,5thf[c]
accoa[r],4abut[e],uacgam_g,5thf[l]
acetone[e],2maacoa[m],core2_g,5thf[m]
acetone[c],ppcoa[m],gncore2_g,6dhf[c]
acetone[m],aacoa[m],mthgxl_c,6dhf[l]
acgal[c],accoa[x],L2aadp6sa_m,6dhf[m]
acgal1p[c],aacoa[x],udpacgal_g,6htststerone[c]
itp[c],coa[x],fuc12gal14acglcgalgluside_hs_g,6htststerone[e]
idp[c],acac[c],fucgalacglcgal14acglcgalgluside_hs_g,6htststerone[r]
acgal[l],acac[m],fucfucgalacglcgalacglcgal14acglcgalgluside_hs_g,6thf[c]
gam6p[c],occoa[x],galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs_g,6thf[l]
acgam6p[c],dcacoa[x],sucsal_m,6thf[m]
coa[c],3otdcoa[x],abt_c,7dhchsterol[r]
acgam[c],ddcacoa[x],xylu__L_c,7dhchsterol[c]
acgam1p[c],tdcoa[x],4abut_l,7dhf[c]
acgam[l],3ohodcoa[x],h_l,7dhf[l]
acgpail_hs[c],pmtcoa[x],4abut_e,7dhf[m]
ac[c],3ohxccoa[x],2maacoa_m,7thf[c]
gpail_hs[c],ttccoa[x],ppcoa_m,7thf[l]
ach[e],acac[x],aacoa_m,7thf[m]
ac[e],acald[m],accoa_x,h2o[l]
chol[e],acald[c],aacoa_x,m2mn[l]
ach[c],acald[x],coa_x,man[l]
cit[c],atp[m],acac_c,mn[l]
oaa[c],hco3[m],acac_m,galgluside_hs[c]
acnacngal14acglcgalgluside_hs[e],adp[m],3odcoa_x,udpgal[c]
acnacngal14acglcgalgluside_hs[c],malcoa[m],occoa_x,thcrm_hs[c]
acnacngal14acglcgalgluside_hs[g],pi[m],3oddcoa_x,udp[c]
acnacngalgbside_hs[c],accoa[c],dcacoa_x,galgluside_hs[g]
acnacngalgbside_hs[e],accoa[g],3otdcoa_x,udpgal[g]
