mets,genes,rxns
fucgalacgalfucgalacglcgal14acglcgalgluside_hs[g],72090,ACNMCT
acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[g],11739,ACOAD10m
galfucgalacglcgal14acglcgalgluside_hs[g],11740,ACOAD1fm
fucfucgalacglcgalacglcgal14acglcgalgluside_hs[g],73333,ACOAD8m
galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs[g],110173,ACOAD9m
sucsal[m],26879,ACOADH100_m
abt[c],54218,ACOADH120_m
xylu__L[c],93961,ACOADH160_m
abt[e],108105,ACOADH60_m
4abut[l],12012,ACOAH
h[l],110948,ACOAHim
4abut[e],22348,ACOAO4p
2maacoa[m],170442,ACOAO5p
ppcoa[m],63857,ACOAO7p
aacoa[m],71911,ACOAO8p
accoa[x],64918,ACOAR2m
aacoa[x],12116,ACOAR4m
coa[x],101488,ACOAR5m
acac[c],12780,ACOAR7m
acac[m],76408,ACODA
3odcoa[x],28253,ACONT
occoa[x],233016,ACONTm
3oddcoa[x],109778,ACOX22x
dcacoa[x],55981,ACOX2x
3otdcoa[x],23827,ACP1e
ddcacoa[x],26363,ACP1_FMN
3ohdcoa[x],330064,ACRNte
tdcoa[x],80721,ACRNtm
3ohodcoa[x],103149,ACRNtp
pmtcoa[x],73166,ACS
3ohxccoa[x],18194,ACS2
ttccoa[x],15488,ACSm
acac[x],66234,ACSRTNMT
acald[m],320707,ACTLMO
acald[c],11941,ACTNMO
acald[r],67972,ACYP
acald[x],381290,ADA
atp[m],12359,ADADir
hco3[m],110893,ADAe
adp[m],20541,ADEt
malcoa[m],110891,ADK1
pi[m],109136,ADK1m
accoa[c],14377,ADK3
accoa[g],14378,ADK3m
ppa[m],68401,ADKd
amp[m],227231,ADMDC
ppi[m],12408,ADNCYC
accoa[n],52858,ADNK1
accoa[r],74596,ADNt
acetone[e],110911,ADNt2
acetone[c],99712,ADNt4
acetone[m],212862,ADNt5
acgagbside_hs[c],223753,ADNtl
acgagbside_hs[g],68018,ADNtm
acgagbside_hs[l],57738,ADPCOACROT
acgalfucgalacgalfuc12gal14acglcgalgluside_hs[e],12642,ADPCOAPTE
acgalfucgalacgalfuc12gal14acglcgalgluside_hs[c],12647,ADPMAN
acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[e],237928,ADPRDP
acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[c],13026,ADPRIBt
acgal[c],236899,ADPT
acgal1p[c],108096,ADRNCPT1
itp[c],20493,ADRNCPT2
idp[c],20494,ADRNCRNt
acgal[g],27413,ADRNLPVESSEC_1
acgal[l],218865,ADSK
gam6p[c],12651,ADSL1r
acgam6p[c],12660,ADSL2r
coa[c],63993,ADSS
acgam[c],20518,AG13T16g
acgam1p[c],20520,AG13T17g
acgam[l],54200,AG13T18g
acgbgbside_hs[c],59045,AG13T1g
acgbgbside_hs[g],11303,AG13T2g
acgbgbside_hs[l],81600,AG13T3g
acgpail_hs[c],67729,AGDC
ac[c],71884,AGMTm
gpail_hs[c],20500,AGPAT1_1
acglu[m],13358,AGPOP
ach[e],12716,AGRMte
ac[e],76722,AGTim
chol[e],12709,AGTix
