mets,genes,rxns
M01191[c],,r2020
M00003[c],,r2021
M00004[c],,r2022
M01238[c],,r2023
M01237[c],,r2024
M00019[c],,r2026
M00020[c],,r2027
vacccoa[c],,r2028
M00127[c],,r2029
M00115[c],,r2030
M00116[c],,r2031
M02613[c],,r2032
M02612[c],,r2034
M00017[c],,r2035
M00018[c],,r2036
M01235[c],,r2037
M01236[c],,r2038
M01207[c],,r2039
M00123[c],,r2040
M02457[c],,r2041
M00101[c],,r2042
M02053[c],,r2043
M02052[c],,r2044
M01582[c],,r2045
M00006[c],,r2046
M03045[c],,r2047
M03047[c],,r2048
M03153[c],,r2049
M02112[c],,r2050
M00010[c],,r2051
M00012[c],,r2052
M00341[c],,r2053
M00343[c],,r2054
M00260[c],,r2055
M00315[c],,r2056
M00008[c],,r2057
M00021[c],,r2058
M00023[c],,r2059
M00265[c],,r2060
clpn_hs[m],,r2061
HC02042[c],,r2062
HC02048[c],,r2063
HC02054[c],,r2064
HC02050[c],,r2065
HC02056[c],,r2066
HC02051[c],,r2067
HC02057[c],,r2068
HC02060[c],,r2069
M02686[c],,r2070
M02758[c],,r2071
HC02070[c],,r2073_1
HC02076[c],,r2079
sphmyln_hs[r],,r2080
galgluside_hs[r],,r2081
galgbside_hs[c],,r2082
M02197[c],,r2083
M02491[c],,r2084
M03131[c],,r2085
gm1b_hs[c],,r2086
gm3_hs[c],,r2087
M02012[l],,r2088
M02013[l],,r2089
gd2_hs[c],,r2090
acglcgalgluside_hs[c],,r2091
galacglcgalgluside_hs[c],,r2092
M02195[c],,r2093
acgalfucgalacglcgalgluside_hs[c],,r2094
galfucgalacglcgalgluside_hs[c],,r2095
M02683[c],,r2096
acngal14acglcgalgluside_hs[c],,r2097
acglcgal14acglcgalgluside_hs[c],,r2098
galacglcgal14acglcgalgluside_hs[c],,r2099
acglcgalacglcgal14acglcgalgluside_hs[c],,r2100
M02186[c],,r2101
M02490[c],,r2102
M01881[c],,r2103
C01747[c],,r2104
5HPET[m],,r2105
CE6246[c],,r2106
arachd[n],,r2107
12HPET[r],,r2108
gthox[r],,r2109
M01111[e],,r2110
HC02217[r],,r2111
HC02180[r],,r2112
CE6232[c],,r2113
HC01118[c],,r2114
Ssq23epx[c],,r2115
M00939[c],,r2116
M00937[c],,r2117
44mzym[c],,r2118
M00961[c],,r2119
M00957[c],,r2120
4mzym_int1[c],,r2121
4mzym_int2[c],,r2122
HC02110[c],,r2123
M00963[c],,r2124
M00959[c],,r2125
M00955[c],,r2126
M01067[c],,r2127
zymst[c],,r2128
chlstol[c],,r2129
M00940[c],,r2130
M00938[c],,r2131
M00942[c],,r2132
M00962[c],,r2133
M00958[c],,r2136
M00954[c],,r2139
M00966[c],,r2140
M00967[c],,r2141
M00964[c],,r2142
M00960[c],,r2143
M00956[c],,r2144
M01068[c],,r2145
cholcoar[c],,r2146
cholcoas[m],,r2147
HC01459[m],,r2148
cholcoaone[m],,r2149
M00978[c],,r2150
M00976[c],,r2151
M01081[c],,r2152
M01083[c],,r2153
M01077[c],,r2154
M01080[c],,r2155
M01077[m],,r2156
M01080[m],,r2157
M01076[m],,r2158
M01079[m],,r2159
M00746[m],,r2160
M00753[m],,r2161
M02977[m],,r2162
M00742[m],,r2163
M02977[c],,r2164
M00742[c],,r2165
M00615[c],,r2166
M00743[c],,r2167
M00615[x],,r2168
M00743[x],,r2169
M00625[m],,r2170
M00625[c],,r2171
M00979[c],,r2172
M00977[c],,r2173
M01082[c],,r2174
M01084[c],,r2175
20ahchsterol[r],,r2176
M01989[c],,r2177
M02155[c],,r2178
M00606[m],,r2179
M00579[m],,r2180
M00605[c],,r2181
M00406[c],,r2182
M01075[c],,r2183
M01075[r],,r2184
M02760[c],,r2185
M02761[c],,r2186
M00603[c],,r2187
M00285[c],,r2188
M00429[m],,r2189
hestratriol[l],,r2190
CE5253[c],,r2191
CE5253[l],,r2192
3ohxccoa[c],,r2193
M00783[c],,r2194
M00049[c],,r2195
M00887[c],,r2196
M00790[c],,r2197
M00054[c],,r2198
M00873[c],,r2199
M00778[c],,r2200
M00044[c],,r2201
M00907[c],,r2202
M00802[c],,r2203
M00067[c],,r2204
M00879[c],,r2205
M00715[c],,r2206
M03016[c],,r2207
M00843[c],,r2208
M00702[c],,r2209
M03014[c],,r2210
M00852[c],,r2211
M00707[c],,r2212
M03018[c],,r2213
M00839[c],,r2214
M00699[c],,r2215
M03011[c],,r2216
M00871[c],,r2217
M00704[c],,r2218
M03017[c],,r2219
CE4791[c],,r2220
M00860[c],,r2221
M00085[c],,r2222
M03008[c],,r2223
M00869[c],,r2224
M00086[c],,r2225
M03005[c],,r2226
M00862[c],,r2227
M00712[c],,r2228
M03006[c],,r2229
M01729[c],,r2230
M01729[m],,r2231
M02973[c],,r2232
M02973[m],,r2233
M00129[m],,r2234
M02976[c],,r2235
M02976[m],,r2236
M01141[m],,r2237
M01191[m],,r2238
M02102[c],,r2239
M02102[m],,r2240
M00004[m],,r2241
M02103[c],,r2242
M02103[m],,r2243
M01237[m],,r2244
M00020[m],,r2245
vacccrn[c],,r2246
vacccrn[m],,r2247
vacccoa[m],,r2248
M00127[m],,r2249
M02638[c],,r2250
M02638[m],,r2251
M00116[m],,r2252
M02611[c],,r2253
M02611[m],,r2254
M02612[m],,r2255
M01776[c],,r2256
M01776[m],,r2257
M00018[m],,r2258
M01777[c],,r2259
M01777[m],,r2260
CE5151[m],,r2261
M01775[c],,r2262
M01775[m],,r2263
M01236[m],,r2264
M00122[c],,r2265
M00122[m],,r2266
M00123[m],,r2267
M00100[c],,r2268
M00100[m],,r2269
M00101[m],,r2270
M02051[c],,r2271
M02051[m],,r2272
M02052[m],,r2273
M01724[c],,r2274
M01724[m],,r2275
docoscoa[m],,r2276
M01727[c],,r2277
M01727[m],,r2278
CE5155[m],,r2279
M01726[c],,r2280
M01726[m],,r2281
M00006[m],,r2282
M02637[c],,r2283
M02637[m],,r2284
M00011[c],,r2285
M00011[m],,r2286
M00012[m],,r2287
M00342[c],,r2288
M00342[m],,r2289
M00343[m],,r2290
M00261[c],,r2291
M00261[m],,r2292
CE4854[m],,r2293
M01770[c],,r2294
M01770[m],,r2295
CE4843[m],,r2296
M00022[c],,r2297
M00022[m],,r2298
M00023[m],,r2299
M00263[c],,r2300
M00263[m],,r2301
CE4847[m],,r2302
stcrn[r],,r2303
odecrn[r],,r2304
M01724[r],,r2305
docoscoa[r],,r2306
M02637[r],,r2307
strdnccrn[r],,r2308
strdnccoa[r],,r2309
tmndnccrn[r],,r2310
lnlncgcrn[r],,r2311
dlnlcgcrn[r],,r2312
ddca[r],,r2313
ddcacoa[r],,r2314
M03051[r],,r2315
M03050[r],,r2316
ttdca[r],,r2317
tdcoa[r],,r2318
M02745[r],,r2319
M01141[r],,r2320
ttdcea[r],,r2321
M00129[r],,r2322
M00117[r],,r2323
HC10784[r],,r2324
ptdca[r],,r2325
ptdcacoa[r],,r2326
M01197[r],,r2327
M01191[r],,r2328
hpdca[r],,r2329
hpdcacoa[r],,r2330
M00003[r],,r2331
M00004[r],,r2332
M01238[r],,r2333
M01237[r],,r2334
elaid[r],,r2335
M00127[r],,r2338
M00019[r],,r2341
M00020[r],,r2342
vacc[r],,r2343
vacccoa[r],,r2344
lneldc[r],,r2346
lneldccoa[r],,r2347
M02613[r],,r2352
M02612[r],,r2353
arach[r],,r2354
arachcoa[r],,r2355
CE2510[r],,r2356
CE5151[r],,r2357
M00017[r],,r2358
M00018[r],,r2359
M01235[r],,r2360
M01236[r],,r2361
M01207[r],,r2362
M00123[r],,r2363
M02457[r],,r2364
M00101[r],,r2365
M02053[r],,r2366
M02052[r],,r2367
doco13ac[r],,r2368
CE5155[r],,r2369
M01582[r],,r2371
M00006[r],,r2372
M03045[r],,r2374
M03047[r],,r2375
lgnc[r],,r2376
ttccoa[r],,r2377
nrvnc[r],,r2378
nrvnccoa[r],,r2379
hexc[r],,r2380
hexccoa[r],,r2381
M03153[r],,r2382
M02112[r],,r2384
eicostet[r],,r2385
eicostetcoa[r],,r2386
clpnd[r],,r2387
clpndcoa[r],,r2388
tetpent3[r],,r2389
tetpent3coa[r],,r2390
crvnc[r],,r2391
c226coa[r],,r2392
M00010[r],,r2393
M00012[r],,r2394
M00341[r],,r2395
M00343[r],,r2396
adrn[r],,r2397
adrncoa[r],,r2398
tettet6[r],,r2399
tettet6coa[r],,r2400
dcsptn1[r],,r2401
dcsptn1coa[r],,r2402
M00008[r],,r2403
CE4843[r],,r2404
M00021[r],,r2405
M00023[r],,r2406
M03047[x],,r2407
CE4855[x],,r2408
M02112[x],,r2409
M00049[x],,r2410
M00783[x],,r2411
CE2245[x],,r2412
CE2249[x],,r2413
CE2253[x],,r2416
CE2242[x],,r2419
CE2246[x],,r2420
CE2250[x],,r2425
CE2243[x],,r2434
CE2247[x],,r2437
CE2251[x],,r2438
od2coa[x],,r2439
CE2248[x],,r2444
HC01415[x],,r2447
HC01405[x],,r2449
HC01406[x],,r2465_1
HC01407[x],,r2472
HC01408[x],,r2482
CE2242[m],,r2483
CE2246[m],,r2484
CE2250[m],,r2485
CE2243[m],,r2486
CE2247[m],,r2487
CE2251[m],,r2488
CE2248[m],,r2489
3ohodcoa[m],,r2490
M00044[m],,r2491
M00778[m],,r2492
M00873[m],,r2493
M00054[m],,r2494
M00790[m],,r2495
M00887[m],,r2496
M00046[m],,r2497
M00780[m],,r2498
M00875[m],,r2499
M00061[m],,r2501
M00795[m],,r2502
M00897[m],,r2503
M03050[m],,r2505
M00069[m],,r2516
M00804[m],,r2517
M00909[m],,r2518
M00071[m],,r2520
M00806[m],,r2526
M00911[m],,r2532
M00056[m],,r2534
M00792[m],,r2535
M00889[m],,RAI3
M00048[m],,RBFK
M00782[m],,RBK
M00877[m],,RBK_Dr
M00063[m],,RDH1
M00797[m],,RDH1a
M00899[m],,RDH2
CE5154[m],,RDH2a
CE5153[m],,RDH3
CE5152[m],,RDH3a
CE5150[m],,RDH4
CE5148[m],,RE0453M
CE5144[m],,RE0453N
M03019[m],,RE0456N
M00172[m],,RE0512M
M00849[m],,RE0512X
M03022[m],,RE0565C
M01573[m],,RE0568C
M00885[m],,RE0569C
M03014[m],,RE0569E
M00702[m],,RE0577C
M00843[m],,RE0578C
M03024[m],,RE0579C_1
M00170[m],,RE0688E
M00841[m],,RE0689E
M03016[x],,RE0690E
M00715[x],,RE0827E
M00879[x],,RE0828E
CE5158[x],,RE0830N
CE5157[x],,RE0912C
CE5156[x],,RE0915E
CE5155[x],,RE0926E
CE5154[x],,RE0935E
CE5153[x],,RE0936E
CE5152[x],,RE0937E
CE5151[x],,RE0938E
CE5150[x],,RE0944E
CE5148[x],,RE0958E
CE5144[x],,RE1050E
HC10856[x],,RE1099C
HC10857[x],,RE1233C
HC10858[x],,RE1441R_1
M01191[x],,RE1447M_1
M03019[x],,RE1448R_1
M00172[x],,RE1516M
M00849[x],,RE1516X
M01141[x],,RE1517M
M03022[x],,RE1517X
M01573[x],,RE1518M
M00885[x],,RE1518X
CE5116[m],,RE1519X
CE5114[m],,RE1520M
CE4791[m],,RE1520X
CE4793[m],,RE1521M
CE2437[m],,RE1521X
CE2438[m],,RE1522M
CE2439[m],,RE1522X
CE2440[m],,RE1523M
CE2441[m],,RE1523X
ac[x],,RE1525M
M01498[r],,RE1525X
M01510[r],,RE1526M
M01501[r],,RE1526X
M01487[r],,RE1527M
M01479[r],,RE1527X
M01470[r],,RE1530M
M01506[r],,RE1531M
M01477[r],,RE1531X
M01495[r],,RE1532M
M01454[r],,RE1532X
M01485[r],,RE1533M
M01464[r],,RE1533X
M01489[r],,RE1534M
M01486[r],,RE1534X
M01474[r],,RE1573M
M01502[r],,RE1573X
M01492[r],,RE1709N
M01463[r],,RE1796M
M01458[r],,RE1804M
M01484[r],,RE1807M
M01481[r],,RE1834C
M01469[r],,RE1834M
M01494[r],,RE1834X
M01491[r],,RE1835C
M01462[r],,RE1845C
M01457[r],,RE1846C
M01509[r],,RE1860E
M01508[r],,RE1957R_1
M01465[r],,RE2030M
M01496[r],,RE2111M
M01497[r],,RE2112R
M01473[r],,RE2147C
M01480[r],,RE2223M
M01468[r],,RE2235R
M01475[r],,RE2269E
M01482[r],,RE2270E
M01471[r],,RE2273E
M01466[r],,RE2304E
M01455[r],,RE2349C
M01460[r],,RE2404C
M01490[r],,RE2405C
M01476[r],,RE2427M
M01483[r],,RE2428M
M01472[r],,RE2429M
M01467[r],,RE2445E
M01456[r],,RE2514E
M01461[r],,RE2541C
amp[n],,RE2541E
HC01609[c],,RE2624M
nadh[e],,RE2624X
dsT_antigen[c],,RE2625M
M00245[c],,RE2626M
h2co3[e],,RE2635R
dhlam[c],,RE2636R
pail5p_hs[g],,RE2637C
pail_hs[g],,RE2637X
retinol[r],,RE2638C
coucoa[c],,RE2640C
4hbzcoa[c],,RE2644C
M00658[m],,RE2649C
M01165[m],,RE2649M
M00770[m],,RE2660N
peplys[c],,RE2677R_1
M00213[c],,RE2717L
Ndmelys[c],,RE2759X
Ntmelys[c],,RE2766C
M01871[g],,RE2888C_1
M01872[g],,RE2912M
M01872[e],,RE2972M_1
sTn_antigen[c],,RE2973N_1
Ser_Gly_Ala_X_Gly[c],,RE2985M
doldp__L[c],,RE2985X
M01869[g],,RE2986X
M01870[g],,RE2987X
M01870[e],,RE2988X
Ser_Gly_Ala_X_Gly[g],,RE2989X
M00673[c],,RE2990X
M01389[c],,RE2991X
ditp[e],,RE2992M
HC01361[c],,RE2992X
hnifedipine[e],,RE2993X
HC02057[r],,RE2994X
M02446[c],,RE2996X
M02446[e],,RE2997X
M02447[c],,RE2998M
M02447[e],,RE2999M
M02449[c],,RE3000M
M02449[e],,RE3001M
M02451[c],,RE3002X
M02451[e],,RE3003M
M01966[c],,RE3004M
itacon[c],,RE3005M
itacon[e],,RE3006M
adpman[e],,RE3010C
rbl__D[e],,RE3010M
M01966[e],,RE3010X
M02155[e],,RE3011M
M01989[e],,RE3012C
M02837[e],,RE3012M
M02035[c],,RE3012R
M02035[e],,RE3014R
M02467[c],,RE3015R
M02467[e],,RE3036C
gpi_sig[c],,RE3038C
m3gacpail_prot_hs[c],,RE3040C
mem2emgacpail_prot_hs[c],,RE3041C
gpi_sig[e],,RE3074X
M01881[e],,RE3079X
M03131[e],,RE3081X
n5m2masn[c],,RE3082X
n5m2masn[e],,RE3086X
hretn[e],,RE3095C
kdn[e],,RE3103C
m3gacpail_prot_hs[e],,RE3110C
core5[c],,RE3114R
core7[c],,RE3120C
core8[c],,RE3132R
mem2emgacpail_prot_hs[e],,RE3134C
dolichol__L[e],,RE3146R
M03167[c],,RE3151C
M03168[m],,RE3156X
12dhchol[c],,RE3157X
12dhchol[e],,RE3158X
3dhchol[c],,RE3159X
3dhcdchol[c],,RE3160R
3dhcdchol[e],,RE3161C
3dhchol[e],,RE3165C
3dhdchol[c],,RE3170C
3dhdchol[e],,RE3174C
3dhlchol[c],,RE3177M
3dhlchol[e],,RE3178M
7dhcdchol[c],,RE3179M
7dhcdchol[e],,RE3185M
7dhchol[c],,RE3186M
7dhchol[e],,RE3189M
ca24g[c],,RE3190M
ca24g[r],,RE3191M
ca24g[e],,RE3192M
ca3s[c],,RE3193M
ca3s[e],,RE3194M
cdca24g[c],,RE3195M
cdca24g[r],,RE3218C
cdca24g[e],,RE3220C
cdca3g[c],,RE3224C
cdca3g[r],,RE3225C
cdca3g[e],,RE3226C
hyochol[c],,RE3241C
coprost[c],,RE3247M
coprost[e],,RE3247X
dca24g[c],,RE3251M
dca24g[r],,RE3258C
dca24g[e],,RE3259C
dca3g[c],,RE3268R_1
dca3g[r],,RE3273C_1
dca3g[e],,RE3273R_1
dca3s[c],,RE3301C_1
dca3s[e],,RE3307C
gca3s[c],,RE3346C
gcdca3s[c],,RE3346M
gdca3s[c],,RE3367E
gudca3s[c],,RE3381C
hca24g[c],,RE3381E
hca6g[c],,RE3430C_1
hdca24g[c],,RE3432C
hdca6g[c],,RE3432M
icdchol[c],,RE3432X
isochol[c],,RE3470C
lca24g[c],,RE3470M
lca3g[c],,RE3476C
lca3s[c],,RE3476M
tca3s[c],,RE3488R
tcdca3s[c],,RE3520E
tdca3s[c],,RE3525C
thyochol[c],,RE3526C
tudca3s[c],,RE3597C
uchol[c],,RE3597M
udca3s[c],,RE3597X
gca3s[e],,RE3624M
gcdca3s[e],,RE3626M
gdca3s[e],,RE3628M
gudca3s[e],,RETABCtc
hca24g[e],,RETt
hca6g[e],,RIBFLVt3
hdca24g[e],,RIBFLVt3o
hdca6g[e],,RNDR1
hyochol[e],,RNDR2
icdchol[e],,RNDR3
isochol[e],,RNDR4
lca24g[e],,RNMK
lca3g[e],,RNTR1
lca3s[e],,RNTR2
tca3s[e],,RNTR3
tcdca3s[e],,RNTR4
tdca3s[e],,RPE
thyochol[e],,RPEc
tudca3s[e],,RPI
uchol[e],,RSVATPtu
udca3s[e],,RSVLACteb
hyochol[r],,RSVSPONhc
hca24g[r],,RSVtu
hca6g[r],,RTOTAL2FATPc
M02155[r],,RTOTAL3CRNCPT1
hdca24g[r],,RTOTAL3CRNCPT2
hdca6g[r],,RTOTAL3CRNt
lca24g[r],,RTOTALFATPc
lca3g[r],,S23T2g
tacr[r],,S23T4g
12htacr[r],,S23Tg
12htacr[c],,S2T1g
12htacr[e],,S2T2g
13dmt[r],,S2T3g
1331tacr[r],,S2T4g
31dmt[r],,S2TASE1ly
1331tacr[c],,S2TASE2ly
1331tacr[e],,S2TASE3ly
13dmt[c],,S3T1g
13dmt[e],,S3T2g
4ohmdz[r],,S3T3g
14hmdz[r],,S4T1g
1ohmdz[r],,S4T2g
14hmdz[c],,S4T3g
14hmdz[e],,S4T6g
15dmt[r],,S4TASE1ly
1513tacr[r],,S4TASE2ly
1513tacr[c],,S4TASE3ly
1513tacr[e],,S4TASE4ly
1531tacr[r],,S4TASE5ly
1531tacr[c],,S6T16g
1531tacr[e],,S6T17g
15dmt[c],,S6T18g
15dmt[e],,S6T19g
1hibupglu__S[c],,S6T1g
1hibupglu__S[e],,S6T20g
1hibup__S[r],,S6T21g
1hibupglu__S[r],,S6T22g
1hibup__S[c],,S6T23g
1hibup__S[e],,S6T24g
1hmdgluc[r],,S6T25g
1hmdgluc[e],,S6T2g
1hmdgluc[c],,S6T3g
mdz[r],,S6TASE10ly
1ohmdz[c],,S6TASE11ly
1ohmdz[e],,S6TASE12ly
2hatvacid[c],,S6TASE13ly
2hatvlac[c],,S6TASE14ly
2hatvacid[r],,S6TASE15ly
2hatvacidgluc[r],,S6TASE16ly
2hatvacidgluc[c],,S6TASE17ly
2hatvacidgluc[e],,S6TASE18ly
atvacid[r],,S6TASE19ly
2hatvacid[e],,S6TASE1ly
2hatvlac[r],,S6TASE20ly
2hatvlacgluc[r],,S6TASE21ly
2hatvlacgluc[c],,S6TASE22ly
2hatvlacgluc[e],,S6TASE23ly
atvlac[r],,S6TASE24ly
2hatvlac[e],,S6TASE25ly
2hibupglu__S[c],,S6TASE26ly
2hibupglu__S[e],,S6TASE2ly
2hibup__R[c],,S6TASE3ly
2hibup__R[e],,S6TASE4ly
2hibup__S[r],,S6TASE5ly
2hibupglu__S[r],,S6TASE6ly
2hibup__S[c],,S6TASE7ly
2hibup__S[e],,S6TASE8ly
31dmt[c],,S6TASE9ly
31dmt[e],,SACCD3m
pvs[r],,SACCD4m
35dhpvs[r],,SADT
35dhpvs[c],,SALMCOM
35dhpvs[e],,SALMCOM2
smv[r],,SAMHISTA
35dsmv[r],,SAMHISTAe
35dsmv[c],,SARCOXp
35dsmv[e],,SARDHm
3hibupglu__S[c],,SBCOAACOTx
3hibupglu__S[e],,SBPP1
3hibup__R[c],,SBPP1er
3hibup__R[e],,SBPP3
3hibup__S[r],,SBPP3er
3hibupglu__S[r],,SBTD_D2
3hibup__S[c],,SBTR
3hibup__S[e],,SCP21cx
3hlvst[c],,SCP21x
3hlvstacid[c],,SCP22x
3hlvstacid[e],,SCP2x_1
3hpvscoa[m],,SCP3x
3hpvstetcoa[m],,SCPx
3hpvscoa[x],,SEBCOACROT
3hpvstetcoa[x],,SEBCOAPET
3hpvstet[c],,SELMETHte
3hpvstet[e],,SERALANaEx
3hpvs[r],,SERARGALAt
3hpvs[c],,SERARGTRPt
3hpvs[e],,SERASNNaEx
3hsmv[c],,SERATB0tc
3hsmvacid[c],,SERB0AT3tc
3hsmvacid[e],,SERCYSARGt
6hsmv[r],,SERCYSNaEx
3hsmv[r],,SERDGLNexR
pvs[c],,SERDGLYexR
3ispvs[c],,SERD_L
3ispvs[e],,SERGLNexR
3ohacmp[c],,SERGLNNaEx
3meacmp[c],,SERGLYexR
acmp[r],,SERGLYGLUt
3ohacmp[r],,SERHL
3ohacmp[e],,SERLYSHISt
4bhglz[c],,SERLYSNaex
4bhglz[e],,SERPHELYSt
glz[r],,SERPT
4bhglz[r],,SERt2r
4hatvacid[r],,SERt4
4hatvlac[c],,SERTHRNaEx
4hatvacid[c],,SERtN1
4hatvacid[e],,SERTRPHISt
4hatvlac[r],,SFGTHi
4hatvlac[e],,SGPL12r
4hmdgluc[c],,SIAASE2ly
4hmdgluc[e],,SIAASE3ly
4hmdgluc[r],,SIAASE4ly
4ohmdz[c],,SIAASEly
4ohmdz[e],,SIAT4Bg
tripvs[r],,SIAT9g
56dhpvs[r],,SLCBK1
56dhpvs[c],,SLDx
56dhpvs[e],,SMO
3ispvs[r],,SMPD3g
56eppvs[r],,SMPD3l
56eppvs[c],,SMPD4
56eppvs[e],,SMS
5ohfvs[r],,SMS1
5ohfvsglu[r],,SMS10
5ohfvsglu[c],,SMS11
5ohfvsglu[e],,SMS12
fvs[r],,SMS13
5ohfvs[c],,SMS14
5ohfvs[e],,SMS15
6ahglz[c],,SMS16
6ahglz[e],,SMS1S2
6ahglz[r],,SMS2
6bhglz[c],,SMS21e
6bhglz[e],,SMS3
6bhglzglc[c],,SMS4
6bhglzglc[e],,SMS5
6bhglz[r],,SMS6
6bhglzglc[r],,SMS7
6csmv[c],,SMS8
6csmvacid[c],,SMS9
6csmvacid[e],,SMVACIDATPteb
6msmv[r],,SMVACIDhep
6csmv[r],,SMVGLUChep
6epvs[c],,SMVHYDROhep
6epvs[e],,SMVthep
6hlvst[c],,SMVtu
6hlvstacid[c],,SO4CLtex2
6hlvst[e],,SO4HCOtex
6hmsmv[c],,SO4OXAtex2
6hmsmvacid[c],,SO4t4_2
6hmsmvacid[e],,SO4t4_3
6hmsmv[r],,SO4t_e
6hsmv[c],,SOAT12
6hsmvacid[c],,SPHK11
6hsmvacid[e],,SPHK21c
6melvst[c],,SPHK21n
6melvacid[c],,SPHK22n
6melvacid[e],,SPHMYLN180241_hs_ATPt
6melvst[e],,SPHMYLN18114_hs_ATPt
6ohfvsglu[r],,SPHMYLN18115_hs_ATPt
6ohfvsglu[c],,SPHMYLN181161_hs_ATPt
6ohfvsglu[e],,SPHMYLN18116_hs_ATPt
6ohfvs[r],,SPHMYLN18117_hs_ATPt
6ohfvs[c],,SPHMYLN181181_hs_ATPt
6ohfvs[e],,SPHMYLN18118_hs_ATPt
7ahglz[c],,SPHMYLN181201_hs_ATPt
7ahglz[e],,SPHMYLN18120_hs_ATPt
7ahglz[r],,SPHMYLN18121_hs_ATPt
7bhglz[c],,SPHMYLN181221_hs_ATPt
7bhglz[e],,SPHMYLN18122_hs_ATPt
7bhglzglc[c],,SPHMYLN18123_hs_ATPt
7bhglzglc[e],,SPHMYLN1824_hs_ATPt
7bhglz[r],,SPHMYLN1825_hs_ATPt
7bhglzglc[r],,SPHMYLN_HsATPte
7hpvs[r],,SPHPL
7hpvs[c],,SPHS1Pt2e
7hpvs[e],,SPMD3n
allop[e],,SPMS
allop[c],,SPODM
acmp[c],,SPODMe
acmp[e],,SPODMm
acmpglu[r],,SPODMn
acmpglut[e],,SPODMx
acmpglut[c],,SPR
acmpglu[c],,SPRMS
acmpglu[e],,SPRMti
sulpacmp[c],,SPTc
oxyp[c],,SPTix
am1csa[r],,SQLEr
am19cs[r],,SQLSr
am9csa[r],,SR5AR2r
am19cs[c],,SR5ARr
am19cs[e],,SRTNACT
am1acs[c],,SRTNENT4tc
am1a4ncs[c],,SRTNt6_2_r
am1a4ncs[e],,SRTNtu
am1ccs[r],,SSALxm
am1accs[r],,ST3GAL21g
am1accs[c],,ST3GAL22g
am1accs[e],,ST3GAL23g
am1alcs[r],,ST3GAL31g
am1acs[r],,ST3GAL61g
am1acs[e],,ST3GAL62g
am1csa[c],,ST6GALNAC21
am1alcs[c],,ST6GALNAC22
am1alcs[e],,ST6GALNAC23
am1c9cs[c],,ST6GALNAC24
am1c4n9cs[c],,ST6GALNAC26
am1c4n9cs[e],,ST6GALNAC27
am1c9cs[r],,ST6GALNAC28
am1c9cs[e],,ST6GALNAC31_1
csa[r],,ST6GALNAC61
am1ccs[c],,ST6GALNAC62
am1ccs[e],,ST8SIA11
am1cglc[r],,ST8SIA12
am1cglc[c],,ST8SIA13e
am1cglc[e],,ST8SIA51g
am1csa[e],,ST8SIA52g
am9csa[c],,ST8SIA53g
am4n9cs[c],,ST8SIA54g
am4ncs[r],,ST8SIA55g
am4n9cs[r],,ST8SIA56g
am4n9cs[e],,STCOATxc
csa[c],,STCRNte
am4ncs[c],,STEETH
am4ncs[e],,STRDNCCOAtxc
am9csa[e],,STRDNCCPT1
atvacid[e],,STRDNCCPT2
atvacid[c],,STRDNCCRNt
atvlac[c],,STS1
atvethgluc[r],,STS1r
atvacylgluc[r],,STS2
atvlacgluc[r],,STS2r
atvlac[e],,STS3
caribupglu__S[c],,STS3r
caribupglu__S[e],,STS4
caribup__R[c],,STS4r
caribup__R[e],,SUBERCACT
caribup_s[r],,SUBERCROT
caribupglu__S[r],,SUBGLYc
caribup_s[c],,SUCCCROT
caribup_s[e],,SUCCOAPET
crglz[c],,SUCCt4_2
crglz[e],,SUCCt4_3
mhglz[r],,SUCCtm
crglz[r],,SUCD1m
crvsm1[r],,SUCFUMtm
crvsm24[r],,SUCOAS1m
crvsm1[c],,SUCOASm
crvsm1[e],,SUCRe
crvsm23[r],,SULFOX
crvs[e],,SULPACMPtev
crvs[c],,TACRtu
crvsm22[c],,TALA
crvs[r],,TAUBETAtc
cvm1gluc[r],,TAUPAT1c
crvsm22[r],,TAURt4_2_r
cvm23gluc[r],,TAURtcx
crvsm23[c],,TCA3Sabc
crvsm23[e],,TCA3St
crvsm24[c],,TCASULT
crvsm24[e],,TCDCA3Sabc
crvsm31[r],,TCDCA3St
csasulp[c],,TCDCA6AH
csasulp[e],,TCDCASULT
csa[e],,TCHOLABCtc
cysacmp[c],,TCHOLAt
meracmp[c],,TCHOLAt2
cysacmp[e],,TCHOLAt3
crvsm31[c],,TDCA3Sabc
fvs[x],,TDCA3St
deoxfvs[x],,TDCASULT
deoxfvs[c],,TETDECAETH
deoxfvs[e],,TETPENT3CPT1
desfvs[r],,TETPENT3CPT2
desfvs[c],,TETPENT3CRNt
desfvs[e],,TETPENT6CPT1
dhglz[c],,TETPENT6CPT2
dhglz[e],,TETPENT6CRNt
glz[c],,TETTET6CPT1
dspvs[r],,TETTET6CPT2
dspvs[c],,TETTET6CRNt
dspvs[e],,THBPT4ACAMDASE
epoxtac[r],,THCHOLSTOICATP
epoxtac[c],,THCHOLSTOICt
epoxtac[e],,THD1m
fvs[e],,THEXDDm
fvstet[e],,THEXDDtm
fvstetglu[e],,THFATm
glc3meacp[e],,THFt2_1
glz[e],,THMDt2
gtacmp[e],,THMDt4
ibup__R[e],,THMDt5
ibup__S[e],,THMMPt4_1
ibupgluc[e],,THMt3
isolvstacid[e],,THMTP
lst4exp[e],,THMTPt_1
lstn[e],,THRALANaEx
lstn1gluc[e],,THRARGTYRt
lstnm1[e],,THRASNNaEx
