mCADRE_brain_genes,rFASTACOROMICS_brain_genes,CORDA_brain_genes,ftINIT_brain_genes
18477,17117,50917,15445
18478,171210,18010,15446
18563,171212,14420,15450
18573,171281,14421,15452
18574,171282,234356,15476
18575,171405,78752,15478
18576,171429,74241,15483
18577,171567,269941,15484
18578,17159,78923,15485
18582,17161,230145,15486
18583,17250,14423,15487
18584,17252,231605,15488
18585,17254,14426,15490
18587,17330,171212,15492
18588,17339,271786,15493
18605,17423,207839,15494
18618,17436,78754,15495
18624,17448,241391,15496
18639,17449,108148,15497
18640,17523,108150,15531
18641,17708,71685,15567
18642,17709,231050,15926
18648,17710,14425,15929
18655,17711,170441,15930
18663,17768,117592,15931
18669,17769,218271,15932
18670,17855,232714,16204
18675,17919,14450,16329
18700,17939,11593,16330
18701,18010,14466,16331
18704,18102,227671,16332
18705,18103,104776,16430
18706,18104,214579,16434
18707,18125,434437,16548
18708,18126,104174,16591
18709,18127,68133,16592
18710,18160,14538,16770
18711,18193,228368,16790
18717,18194,22122,16816
18718,18242,14590,16828
18719,18263,110175,16832
18720,18293,27357,16833
18770,18399,232493,16889
18778,18408,14936,16890
18780,18451,23887,16891
18782,18452,108037,16922
18783,18472,20425,16956
18784,18475,11605,16987
18795,18476,74185,17001
18796,18477,110006,17025
18797,18534,109685,170439
18798,18563,93683,170441
18799,18573,100910,170442
18802,18574,14042,170716
18803,18575,14043,170718
18805,18576,76898,170768
18806,18577,280645,170789
18807,18578,72727,170835
18946,18582,27419,171167
18947,18583,64580,171168
18950,18584,15531,17117
19012,18585,83398,171210
19025,18587,17423,171212
19044,18588,54616,171281
19063,18597,58193,171282
19125,18598,56219,171405
19139,18605,117591,171429
19156,18606,353169,171567
19211,18618,227659,17159
19215,18639,20537,17161
192156,18640,77559,17228
192166,18641,110078,17229
192185,18642,19309,17250
192195,18648,110095,17252
19224,18655,14629,17254
19225,18663,14630,17339
192289,18669,14661,17423
19286,18670,14317,17448
19299,18675,14660,17449
19309,18700,216456,17523
19378,18701,71803,17708
194908,18704,68267,17709
195646,18705,270076,17710
19682,18706,140919,17711
19683,18707,216227,17768
19765,18708,72961,17769
19879,18709,15112,17850
19895,18710,56185,17855
20133,18711,67092,17919
20135,18717,76238,17939
20148,18718,14933,18010
20216,18719,14626,18102
20229,18720,14651,18103
20249,18770,14664,18104
20280,18778,110208,18113
20322,18780,14711,18115
20397,18782,14732,18125
20425,18783,70325,18126
20441,18784,241062,18127
20442,18795,67556,18145
20443,18796,72084,18160
20444,18797,14782,18173
20446,18798,21672,18193
20447,18799,18477,18194
20448,18802,14776,18195
20449,18803,14775,18242
20454,18805,625249,18293
20493,18806,14778,18399
20494,18807,75512,18408
20498,18946,67305,18416
20499,18947,11757,18451
20501,18950,14854,18452
20502,19012,14598,18472
20503,19025,234889,18475
20509,19044,54195,18476
20510,19063,230103,18477
20511,19125,245650,18478
20512,19139,14917,18534
20513,19156,18160,18563
20514,19210,14919,18573
20515,19211,60596,18574
20516,19215,14544,18575
20517,192156,12352,18576
20518,192166,56078,18577
20519,192185,27392,18578
20520,192195,230801,18582
20522,19224,11833,18583
20523,19225,56703,18584
20524,192289,18701,18585
20525,19286,433931,18587
20526,19299,239827,18588
20527,19309,329777,18597
20528,19378,14731,18598
20532,194908,228812,18605
20533,195646,276846,18606
20535,19682,78928,18618
20536,19683,15108,18639
20537,19703,15107,18640
20544,19879,15118,18641
20597,19895,15116,18642
20598,20133,15117,18648
20603,20135,71883,18655
20652,20148,20535,18663
20655,20229,240215,18669
20656,20249,20533,18670
20698,20280,20536,18675
207151,20322,103988,18700
207182,20397,15277,18701
20751,20425,15275,18704
207728,20441,216019,18705
20773,20442,212032,18706
20775,20443,15233,18707
20778,20444,58875,18708
207839,20445,15186,18709
208043,20446,208715,18710
20810,20447,15360,18711
208211,20448,15356,18717
208266,20449,208982,18718
208449,20452,15368,18719
208665,20454,15369,18720
208715,20463,56794,18746
20887,20495,52815,18770
208982,20496,27029,18778
209027,20498,15483,18780
209039,20499,15484,18782
20917,20501,15485,18783
20927,20502,14979,18784
20928,20503,15486,18795
20937,20509,15490,18796
20975,20510,15497,18797
210004,20511,15492,18798
