"entrezgene_id","external_gene_name","ensembl_gene_id"
63857,"Bco1","ENSMUSG00000031845"
71911,"Bdh1","ENSMUSG00000046598"
64918,"Bhmt2","ENSMUSG00000042118"
12116,"Bhmt","ENSMUSG00000074768"
101488,"Slco2b1","ENSMUSG00000030737"
12780,"Abcc2","ENSMUSG00000025194"
76408,"Abcc3","ENSMUSG00000020865"
28253,"Slco1b2","ENSMUSG00000030236"
233016,"Blvrb","ENSMUSG00000040466"
109778,"Blvra","ENSMUSG00000001999"
55981,"Pigb","ENSMUSG00000079469"
23827,"Bpnt1","ENSMUSG00000026617"
26363,"Btd","ENSMUSG00000021900"
330064,"Slc5a6","ENSMUSG00000006641"
80721,"Slc19a3","ENSMUSG00000038496"
103149,"Upb1","ENSMUSG00000033427"
73166,"Tm7sf2","ENSMUSG00000024799"
18194,"Nsdhl","ENSMUSG00000031349"
15488,"Hsd17b4","ENSMUSG00000024507"
66234,"Msmo1","ENSMUSG00000031604"
320707,"Atp2b3","ENSMUSG00000031376"
11941,"Atp2b2","ENSMUSG00000030302"
67972,"Atp2b1","ENSMUSG00000019943"
381290,"Atp2b4","ENSMUSG00000026463"
12359,"Cat","ENSMUSG00000027187"
110893,"Slc8a3","ENSMUSG00000079055"
20541,"Slc8a1","ENSMUSG00000054640"
110891,"Slc8a2","ENSMUSG00000030376"
109136,"Mmaa","ENSMUSG00000037022"
14377,"G6pc1","ENSMUSG00000078650"
14378,"G6pc2","ENSMUSG00000005232"
68401,"G6pc3","ENSMUSG00000034793"
227231,"Cps1","ENSMUSG00000025991"
12408,"Cbr1","ENSMUSG00000051483"
52858,"Cdipt","ENSMUSG00000030682"
74596,"Cds1","ENSMUSG00000029330"
110911,"Cds2","ENSMUSG00000058793"
99712,"Cept1","ENSMUSG00000040774"
212862,"Chpt1","ENSMUSG00000060002"
223753,"Cerk","ENSMUSG00000035891"
68018,"Cert1","ENSMUSG00000021669"
57738,"Slc15a2","ENSMUSG00000022899"
12642,"Ch25h","ENSMUSG00000050370"
12647,"Chat","ENSMUSG00000021919"
237928,"Phospho1","ENSMUSG00000050860"
13026,"Pcyt1a","ENSMUSG00000005615"
236899,"Pcyt1b","ENSMUSG00000035246"
108096,"Slco1a5","ENSMUSG00000063975"
20493,"Slc10a1","ENSMUSG00000021135"
20494,"Slc10a2","ENSMUSG00000023073"
27413,"Abcb11","ENSMUSG00000027048"
218865,"Chdh","ENSMUSG00000015970"
12651,"Chkb","ENSMUSG00000022617"
12660,"Chka","ENSMUSG00000024843"
63993,"Slc5a7","ENSMUSG00000023945"
20518,"Slc22a2","ENSMUSG00000040966"
20520,"Slc22a5","ENSMUSG00000018900"
54200,"Sult2b1","ENSMUSG00000003271"
59045,"Stard3","ENSMUSG00000018167"
11303,"Abca1","ENSMUSG00000015243"
81600,"Chia1","ENSMUSG00000062778"
67729,"Mansc1","ENSMUSG00000032718"
71884,"Chit1","ENSMUSG00000026450"
20500,"Slc13a2","ENSMUSG00000001095"
13358,"Slc25a1","ENSMUSG00000003528"
12716,"Ckmt1","ENSMUSG00000000308"
76722,"Ckmt2","ENSMUSG00000021622"
12709,"Ckb","ENSMUSG00000001270"
12715,"Ckm","ENSMUSG00000030399"
23985,"Slc26a4","ENSMUSG00000020651"
171429,"Slc26a6","ENSMUSG00000023259"
66586,"Crls1","ENSMUSG00000027357"
24060,"Slc35a1","ENSMUSG00000028293"
12764,"Cmas","ENSMUSG00000030282"
73132,"Slc25a16","ENSMUSG00000071253"
436059,"Ces2h","ENSMUSG00000091813"
230027,"Coq3","ENSMUSG00000028247"
217707,"Coq6","ENSMUSG00000021235"
12850,"Coq7","ENSMUSG00000030652"
72077,"Gcnt3","ENSMUSG00000032226"
14537,"Gcnt1","ENSMUSG00000038843"
218476,"Gcnt4","ENSMUSG00000091387"
272411,"B3gnt6","ENSMUSG00000074004"
102857,"Slc6a8","ENSMUSG00000019558"
12908,"Crat","ENSMUSG00000026853"
30805,"Slc22a4","ENSMUSG00000020334"
12974,"Cs","ENSMUSG00000005683"
74114,"Crot","ENSMUSG00000003623"
20539,"Slc7a5","ENSMUSG00000040010"
50934,"Slc7a8","ENSMUSG00000022180"
12583,"Cdo1","ENSMUSG00000033022"
215113,"Slc43a2","ENSMUSG00000038178"
26570,"Slc7a11","ENSMUSG00000027737"
72269,"Cda","ENSMUSG00000028755"
11628,"Aicda","ENSMUSG00000040627"
80914,"Uck2","ENSMUSG00000026558"
22245,"Uck1","ENSMUSG00000002550"
66588,"Cmpk1","ENSMUSG00000028719"
22169,"Cmpk2","ENSMUSG00000020638"
320127,"Dgki","ENSMUSG00000038665"
217480,"Dgkb","ENSMUSG00000036095"
104418,"Dgkz","ENSMUSG00000040479"
380921,"Dgkh","ENSMUSG00000034731"
110197,"Dgkg","ENSMUSG00000022861"
227333,"Dgkd","ENSMUSG00000070738"
13139,"Dgka","ENSMUSG00000025357"
56077,"Dgke","ENSMUSG00000000276"
110524,"Dgkq","ENSMUSG00000004815"
13142,"Dao","ENSMUSG00000042096"
93692,"Glrx","ENSMUSG00000021591"
69367,"Glrx2","ENSMUSG00000018196"
70503,"Ddo","ENSMUSG00000063428"
13177,"Eci1","ENSMUSG00000024132"
23986,"Eci2","ENSMUSG00000021417"
13178,"Dck","ENSMUSG00000029366"
13190,"Dct","ENSMUSG00000022129"
20249,"Scd1","ENSMUSG00000037071"
56473,"Fads2","ENSMUSG00000024665"
76267,"Fads1","ENSMUSG00000010663"
13350,"Dgat1","ENSMUSG00000022555"
67800,"Dgat2","ENSMUSG00000030747"
27369,"Dguok","ENSMUSG00000014554"
20527,"Slc2a3","ENSMUSG00000003153"
20525,"Slc2a1","ENSMUSG00000028645"
20528,"Slc2a4","ENSMUSG00000018566"
74754,"Dhcr24","ENSMUSG00000034926"
13122,"Cyp7a1","ENSMUSG00000028240"
13360,"Dhcr7","ENSMUSG00000058454"
13244,"Degs1","ENSMUSG00000038633"
70059,"Degs2","ENSMUSG00000021263"
20860,"Sult1e1","ENSMUSG00000029272"
56749,"Dhodh","ENSMUSG00000031730"
64705,"Dpys","ENSMUSG00000022304"
22240,"Dpysl3","ENSMUSG00000024501"
12934,"Dpysl2","ENSMUSG00000022048"
57274,"Slc16a8","ENSMUSG00000032988"
110196,"Fdps","ENSMUSG00000059743"
74129,"Dmgdh","ENSMUSG00000042102"
67283,"Slc25a19","ENSMUSG00000020744"
380959,"Alg10b","ENSMUSG00000075470"
68563,"Dpm3","ENSMUSG00000042737"
13481,"Dpm2","ENSMUSG00000026810"
13480,"Dpm1","ENSMUSG00000078919"
59012,"Moxd1","ENSMUSG00000020000"
13166,"Dbh","ENSMUSG00000000889"
22173,"Tyr","ENSMUSG00000004651"
20538,"Slc6a2","ENSMUSG00000055368"
13162,"Slc6a3","ENSMUSG00000021609"
20519,"Slc22a3","ENSMUSG00000023828"
12183,"Bpgm","ENSMUSG00000038871"
18648,"Pgam1","ENSMUSG00000011752"
56012,"Pgam2","ENSMUSG00000020475"
192156,"Mvd","ENSMUSG00000006517"
232449,"Dera","ENSMUSG00000030225"
99586,"Dpyd","ENSMUSG00000033308"
21877,"Tk1","ENSMUSG00000025574"
57813,"Tk2","ENSMUSG00000035824"
110074,"Dut","ENSMUSG00000027203"
16434,"Itpa","ENSMUSG00000074797"
13595,"Ebp","ENSMUSG00000031168"
93747,"Echs1","ENSMUSG00000025465"
11992,"Auh","ENSMUSG00000021460"
51798,"Ech1","ENSMUSG00000053898"
74147,"Ehhadh","ENSMUSG00000022853"
26458,"Slc27a2","ENSMUSG00000027359"
108115,"Slco4a1","ENSMUSG00000038963"
58807,"Slco1c1","ENSMUSG00000030235"
239273,"Abcc4","ENSMUSG00000032849"
108116,"Slco3a1","ENSMUSG00000025790"
110826,"Etfb","ENSMUSG00000004610"
110842,"Etfa","ENSMUSG00000032314"
66841,"Etfdh","ENSMUSG00000027809"
75320,"Etnk1","ENSMUSG00000030275"
214253,"Etnk2","ENSMUSG00000070644"
75540,"Fpgt","ENSMUSG00000053870"
435766,"Tnni3k","ENSMUSG00000040086"
74205,"Acsl3","ENSMUSG00000032883"
50790,"Acsl4","ENSMUSG00000031278"
14081,"Acsl1","ENSMUSG00000018796"
433256,"Acsl5","ENSMUSG00000024981"
328845,"Acsbg2","ENSMUSG00000024207"
216739,"Acsl6","ENSMUSG00000020333"
117147,"Acsm1","ENSMUSG00000033533"
18605,"Enpp1","ENSMUSG00000037370"
209558,"Enpp3","ENSMUSG00000019989"
83603,"Elovl4","ENSMUSG00000032262"
170439,"Elovl6","ENSMUSG00000041220"
68801,"Elovl5","ENSMUSG00000032349"
54326,"Elovl2","ENSMUSG00000021364"
666168,"Cyp4a31","ENSMUSG00000028712"
100040843,"Cyp4a32","ENSMUSG00000063929"
13117,"Cyp4a10","ENSMUSG00000066072"
435802,"Cyp4a30b","ENSMUSG00000084346"
14104,"Fasn","ENSMUSG00000025153"
26457,"Slc27a1","ENSMUSG00000031808"
26569,"Slc27a4","ENSMUSG00000059316"
26568,"Slc27a3","ENSMUSG00000027932"
11674,"Aldoa","ENSMUSG00000030695"
230163,"Aldob","ENSMUSG00000028307"
11676,"Aldoc","ENSMUSG00000017390"
14121,"Fbp1","ENSMUSG00000069805"
270198,"Pfkfb4","ENSMUSG00000025648"
18639,"Pfkfb1","ENSMUSG00000025271"
170768,"Pfkfb3","ENSMUSG00000026773"
18640,"Pfkfb2","ENSMUSG00000026409"
14120,"Fbp2","ENSMUSG00000021456"
14151,"Fech","ENSMUSG00000024588"
107747,"Aldh1l1","ENSMUSG00000030088"
73649,"Cybrd1","ENSMUSG00000027015"
234730,"Fcsk","ENSMUSG00000033703"
71562,"Afmid","ENSMUSG00000017718"
13361,"Dhfr","ENSMUSG00000021707"
14287,"Fpgs","ENSMUSG00000009566"
56017,"Slc2a8","ENSMUSG00000026791"
20526,"Slc2a2","ENSMUSG00000027690"
435818,"Slc2a7","ENSMUSG00000062064"
56485,"Slc2a5","ENSMUSG00000028976"
216188,"Aldh1l2","ENSMUSG00000020256"
270685,"Mthfd1l","ENSMUSG00000040675"
108156,"Mthfd1","ENSMUSG00000021048"
66848,"Fuca2","ENSMUSG00000019810"
71665,"Fuca1","ENSMUSG00000028673"
14085,"Fah","ENSMUSG00000030630"
14194,"Fh1","ENSMUSG00000026526"
14343,"Fut1","ENSMUSG00000008461"
14348,"Fut9","ENSMUSG00000055373"
57370,"B4galt3","ENSMUSG00000052423"
53418,"B4galt2","ENSMUSG00000028541"
14595,"B4galt1","ENSMUSG00000028413"
56336,"B4galt5","ENSMUSG00000017929"
14571,"Gpd2","ENSMUSG00000026827"
56454,"Aldh18a1","ENSMUSG00000025007"
100198,"H6pd","ENSMUSG00000028980"
14381,"G6pdx","ENSMUSG00000031400"
14385,"Slc37a4","ENSMUSG00000032114"
14431,"Gamt","ENSMUSG00000020150"
53897,"Gal3st1","ENSMUSG00000049721"
19025,"Ctsa","ENSMUSG00000017760"
12091,"Glb1","ENSMUSG00000045594"
50917,"Galns","ENSMUSG00000015027"
18010,"Neu1","ENSMUSG00000007038"
14420,"Galc","ENSMUSG00000021003"
14421,"B4galnt1","ENSMUSG00000006731"
234356,"Csgalnact1","ENSMUSG00000036356"
78752,"Csgalnact2","ENSMUSG00000042042"
74241,"Chpf","ENSMUSG00000032997"
269941,"Chsy1","ENSMUSG00000032640"
78923,"Chsy3","ENSMUSG00000058152"
230145,"Galnt12","ENSMUSG00000039774"
14423,"Galnt1","ENSMUSG00000000420"
231605,"Galnt9","ENSMUSG00000033316"
14426,"Galnt4","ENSMUSG00000090035"
171212,"Galnt10","ENSMUSG00000020520"
271786,"Galnt13","ENSMUSG00000060988"
207839,"Galnt6","ENSMUSG00000037280"
78754,"Galnt15","ENSMUSG00000021903"
241391,"Galnt5","ENSMUSG00000026828"
108148,"Galnt2","ENSMUSG00000089704"
108150,"Galnt7","ENSMUSG00000031608"
71685,"Galnt14","ENSMUSG00000024064"
231050,"Galnt11","ENSMUSG00000038072"
14425,"Galnt3","ENSMUSG00000026994"
170441,"Slc2a10","ENSMUSG00000027661"
117592,"B3galt6","ENSMUSG00000050796"
218271,"B4galt7","ENSMUSG00000021504"
232714,"Mgam","ENSMUSG00000068587"
14450,"Gart","ENSMUSG00000022962"
11593,"Aga","ENSMUSG00000031521"
14466,"Gba1","ENSMUSG00000028048"
227671,"Gbgt1","ENSMUSG00000026829"
104776,"Aldh6a1","ENSMUSG00000021238"
214579,"Aldh5a1","ENSMUSG00000035936"
434437,"Amt","ENSMUSG00000032607"
104174,"Gldc","ENSMUSG00000024827"
68133,"Gcsh","ENSMUSG00000034424"
14538,"Gcnt2","ENSMUSG00000021360"
228368,"Slc35c1","ENSMUSG00000049922"
22122,"Gfus","ENSMUSG00000022570"
14590,"Ggh","ENSMUSG00000073987"
110175,"Ggct","ENSMUSG00000002797"
27357,"Gyg1","ENSMUSG00000019528"
232493,"Gys2","ENSMUSG00000030244"
14936,"Gys1","ENSMUSG00000003865"
23887,"Ggt5","ENSMUSG00000006344"
108037,"Shmt2","ENSMUSG00000025403"
20425,"Shmt1","ENSMUSG00000020534"
11605,"Gla","ENSMUSG00000031266"
74185,"Gbe1","ENSMUSG00000022707"
110006,"Gusb","ENSMUSG00000025534"
109685,"Hyal3","ENSMUSG00000036091"
93683,"Glce","ENSMUSG00000032252"
100910,"Chpf2","ENSMUSG00000038181"
14042,"Ext1","ENSMUSG00000061731"
14043,"Ext2","ENSMUSG00000027198"
76898,"B3gat1","ENSMUSG00000045994"
280645,"B3gat2","ENSMUSG00000026156"
72727,"B3gat3","ENSMUSG00000071649"
27419,"Naglu","ENSMUSG00000001751"
64580,"Ndst4","ENSMUSG00000027971"
15531,"Ndst1","ENSMUSG00000054008"
83398,"Ndst3","ENSMUSG00000027977"
17423,"Ndst2","ENSMUSG00000039308"
54616,"Extl3","ENSMUSG00000021978"
58193,"Extl2","ENSMUSG00000027963"
56219,"Extl1","ENSMUSG00000028838"
117591,"Slc2a9","ENSMUSG00000005107"
353169,"Slc2a12","ENSMUSG00000037490"
227659,"Slc2a6","ENSMUSG00000036067"
20537,"Slc5a1","ENSMUSG00000011034"
77559,"Agl","ENSMUSG00000033400"
110078,"Pygb","ENSMUSG00000033059"
19309,"Pygm","ENSMUSG00000032648"
110095,"Pygl","ENSMUSG00000021069"
14629,"Gclc","ENSMUSG00000032350"
14630,"Gclm","ENSMUSG00000028124"
14661,"Glud1","ENSMUSG00000021794"
14317,"Ftcd","ENSMUSG00000001155"
14660,"Gls","ENSMUSG00000026103"
216456,"Gls2","ENSMUSG00000044005"
71803,"Slc25a18","ENSMUSG00000004902"
68267,"Slc25a22","ENSMUSG00000019082"
270076,"Gcdh","ENSMUSG00000003809"
140919,"Slc17a6","ENSMUSG00000030500"
216227,"Slc17a8","ENSMUSG00000019935"
72961,"Slc17a7","ENSMUSG00000070570"
15112,"Hao1","ENSMUSG00000027261"
56185,"Hao2","ENSMUSG00000027870"
67092,"Gatm","ENSMUSG00000027199"
76238,"Grhpr","ENSMUSG00000035637"
14933,"Gk","ENSMUSG00000025059"
14626,"Gk2","ENSMUSG00000050553"
14651,"Hagh","ENSMUSG00000024158"
14664,"Slc6a9","ENSMUSG00000028542"
110208,"Pgd","ENSMUSG00000028961"
14711,"Gnmt","ENSMUSG00000002769"
14732,"Gpam","ENSMUSG00000024978"
70325,"Pigw","ENSMUSG00000045140"
241062,"Pgap1","ENSMUSG00000073678"
67556,"Pigm","ENSMUSG00000050229"
72084,"Pigx","ENSMUSG00000023791"
14782,"Gsr","ENSMUSG00000031584"
